gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN112755_c0_g2_i1	Gonad	female	TRINITY_DN112755_c0_g2_i1	G46	female	no
TRINITY_DN112841_c0_g1_i1	Gonad	female	TRINITY_DN112841_c0_g1_i1	G46	female	no
TRINITY_DN112907_c0_g2_i1	Gonad	female	TRINITY_DN112907_c0_g2_i1	G46	female	no
TRINITY_DN112953_c0_g1_i2	Gonad	female	TRINITY_DN112953_c0_g1_i2	G46	female	no
TRINITY_DN113124_c0_g1_i3	Gonad	female	TRINITY_DN113124_c0_g1_i3	G46	female	no
TRINITY_DN113212_c0_g2_i2	Gonad	female	TRINITY_DN113212_c0_g2_i2	G46	female	no
TRINITY_DN113341_c0_g1_i2	Gonad	female	TRINITY_DN113341_c0_g1_i2	G46	female	no
TRINITY_DN113530_c0_g1_i1	Gonad	female	TRINITY_DN113530_c0_g1_i1	G46	female	no
TRINITY_DN113561_c0_g1_i1	Gonad	female	TRINITY_DN113561_c0_g1_i1	G46	female	no
TRINITY_DN113595_c0_g2_i2	Gonad	female	TRINITY_DN113595_c0_g2_i2	G46	female	no
TRINITY_DN113605_c0_g1_i1	Gonad	female	TRINITY_DN113605_c0_g1_i1	G46	female	no
TRINITY_DN113753_c1_g1_i1	Gonad	female	TRINITY_DN113753_c1_g1_i1	G46	female	no
TRINITY_DN113760_c0_g3_i2	Gonad	female	TRINITY_DN113760_c0_g3_i2	G46	female	no
TRINITY_DN113911_c0_g2_i1	Gonad	female	TRINITY_DN113911_c0_g2_i1	G46	female	no
TRINITY_DN113980_c0_g1_i2	Gonad	female	TRINITY_DN113980_c0_g1_i2	G46	female	no
TRINITY_DN114052_c0_g1_i1	Gonad	female	TRINITY_DN114052_c0_g1_i1	G46	female	no
TRINITY_DN114190_c0_g1_i2	Gonad	female	TRINITY_DN114190_c0_g1_i2	G46	female	no
TRINITY_DN114305_c0_g2_i2	Gonad	female	TRINITY_DN114305_c0_g2_i2	G46	female	no
TRINITY_DN114338_c0_g2_i2	Gonad	female	TRINITY_DN114338_c0_g2_i2	G46	female	no
TRINITY_DN114344_c0_g2_i1	Gonad	female	TRINITY_DN114344_c0_g2_i1	G46	female	no
TRINITY_DN114443_c0_g1_i1	Gonad	female	TRINITY_DN114443_c0_g1_i1	G46	female	no
TRINITY_DN114651_c0_g1_i3	Gonad	female	TRINITY_DN114651_c0_g1_i3	G46	female	no
TRINITY_DN114661_c0_g1_i2	Gonad	female	TRINITY_DN114661_c0_g1_i2	G46	female	no
TRINITY_DN114768_c0_g1_i1	Gonad	female	TRINITY_DN114768_c0_g1_i1	G46	female	no
TRINITY_DN114776_c0_g1_i3	Gonad	female	TRINITY_DN114776_c0_g1_i3	G46	female	no
TRINITY_DN114784_c0_g1_i2	Gonad	female	TRINITY_DN114784_c0_g1_i2	G46	female	no
TRINITY_DN114798_c0_g1_i1	Gonad	female	TRINITY_DN114798_c0_g1_i1	G46	female	no
TRINITY_DN114799_c0_g1_i1	Gonad	female	TRINITY_DN114799_c0_g1_i1	G46	female	no
TRINITY_DN114817_c0_g1_i3	Gonad	female	TRINITY_DN114817_c0_g1_i3	G46	female	no
TRINITY_DN114836_c0_g1_i1	Gonad	female	TRINITY_DN114836_c0_g1_i1	G46	female	no
TRINITY_DN114850_c0_g1_i1	Gonad	female	TRINITY_DN114850_c0_g1_i1	G46	female	no
TRINITY_DN114904_c0_g1_i7	Gonad	female	TRINITY_DN114904_c0_g1_i7	G46	female	no
TRINITY_DN114928_c0_g1_i1	Gonad	female	TRINITY_DN114928_c0_g1_i1	G46	female	no
TRINITY_DN114945_c0_g2_i1	Gonad	female	TRINITY_DN114945_c0_g2_i1	G46	female	no
TRINITY_DN114976_c0_g1_i1	Gonad	female	TRINITY_DN114976_c0_g1_i1	G46	female	no
TRINITY_DN115010_c0_g4_i2	Gonad	female	TRINITY_DN115010_c0_g4_i2	G46	female	no
TRINITY_DN115043_c0_g1_i2	Gonad	female	TRINITY_DN115043_c0_g1_i2	G46	female	no
TRINITY_DN115075_c0_g1_i1	Gonad	female	TRINITY_DN115075_c0_g1_i1	G46	female	no
TRINITY_DN115095_c0_g1_i1	Gonad	female	TRINITY_DN115095_c0_g1_i1	G46	female	no
TRINITY_DN115131_c0_g3_i1	Gonad	female	TRINITY_DN115131_c0_g3_i1	G46	female	no
TRINITY_DN115189_c0_g1_i2	Gonad	female	TRINITY_DN115189_c0_g1_i2	G46	female	no
TRINITY_DN115242_c0_g1_i2	Gonad	female	TRINITY_DN115242_c0_g1_i2	G46	female	no
TRINITY_DN115244_c0_g1_i1	Gonad	female	TRINITY_DN115244_c0_g1_i1	G46	female	no
TRINITY_DN115343_c0_g1_i1	Gonad	female	TRINITY_DN115343_c0_g1_i1	G46	female	no
TRINITY_DN115417_c0_g2_i3	Gonad	female	TRINITY_DN115417_c0_g2_i3	G46	female	no
TRINITY_DN115432_c0_g1_i1	Gonad	female	TRINITY_DN115432_c0_g1_i1	G46	female	no
TRINITY_DN115646_c0_g1_i1	Gonad	female	TRINITY_DN115646_c0_g1_i1	G46	female	no
TRINITY_DN115655_c0_g1_i1	Gonad	female	TRINITY_DN115655_c0_g1_i1	G46	female	no
TRINITY_DN115683_c0_g1_i2	Gonad	female	TRINITY_DN115683_c0_g1_i2	G46	female	no
TRINITY_DN115713_c0_g1_i1	Gonad	female	TRINITY_DN115713_c0_g1_i1	G46	female	no
TRINITY_DN115840_c0_g1_i2	Gonad	female	TRINITY_DN115840_c0_g1_i2	G46	female	no
TRINITY_DN115856_c0_g1_i2	Gonad	female	TRINITY_DN115856_c0_g1_i2	G46	female	no
TRINITY_DN115972_c1_g1_i2	Gonad	female	TRINITY_DN115972_c1_g1_i2	G46	female	no
TRINITY_DN116067_c0_g1_i1	Gonad	female	TRINITY_DN116067_c0_g1_i1	G46	female	no
TRINITY_DN116210_c0_g1_i1	Gonad	female	TRINITY_DN116210_c0_g1_i1	G46	female	no
TRINITY_DN116290_c0_g1_i1	Gonad	female	TRINITY_DN116290_c0_g1_i1	G46	female	no
