gid	log2RPKM	sex	cutoff
TRINITY_DN130291_c2_g1_i1	1.438668904	meanmale	FC3
TRINITY_DN124380_c13_g1_i1	2.074460782	meanmale	FC3
TRINITY_DN123704_c2_g4_i2	2.679899031	meanmale	FC3
TRINITY_DN128940_c2_g1_i1	2.972673062	meanmale	FC3
TRINITY_DN134012_c5_g2_i1	3.914382182	meanmale	FC5
TRINITY_DN113348_c0_g3_i1	3.321791736	meanmale	FC5
TRINITY_DN179330_c0_g1_i1	3.810295188	meanmale	FC5
TRINITY_DN126089_c1_g1_i2	1.818380771	meanmale	FC5
TRINITY_DN131507_c1_g1_i1	2.433821859	meanmale	FC7
TRINITY_DN135864_c0_g11_i1	2.797312317	meanmale	FC7
TRINITY_DN128065_c4_g6_i1	2.461491142	meanfemale	FC1
TRINITY_DN118885_c0_g1_i1	3.885728599	meanfemale	FC1
TRINITY_DN133911_c4_g9_i1	1.888971392	meanfemale	FC1
TRINITY_DN193423_c0_g1_i1	3.457249998	meanfemale	FC1
TRINITY_DN124548_c3_g1_i1	2.971153408	meanfemale	FC1
TRINITY_DN132067_c0_g1_i6	2.670350897	meanfemale	FC1
TRINITY_DN124990_c0_g3_i2	6.409905192	meanfemale	FC1
TRINITY_DN127460_c5_g2_i1	3.341381946	meanfemale	FC1
TRINITY_DN130953_c3_g3_i1	5.037270952	meanfemale	FC1
TRINITY_DN130362_c0_g1_i1	0.177767843	meanfemale	FC1
TRINITY_DN122195_c3_g2_i1	2.02575492	meanfemale	FC1
TRINITY_DN123723_c1_g1_i1	6.76575485	meanfemale	FC1
TRINITY_DN131896_c3_g1_i2	5.228659161	meanfemale	FC1
TRINITY_DN129860_c0_g3_i1	5.8030935	meanfemale	FC1
TRINITY_DN131771_c1_g1_i2	3.377603774	meanfemale	FC1
TRINITY_DN96922_c0_g1_i1	3.494816813	meanfemale	FC1
TRINITY_DN119358_c1_g2_i4	1.69154574	meanfemale	FC1
TRINITY_DN100376_c0_g3_i1	3.613042677	meanfemale	FC1
TRINITY_DN111143_c0_g1_i2	3.829767144	meanfemale	FC1
TRINITY_DN130699_c6_g2_i2	4.536936655	meanfemale	FC1
TRINITY_DN136241_c3_g1_i3	2.009883657	meanfemale	FC1
TRINITY_DN44500_c0_g1_i1	2.390267505	meanfemale	FC1
TRINITY_DN159788_c0_g1_i1	3.978812571	meanfemale	FC1
TRINITY_DN130675_c0_g1_i3	4.334907304	meanfemale	FC1
TRINITY_DN122349_c0_g1_i2	0.506170546	meanfemale	FC1
TRINITY_DN132293_c0_g2_i1	-0.268656497	meanfemale	FC1
TRINITY_DN124234_c1_g3_i1	4.904479016	meanfemale	FC1
TRINITY_DN131738_c0_g7_i11	3.5909142	meanfemale	FC1
TRINITY_DN126104_c3_g4_i3	1.496447739	meanfemale	FC1
TRINITY_DN119631_c0_g1_i1	4.956779401	meanfemale	FC1
TRINITY_DN132129_c0_g1_i2	2.502241737	meanfemale	FC1
TRINITY_DN124922_c6_g7_i1	2.318755377	meanfemale	FC1
TRINITY_DN130050_c8_g5_i3	1.6742468	meanfemale	FC1
TRINITY_DN121659_c3_g1_i2	3.347440548	meanfemale	FC1
