"gid"	"log2RPKM"	"sex"	"bias"
"TRINITY_DN125497_c0_g1_i2"	-4.661104473	"meanmale"	"female"
"TRINITY_DN101425_c0_g1_i1"	-5.727060239	"meanmale"	"female"
"TRINITY_DN136663_c13_g1_i1"	0.398843118	"meanmale"	"female"
"TRINITY_DN115116_c0_g1_i1"	-3.774329509	"meanmale"	"female"
"TRINITY_DN102894_c0_g3_i1"	-13.28771238	"meanmale"	"female"
"TRINITY_DN114382_c0_g1_i2"	-0.205373136	"meanmale"	"female"
"TRINITY_DN131491_c0_g1_i5"	-8.309295969	"meanmale"	"female"
"TRINITY_DN121071_c0_g1_i4"	-0.981227166	"meanmale"	"female"
"TRINITY_DN123462_c3_g1_i1"	-2.703620329	"meanmale"	"female"
"TRINITY_DN118496_c0_g1_i2"	-0.314260831	"meanmale"	"female"
"TRINITY_DN99742_c0_g1_i1"	-5.184356352	"meanmale"	"female"
"TRINITY_DN98334_c0_g1_i1"	-2.448843083	"meanmale"	"female"
"TRINITY_DN44677_c0_g2_i1"	-13.28771238	"meanmale"	"female"
"TRINITY_DN109913_c0_g1_i1"	-3.856296145	"meanmale"	"female"
"TRINITY_DN103565_c0_g2_i1"	-2.87521045	"meanmale"	"female"
"TRINITY_DN80690_c2_g2_i1"	-3.136558173	"meanmale"	"female"
"TRINITY_DN108208_c0_g1_i3"	1.287410386	"meanmale"	"female"
"TRINITY_DN91515_c0_g3_i1"	-3.097387463	"meanmale"	"female"
"TRINITY_DN92371_c1_g2_i1"	-13.28771238	"meanmale"	"female"
"TRINITY_DN125119_c3_g3_i1"	-4.027218013	"meanmale"	"female"
"TRINITY_DN131426_c0_g3_i1"	-4.095750727	"meanmale"	"female"
"TRINITY_DN120071_c0_g1_i2"	-0.976506688	"meanmale"	"female"
"TRINITY_DN114530_c0_g7_i1"	-4.27968959	"meanmale"	"female"
"TRINITY_DN114684_c0_g1_i1"	-0.022831473	"meanmale"	"female"
"TRINITY_DN135230_c0_g1_i5"	-0.542118194	"meanmale"	"female"
"TRINITY_DN132736_c0_g1_i2"	-4.672846586	"meanmale"	"female"
"TRINITY_DN97837_c0_g1_i1"	-13.28771238	"meanmale"	"female"
"TRINITY_DN127850_c0_g1_i1"	-3.364037079	"meanmale"	"female"
"TRINITY_DN22630_c0_g1_i1"	-13.28771238	"meanmale"	"female"
"TRINITY_DN98815_c0_g2_i1"	2.554837359	"meanmale"	"female"
"TRINITY_DN124938_c5_g3_i1"	-4.44678365	"meanmale"	"female"
"TRINITY_DN128648_c7_g2_i1"	0.033199523	"meanmale"	"female"
"TRINITY_DN111236_c0_g1_i1"	0.462228379	"meanmale"	"female"
"TRINITY_DN122009_c0_g1_i1"	-0.492225105	"meanmale"	"female"
"TRINITY_DN110915_c0_g1_i1"	-2.449719291	"meanmale"	"female"
"TRINITY_DN135585_c3_g1_i1"	-2.230902405	"meanmale"	"female"
"TRINITY_DN119839_c0_g5_i2"	-3.596057511	"meanmale"	"female"
"TRINITY_DN110644_c0_g1_i1"	-2.383231545	"meanmale"	"female"
"TRINITY_DN90720_c0_g1_i1"	-4.575578802	"meanmale"	"female"
"TRINITY_DN115522_c0_g1_i1"	-6.642376484	"meanmale"	"female"
"TRINITY_DN128020_c1_g1_i1"	-2.180982932	"meanmale"	"female"
