"gid"	"log2RPKM"	"sex"	"bias"
"TRINITY_DN113395_c0_g1_i5"	4.711362708	"meanfemale"	"female"
"TRINITY_DN121222_c0_g1_i2"	4.492757134	"meanfemale"	"female"
"TRINITY_DN128839_c0_g4_i2"	9.037651633	"meanfemale"	"female"
"TRINITY_DN136067_c0_g2_i4"	2.135974529	"meanfemale"	"female"
"TRINITY_DN114501_c0_g1_i2"	4.133314375	"meanfemale"	"female"
"TRINITY_DN123922_c3_g3_i5"	3.559322408	"meanfemale"	"female"
"TRINITY_DN129805_c0_g1_i4"	7.460121198	"meanfemale"	"female"
"TRINITY_DN119247_c0_g1_i1"	2.528373526	"meanfemale"	"female"
"TRINITY_DN128285_c6_g3_i4"	6.903560503	"meanfemale"	"female"
"TRINITY_DN129454_c4_g4_i2"	4.197065071	"meanfemale"	"female"
"TRINITY_DN123006_c2_g4_i2"	4.639224073	"meanfemale"	"female"
"TRINITY_DN129781_c0_g1_i1"	6.546414468	"meanfemale"	"female"
"TRINITY_DN126363_c6_g1_i1"	5.862192787	"meanfemale"	"female"
"TRINITY_DN136069_c4_g3_i1"	3.171722906	"meanfemale"	"female"
"TRINITY_DN125619_c0_g1_i4"	5.974742382	"meanfemale"	"female"
"TRINITY_DN128022_c0_g1_i3"	0.879802027	"meanfemale"	"female"
"TRINITY_DN134982_c4_g2_i4"	5.529562017	"meanfemale"	"female"
"TRINITY_DN128160_c0_g1_i1"	2.952231729	"meanfemale"	"female"
"TRINITY_DN127686_c0_g1_i3"	5.538560471	"meanfemale"	"female"
"TRINITY_DN129291_c3_g7_i3"	3.307278116	"meanfemale"	"female"
"TRINITY_DN136031_c3_g1_i2"	2.893602848	"meanfemale"	"female"
"TRINITY_DN125105_c2_g1_i2"	3.862081554	"meanfemale"	"female"
"TRINITY_DN113177_c0_g1_i2"	3.404282392	"meanfemale"	"female"
"TRINITY_DN124856_c0_g1_i2"	6.158671038	"meanfemale"	"female"
"TRINITY_DN151549_c0_g1_i1"	3.599288745	"meanfemale"	"female"
"TRINITY_DN122094_c7_g1_i2"	4.340926352	"meanfemale"	"female"
"TRINITY_DN129058_c1_g1_i1"	6.308521213	"meanfemale"	"female"
"TRINITY_DN135463_c0_g2_i4"	4.922062681	"meanfemale"	"female"
"TRINITY_DN111417_c0_g1_i3"	4.970201387	"meanfemale"	"female"
"TRINITY_DN127367_c4_g3_i1"	0.986947278	"meanfemale"	"female"
"TRINITY_DN97677_c0_g1_i1"	6.61133785	"meanfemale"	"female"
"TRINITY_DN122954_c0_g2_i1"	2.882955929	"meanfemale"	"female"
"TRINITY_DN123920_c0_g1_i1"	1.075351227	"meanfemale"	"female"
"TRINITY_DN126146_c1_g1_i1"	3.824927733	"meanfemale"	"female"
"TRINITY_DN126136_c0_g1_i5"	4.438146581	"meanfemale"	"female"
"TRINITY_DN128230_c0_g2_i1"	4.66846002	"meanfemale"	"female"
"TRINITY_DN133394_c6_g1_i2"	5.447767381	"meanfemale"	"female"
"TRINITY_DN133878_c0_g1_i1"	3.383911888	"meanfemale"	"female"
"TRINITY_DN133585_c15_g3_i1"	5.970335687	"meanfemale"	"female"
"TRINITY_DN112144_c0_g1_i4"	1.305492797	"meanfemale"	"female"
"TRINITY_DN124582_c0_g2_i1"	3.007168037	"meanfemale"	"female"
"TRINITY_DN123160_c3_g1_i1"	3.644286499	"meanfemale"	"female"
"TRINITY_DN122475_c2_g1_i2"	4.013387895	"meanfemale"	"female"
"TRINITY_DN132585_c0_g2_i1"	4.444355739	"meanfemale"	"female"
"TRINITY_DN109459_c0_g1_i1"	4.888137496	"meanfemale"	"female"
"TRINITY_DN126490_c0_g3_i1"	2.330871468	"meanfemale"	"female"
"TRINITY_DN131961_c0_g1_i3"	4.536672074	"meanfemale"	"female"
"TRINITY_DN135185_c1_g4_i1"	5.797958806	"meanfemale"	"female"
"TRINITY_DN134946_c4_g2_i1"	6.212674735	"meanfemale"	"female"
"TRINITY_DN121781_c0_g1_i1"	7.833785736	"meanfemale"	"female"
"TRINITY_DN129923_c0_g2_i3"	4.660132274	"meanfemale"	"female"
"TRINITY_DN120936_c0_g1_i1"	7.485118227	"meanfemale"	"female"
"TRINITY_DN130418_c8_g2_i1"	5.93316425	"meanfemale"	"female"
"TRINITY_DN127097_c1_g2_i1"	4.26025161	"meanfemale"	"female"
"TRINITY_DN133742_c0_g1_i3"	-0.148433735	"meanfemale"	"female"
"TRINITY_DN117128_c0_g1_i3"	4.450219209	"meanfemale"	"female"
"TRINITY_DN48969_c0_g2_i1"	4.453460698	"meanfemale"	"female"
"TRINITY_DN126639_c0_g1_i1"	5.249771475	"meanfemale"	"female"
"TRINITY_DN120105_c0_g1_i1"	3.325221867	"meanfemale"	"female"
"TRINITY_DN104354_c0_g1_i5"	4.726576441	"meanfemale"	"female"
"TRINITY_DN134964_c0_g4_i1"	5.440229522	"meanfemale"	"female"
"TRINITY_DN162506_c0_g1_i1"	2.429146479	"meanfemale"	"female"
"TRINITY_DN130013_c3_g2_i1"	3.429785789	"meanfemale"	"female"
"TRINITY_DN130360_c0_g2_i1"	4.974758064	"meanfemale"	"female"
"TRINITY_DN123057_c1_g1_i1"	3.141006334	"meanfemale"	"female"
"TRINITY_DN120727_c0_g2_i1"	5.062677263	"meanfemale"	"female"
"TRINITY_DN23317_c0_g1_i1"	1.498898415	"meanfemale"	"female"
"TRINITY_DN130417_c0_g1_i2"	0.590220077	"meanfemale"	"female"
"TRINITY_DN130360_c0_g4_i1"	4.263579225	"meanfemale"	"female"
"TRINITY_DN119914_c0_g1_i4"	6.612946315	"meanfemale"	"female"
"TRINITY_DN77617_c1_g1_i1"	2.319581211	"meanfemale"	"female"
"TRINITY_DN129618_c2_g1_i1"	3.734832128	"meanfemale"	"female"
"TRINITY_DN89464_c0_g1_i1"	5.235914779	"meanfemale"	"female"
"TRINITY_DN94557_c1_g1_i1"	6.855020964	"meanfemale"	"female"
"TRINITY_DN116971_c0_g2_i1"	6.28991388	"meanfemale"	"female"
"TRINITY_DN123177_c0_g1_i11"	7.262640509	"meanfemale"	"female"
"TRINITY_DN135508_c3_g1_i4"	5.21978067	"meanfemale"	"female"
"TRINITY_DN134513_c3_g1_i2"	6.645196158	"meanfemale"	"female"
"TRINITY_DN126626_c0_g1_i1"	3.680842345	"meanfemale"	"female"
"TRINITY_DN133471_c3_g1_i1"	2.976271399	"meanfemale"	"female"
"TRINITY_DN134750_c7_g1_i1"	5.211009754	"meanfemale"	"female"
"TRINITY_DN128713_c3_g1_i1"	1.617464355	"meanfemale"	"female"
"TRINITY_DN127008_c0_g1_i1"	4.007604249	"meanfemale"	"female"
"TRINITY_DN117399_c0_g1_i1"	6.575069462	"meanfemale"	"female"
"TRINITY_DN128113_c2_g1_i1"	4.624975403	"meanfemale"	"female"
"TRINITY_DN180695_c0_g1_i1"	1.293204627	"meanfemale"	"female"
"TRINITY_DN15906_c0_g1_i1"	1.926557221	"meanfemale"	"female"
"TRINITY_DN130662_c0_g1_i1"	3.823648339	"meanfemale"	"female"
"TRINITY_DN122613_c2_g1_i1"	4.395893613	"meanfemale"	"female"
"TRINITY_DN134986_c0_g1_i1"	5.959522826	"meanfemale"	"female"
"TRINITY_DN112380_c0_g3_i2"	3.996507755	"meanfemale"	"female"
"TRINITY_DN119636_c0_g2_i2"	2.08699971	"meanfemale"	"female"
"TRINITY_DN133531_c8_g13_i6"	7.546430173	"meanfemale"	"female"
"TRINITY_DN133833_c3_g1_i5"	2.945656954	"meanfemale"	"female"
"TRINITY_DN129596_c3_g3_i3"	4.656460589	"meanfemale"	"female"
"TRINITY_DN132203_c0_g1_i1"	4.542417568	"meanfemale"	"female"
"TRINITY_DN132241_c1_g2_i1"	5.391416676	"meanfemale"	"female"
"TRINITY_DN117133_c0_g1_i1"	6.146165821	"meanfemale"	"female"
"TRINITY_DN134292_c9_g4_i1"	6.189880802	"meanfemale"	"female"
"TRINITY_DN133133_c0_g2_i1"	4.044058586	"meanfemale"	"female"
"TRINITY_DN110801_c0_g2_i1"	3.960723229	"meanfemale"	"female"
"TRINITY_DN114976_c0_g1_i1"	4.368608702	"meanfemale"	"female"
"TRINITY_DN134752_c6_g1_i2"	3.988573573	"meanfemale"	"female"
"TRINITY_DN123892_c1_g1_i2"	5.520112434	"meanfemale"	"female"
"TRINITY_DN119598_c1_g1_i1"	4.223571767	"meanfemale"	"female"
"TRINITY_DN72823_c0_g1_i1"	5.554890713	"meanfemale"	"female"
"TRINITY_DN131979_c3_g2_i1"	4.233460871	"meanfemale"	"female"
"TRINITY_DN135820_c0_g1_i2"	1.471801373	"meanfemale"	"female"
"TRINITY_DN129699_c2_g5_i1"	8.118358412	"meanfemale"	"female"
"TRINITY_DN130123_c0_g1_i2"	3.367406551	"meanfemale"	"female"
"TRINITY_DN122613_c2_g2_i1"	3.815120824	"meanfemale"	"female"
"TRINITY_DN126452_c0_g2_i3"	4.625868576	"meanfemale"	"female"
"TRINITY_DN118748_c0_g2_i1"	1.481343764	"meanfemale"	"female"
"TRINITY_DN111067_c0_g1_i1"	4.430800322	"meanfemale"	"female"
"TRINITY_DN129512_c2_g1_i1"	4.311949416	"meanfemale"	"female"
"TRINITY_DN120402_c0_g1_i4"	6.329125631	"meanfemale"	"female"
"TRINITY_DN133859_c1_g1_i1"	5.910849654	"meanfemale"	"female"
"TRINITY_DN102559_c0_g2_i1"	4.151381698	"meanfemale"	"female"
"TRINITY_DN134128_c0_g1_i4"	3.606524823	"meanfemale"	"female"
"TRINITY_DN134513_c2_g1_i2"	4.081900968	"meanfemale"	"female"
"TRINITY_DN97630_c0_g1_i1"	1.817032773	"meanfemale"	"female"
"TRINITY_DN126660_c0_g3_i5"	3.015371505	"meanfemale"	"female"
"TRINITY_DN134822_c0_g1_i1"	-0.497481638	"meanfemale"	"female"
"TRINITY_DN129469_c0_g2_i4"	4.474442068	"meanfemale"	"female"
"TRINITY_DN125848_c0_g1_i3"	6.198153105	"meanfemale"	"female"
"TRINITY_DN116202_c0_g1_i6"	3.501891781	"meanfemale"	"female"
"TRINITY_DN112975_c0_g1_i1"	3.99571237	"meanfemale"	"female"
"TRINITY_DN110920_c0_g1_i2"	5.511807574	"meanfemale"	"female"
"TRINITY_DN126011_c0_g1_i2"	4.377257327	"meanfemale"	"female"
"TRINITY_DN134800_c12_g5_i1"	4.985487174	"meanfemale"	"female"
"TRINITY_DN132190_c0_g2_i2"	4.947402296	"meanfemale"	"female"
"TRINITY_DN128358_c2_g2_i8"	3.457839668	"meanfemale"	"female"
"TRINITY_DN123221_c0_g3_i3"	4.022888444	"meanfemale"	"female"
"TRINITY_DN132619_c0_g1_i1"	6.305142179	"meanfemale"	"female"
"TRINITY_DN126555_c5_g5_i1"	4.660245794	"meanfemale"	"female"
"TRINITY_DN67240_c0_g1_i1"	3.57330012	"meanfemale"	"female"
"TRINITY_DN128880_c4_g1_i2"	4.490722793	"meanfemale"	"female"
"TRINITY_DN134139_c3_g1_i1"	2.400697148	"meanfemale"	"female"
"TRINITY_DN128952_c0_g1_i4"	6.447119433	"meanfemale"	"female"
"TRINITY_DN130120_c0_g3_i1"	3.098706726	"meanfemale"	"female"
"TRINITY_DN107178_c0_g3_i1"	5.244184987	"meanfemale"	"female"
"TRINITY_DN123389_c0_g1_i4"	4.64667731	"meanfemale"	"female"
"TRINITY_DN127224_c0_g2_i5"	2.546010931	"meanfemale"	"female"
"TRINITY_DN113666_c1_g1_i1"	4.728128282	"meanfemale"	"female"
"TRINITY_DN13815_c0_g2_i1"	2.396396533	"meanfemale"	"female"
"TRINITY_DN122644_c2_g2_i1"	5.312191518	"meanfemale"	"female"
"TRINITY_DN130230_c0_g1_i1"	2.968900142	"meanfemale"	"female"
"TRINITY_DN131896_c2_g2_i3"	4.917532534	"meanfemale"	"female"
"TRINITY_DN129628_c2_g2_i2"	1.693700701	"meanfemale"	"female"
"TRINITY_DN130266_c3_g6_i3"	1.869650376	"meanfemale"	"female"
"TRINITY_DN126400_c4_g2_i1"	2.873225466	"meanfemale"	"female"
"TRINITY_DN125052_c1_g2_i1"	5.476762615	"meanfemale"	"female"
"TRINITY_DN130881_c3_g4_i2"	6.629754432	"meanfemale"	"female"
"TRINITY_DN103834_c0_g11_i1"	4.604951739	"meanfemale"	"female"
"TRINITY_DN134178_c3_g1_i1"	3.927855236	"meanfemale"	"female"
"TRINITY_DN119418_c0_g1_i1"	5.963837204	"meanfemale"	"female"
"TRINITY_DN129911_c4_g3_i1"	5.976064881	"meanfemale"	"female"
"TRINITY_DN134225_c0_g3_i3"	5.098791272	"meanfemale"	"female"
"TRINITY_DN135727_c3_g1_i1"	4.740195194	"meanfemale"	"female"
"TRINITY_DN213100_c0_g1_i1"	4.114116013	"meanfemale"	"female"
"TRINITY_DN106372_c0_g1_i1"	5.292157343	"meanfemale"	"female"
"TRINITY_DN123456_c0_g6_i3"	5.787404594	"meanfemale"	"female"
"TRINITY_DN102903_c0_g1_i1"	2.209463924	"meanfemale"	"female"
"TRINITY_DN136458_c4_g1_i5"	4.707257706	"meanfemale"	"female"
"TRINITY_DN127973_c6_g3_i3"	5.031746233	"meanfemale"	"female"
"TRINITY_DN134777_c0_g1_i1"	2.375991117	"meanfemale"	"female"
"TRINITY_DN134645_c1_g2_i1"	3.081331353	"meanfemale"	"female"
"TRINITY_DN135405_c1_g3_i1"	2.875390391	"meanfemale"	"female"
"TRINITY_DN114147_c0_g2_i4"	1.840114553	"meanfemale"	"female"
"TRINITY_DN121669_c0_g1_i1"	3.739445512	"meanfemale"	"female"
"TRINITY_DN126502_c1_g1_i3"	4.115764482	"meanfemale"	"female"
"TRINITY_DN132837_c0_g1_i1"	7.447014063	"meanfemale"	"female"
"TRINITY_DN132355_c6_g2_i1"	-1.130058089	"meanfemale"	"female"
"TRINITY_DN121645_c1_g1_i1"	2.184670397	"meanfemale"	"female"
"TRINITY_DN121482_c1_g1_i1"	5.869783389	"meanfemale"	"female"
"TRINITY_DN133399_c1_g5_i1"	5.946731143	"meanfemale"	"female"
"TRINITY_DN120102_c0_g1_i2"	6.022757969	"meanfemale"	"female"
"TRINITY_DN132059_c0_g1_i2"	3.999905534	"meanfemale"	"female"
"TRINITY_DN113697_c0_g1_i2"	4.620440173	"meanfemale"	"female"
"TRINITY_DN128631_c3_g1_i2"	4.151724918	"meanfemale"	"female"
"TRINITY_DN128193_c1_g4_i1"	0.872841813	"meanfemale"	"female"
"TRINITY_DN125015_c5_g1_i1"	4.400631293	"meanfemale"	"female"
"TRINITY_DN125866_c5_g2_i2"	6.532208143	"meanfemale"	"female"
"TRINITY_DN125546_c0_g2_i2"	5.308230977	"meanfemale"	"female"
"TRINITY_DN129734_c0_g1_i1"	3.281592676	"meanfemale"	"female"
"TRINITY_DN136061_c8_g1_i2"	3.730635936	"meanfemale"	"female"
"TRINITY_DN112107_c0_g1_i1"	3.818920935	"meanfemale"	"female"
"TRINITY_DN132161_c2_g1_i2"	5.403749296	"meanfemale"	"female"
"TRINITY_DN123436_c8_g2_i10"	5.184716232	"meanfemale"	"female"
"TRINITY_DN129807_c6_g4_i1"	1.867543317	"meanfemale"	"female"
"TRINITY_DN135593_c0_g1_i1"	3.834289341	"meanfemale"	"female"
"TRINITY_DN125797_c1_g1_i2"	9.592490577	"meanfemale"	"female"
"TRINITY_DN134384_c2_g1_i1"	3.730717772	"meanfemale"	"female"
"TRINITY_DN126930_c1_g3_i1"	5.486846623	"meanfemale"	"female"
"TRINITY_DN126871_c1_g5_i2"	3.596149074	"meanfemale"	"female"
"TRINITY_DN134169_c15_g2_i4"	2.984087223	"meanfemale"	"female"
"TRINITY_DN132390_c0_g2_i1"	5.642899812	"meanfemale"	"female"
"TRINITY_DN109721_c0_g2_i5"	0.172095311	"meanfemale"	"female"
"TRINITY_DN121416_c0_g1_i2"	3.933961079	"meanfemale"	"female"
"TRINITY_DN130886_c1_g5_i2"	3.640411415	"meanfemale"	"female"
"TRINITY_DN118637_c0_g1_i1"	5.037534945	"meanfemale"	"female"
"TRINITY_DN132873_c0_g10_i1"	5.869552659	"meanfemale"	"female"
"TRINITY_DN126721_c4_g1_i3"	4.763598911	"meanfemale"	"female"
"TRINITY_DN108429_c0_g1_i1"	5.042901687	"meanfemale"	"female"
"TRINITY_DN122094_c7_g2_i1"	4.994848601	"meanfemale"	"female"
"TRINITY_DN128789_c1_g1_i1"	4.616117159	"meanfemale"	"female"
"TRINITY_DN134842_c5_g11_i2"	1.713177535	"meanfemale"	"female"
"TRINITY_DN123728_c5_g3_i1"	1.624160241	"meanfemale"	"female"
"TRINITY_DN134750_c8_g6_i3"	5.059550889	"meanfemale"	"female"
"TRINITY_DN129193_c3_g1_i1"	4.988842782	"meanfemale"	"female"
"TRINITY_DN132771_c1_g1_i1"	4.027082088	"meanfemale"	"female"
"TRINITY_DN126634_c0_g2_i1"	4.825942956	"meanfemale"	"female"
"TRINITY_DN135735_c0_g1_i1"	4.771512701	"meanfemale"	"female"
"TRINITY_DN132088_c1_g2_i2"	4.362279717	"meanfemale"	"female"
"TRINITY_DN128140_c8_g1_i1"	4.070754755	"meanfemale"	"female"
"TRINITY_DN135298_c1_g1_i1"	4.039209216	"meanfemale"	"female"
"TRINITY_DN135009_c0_g3_i1"	3.356573468	"meanfemale"	"female"
"TRINITY_DN134913_c0_g3_i1"	3.62404213	"meanfemale"	"female"
"TRINITY_DN124500_c2_g1_i2"	5.580730051	"meanfemale"	"female"
"TRINITY_DN69000_c0_g1_i1"	5.097411506	"meanfemale"	"female"
"TRINITY_DN127273_c0_g3_i2"	8.141156844	"meanfemale"	"female"
"TRINITY_DN135378_c2_g16_i3"	2.117911244	"meanfemale"	"female"
"TRINITY_DN184834_c0_g1_i1"	3.246512612	"meanfemale"	"female"
"TRINITY_DN127685_c0_g1_i1"	2.477134333	"meanfemale"	"female"
"TRINITY_DN108717_c0_g3_i1"	2.506057677	"meanfemale"	"female"
"TRINITY_DN118628_c0_g2_i3"	3.569759409	"meanfemale"	"female"
"TRINITY_DN116499_c0_g1_i2"	7.58252949	"meanfemale"	"female"
"TRINITY_DN117912_c0_g2_i1"	1.967240919	"meanfemale"	"female"
"TRINITY_DN133919_c5_g3_i1"	5.086844606	"meanfemale"	"female"
"TRINITY_DN128884_c2_g3_i2"	4.286072665	"meanfemale"	"female"
"TRINITY_DN87009_c0_g2_i1"	5.932342892	"meanfemale"	"female"
"TRINITY_DN127457_c0_g2_i2"	4.122245222	"meanfemale"	"female"
"TRINITY_DN106219_c0_g3_i1"	7.679969862	"meanfemale"	"female"
"TRINITY_DN135283_c2_g7_i1"	4.316989129	"meanfemale"	"female"
"TRINITY_DN134219_c0_g1_i3"	4.01366449	"meanfemale"	"female"
"TRINITY_DN130202_c0_g1_i3"	4.600939066	"meanfemale"	"female"
"TRINITY_DN126355_c0_g1_i1"	4.632660358	"meanfemale"	"female"
"TRINITY_DN130389_c11_g1_i3"	4.213021371	"meanfemale"	"female"
"TRINITY_DN108450_c0_g4_i1"	6.901664687	"meanfemale"	"female"
"TRINITY_DN128624_c2_g1_i2"	4.091234919	"meanfemale"	"female"
"TRINITY_DN129935_c2_g1_i5"	4.042177495	"meanfemale"	"female"
"TRINITY_DN129032_c7_g7_i5"	4.423000563	"meanfemale"	"female"
"TRINITY_DN130608_c5_g1_i1"	5.075227123	"meanfemale"	"female"
"TRINITY_DN119997_c1_g2_i8"	3.890971214	"meanfemale"	"female"
"TRINITY_DN126135_c3_g4_i2"	4.748356509	"meanfemale"	"female"
"TRINITY_DN134718_c1_g5_i5"	6.710671497	"meanfemale"	"female"
"TRINITY_DN131015_c3_g1_i4"	1.144135397	"meanfemale"	"female"
"TRINITY_DN113124_c0_g1_i3"	7.791703866	"meanfemale"	"female"
"TRINITY_DN130542_c0_g1_i9"	4.978174168	"meanfemale"	"female"
"TRINITY_DN134466_c4_g3_i1"	2.321928162	"meanfemale"	"female"
"TRINITY_DN151691_c0_g1_i1"	1.64888784	"meanfemale"	"female"
"TRINITY_DN124173_c0_g1_i4"	4.257147753	"meanfemale"	"female"
"TRINITY_DN131081_c2_g5_i2"	4.356650324	"meanfemale"	"female"
"TRINITY_DN127534_c6_g1_i3"	4.668518669	"meanfemale"	"female"
"TRINITY_DN90330_c0_g2_i1"	3.183972607	"meanfemale"	"female"
"TRINITY_DN134431_c0_g3_i1"	4.692668229	"meanfemale"	"female"
"TRINITY_DN95621_c0_g3_i1"	3.76951741	"meanfemale"	"female"
"TRINITY_DN132235_c2_g1_i3"	5.779047799	"meanfemale"	"female"
"TRINITY_DN129314_c5_g1_i1"	3.473795452	"meanfemale"	"female"
"TRINITY_DN136207_c10_g1_i1"	1.41051496	"meanfemale"	"female"
"TRINITY_DN121228_c0_g1_i1"	7.194191123	"meanfemale"	"female"
"TRINITY_DN96270_c0_g1_i1"	5.755187458	"meanfemale"	"female"
"TRINITY_DN131864_c2_g5_i1"	6.251639534	"meanfemale"	"female"
"TRINITY_DN127963_c1_g12_i1"	5.58292798	"meanfemale"	"female"
"TRINITY_DN133682_c0_g2_i3"	3.909583646	"meanfemale"	"female"
"TRINITY_DN117614_c0_g1_i1"	3.53354296	"meanfemale"	"female"
"TRINITY_DN129489_c0_g1_i5"	3.368520379	"meanfemale"	"female"
"TRINITY_DN132392_c3_g2_i2"	8.819128137	"meanfemale"	"female"
"TRINITY_DN106700_c0_g5_i1"	4.535901648	"meanfemale"	"female"
"TRINITY_DN116593_c2_g1_i4"	1.847803266	"meanfemale"	"female"
"TRINITY_DN85713_c0_g1_i1"	4.377603586	"meanfemale"	"female"
"TRINITY_DN135145_c0_g1_i6"	4.278325735	"meanfemale"	"female"
"TRINITY_DN91510_c0_g1_i1"	6.017901925	"meanfemale"	"female"
"TRINITY_DN4253_c0_g1_i1"	1.357575633	"meanfemale"	"female"
"TRINITY_DN114914_c0_g1_i1"	1.63818946	"meanfemale"	"female"
"TRINITY_DN153313_c0_g1_i1"	2.601800247	"meanfemale"	"female"
"TRINITY_DN116507_c0_g2_i1"	5.943267926	"meanfemale"	"female"
"TRINITY_DN135339_c0_g1_i3"	3.156480531	"meanfemale"	"female"
"TRINITY_DN121334_c5_g4_i1"	6.640473602	"meanfemale"	"female"
"TRINITY_DN128388_c1_g4_i2"	6.466984561	"meanfemale"	"female"
"TRINITY_DN23309_c0_g1_i1"	3.096245452	"meanfemale"	"female"
"TRINITY_DN130994_c0_g1_i1"	2.478918358	"meanfemale"	"female"
"TRINITY_DN136313_c8_g4_i2"	3.412146825	"meanfemale"	"female"
"TRINITY_DN126455_c0_g2_i1"	4.097368684	"meanfemale"	"female"
"TRINITY_DN135480_c3_g10_i5"	3.290000002	"meanfemale"	"female"
"TRINITY_DN128901_c1_g2_i1"	3.380891799	"meanfemale"	"female"
"TRINITY_DN114874_c0_g1_i1"	5.534494152	"meanfemale"	"female"
"TRINITY_DN126309_c0_g2_i1"	2.531605507	"meanfemale"	"female"
"TRINITY_DN128906_c7_g1_i4"	5.641415184	"meanfemale"	"female"
"TRINITY_DN108604_c0_g1_i1"	4.250382551	"meanfemale"	"female"
"TRINITY_DN135490_c1_g1_i2"	4.888529505	"meanfemale"	"female"
"TRINITY_DN109864_c0_g1_i1"	6.741193054	"meanfemale"	"female"
"TRINITY_DN130859_c0_g2_i1"	2.368332826	"meanfemale"	"female"
"TRINITY_DN127737_c0_g1_i1"	2.241828053	"meanfemale"	"female"
"TRINITY_DN124832_c7_g1_i3"	3.135204576	"meanfemale"	"female"
"TRINITY_DN128067_c1_g4_i1"	3.635303985	"meanfemale"	"female"
"TRINITY_DN123609_c1_g4_i6"	2.494489508	"meanfemale"	"female"
"TRINITY_DN124868_c3_g1_i6"	1.507836513	"meanfemale"	"female"
"TRINITY_DN127934_c2_g4_i1"	4.662035438	"meanfemale"	"female"
"TRINITY_DN128790_c6_g6_i5"	6.251309999	"meanfemale"	"female"
"TRINITY_DN131091_c9_g1_i1"	3.276122748	"meanfemale"	"female"
"TRINITY_DN128117_c3_g1_i1"	5.149546771	"meanfemale"	"female"
"TRINITY_DN134224_c4_g2_i1"	3.720688408	"meanfemale"	"female"
"TRINITY_DN136278_c0_g3_i2"	2.77065125	"meanfemale"	"female"
"TRINITY_DN130498_c1_g3_i1"	4.703961145	"meanfemale"	"female"
"TRINITY_DN125473_c4_g2_i1"	3.930351373	"meanfemale"	"female"
"TRINITY_DN128641_c0_g2_i1"	7.989715157	"meanfemale"	"female"
"TRINITY_DN131500_c1_g1_i2"	1.519609244	"meanfemale"	"female"
"TRINITY_DN124655_c4_g3_i12"	2.714145625	"meanfemale"	"female"
"TRINITY_DN112533_c0_g1_i1"	3.595978479	"meanfemale"	"female"
"TRINITY_DN131570_c0_g1_i2"	3.412372522	"meanfemale"	"female"
"TRINITY_DN130448_c1_g11_i1"	3.68658507	"meanfemale"	"female"
"TRINITY_DN122613_c1_g1_i3"	4.326708869	"meanfemale"	"female"
"TRINITY_DN108703_c0_g8_i1"	3.403677882	"meanfemale"	"female"
"TRINITY_DN131859_c7_g2_i1"	2.828487549	"meanfemale"	"female"
"TRINITY_DN126582_c2_g1_i3"	2.628530956	"meanfemale"	"female"
"TRINITY_DN129346_c3_g2_i3"	5.906544961	"meanfemale"	"female"
"TRINITY_DN134524_c2_g2_i1"	6.82768532	"meanfemale"	"female"
"TRINITY_DN131733_c1_g1_i6"	5.097109649	"meanfemale"	"female"
"TRINITY_DN131878_c1_g4_i1"	3.481550401	"meanfemale"	"female"
"TRINITY_DN125663_c7_g4_i1"	6.236300319	"meanfemale"	"female"
"TRINITY_DN128368_c0_g1_i1"	4.754829352	"meanfemale"	"female"
"TRINITY_DN118734_c0_g1_i4"	3.569516634	"meanfemale"	"female"
"TRINITY_DN112756_c0_g1_i1"	3.218104986	"meanfemale"	"female"
"TRINITY_DN119891_c0_g1_i1"	5.574571915	"meanfemale"	"female"
"TRINITY_DN126405_c0_g1_i1"	7.921344373	"meanfemale"	"female"
"TRINITY_DN84147_c0_g1_i1"	6.020484461	"meanfemale"	"female"
"TRINITY_DN130143_c0_g1_i2"	5.856552058	"meanfemale"	"female"
"TRINITY_DN125342_c0_g1_i4"	4.677623168	"meanfemale"	"female"
"TRINITY_DN123402_c0_g1_i1"	6.391884959	"meanfemale"	"female"
"TRINITY_DN131080_c0_g1_i2"	4.381128527	"meanfemale"	"female"
"TRINITY_DN114381_c0_g2_i1"	4.393815854	"meanfemale"	"female"
"TRINITY_DN84979_c0_g1_i1"	6.621298868	"meanfemale"	"female"
"TRINITY_DN118661_c0_g2_i1"	3.69962746	"meanfemale"	"female"
"TRINITY_DN131808_c0_g1_i1"	5.453262673	"meanfemale"	"female"
"TRINITY_DN131960_c0_g1_i1"	2.554306748	"meanfemale"	"female"
"TRINITY_DN123155_c2_g3_i10"	1.878275832	"meanfemale"	"female"
"TRINITY_DN131213_c0_g6_i1"	2.923227661	"meanfemale"	"female"
"TRINITY_DN129868_c0_g1_i1"	4.805092931	"meanfemale"	"female"
"TRINITY_DN134809_c0_g1_i1"	2.997314131	"meanfemale"	"female"
"TRINITY_DN126237_c9_g2_i1"	3.034953636	"meanfemale"	"female"
"TRINITY_DN127023_c0_g1_i3"	3.209967756	"meanfemale"	"female"
"TRINITY_DN123875_c0_g2_i1"	5.15890122	"meanfemale"	"female"
"TRINITY_DN135241_c3_g5_i1"	7.266687372	"meanfemale"	"female"
"TRINITY_DN136049_c1_g1_i2"	3.213814385	"meanfemale"	"female"
"TRINITY_DN122367_c0_g1_i3"	5.688265266	"meanfemale"	"female"
"TRINITY_DN119883_c0_g5_i1"	9.262855376	"meanfemale"	"female"
"TRINITY_DN107852_c0_g1_i2"	5.817251453	"meanfemale"	"female"
"TRINITY_DN127836_c0_g2_i2"	5.295539001	"meanfemale"	"female"
