gid	cutoff	bias	log2RPKM	sex
TRINITY_DN126203_c2_g1_i1	FC1	male	3.747153159	meanmale
TRINITY_DN126203_c2_g2_i1	FC1	male	3.909258291	meanmale
TRINITY_DN126206_c0_g1_i1	FC1	male	6.141815294	meanmale
TRINITY_DN126220_c4_g2_i9	FC1	male	4.847574204	meanmale
TRINITY_DN126224_c0_g1_i2	FC1	male	3.724247304	meanmale
TRINITY_DN126227_c1_g1_i1	FC1	male	0.743415487	meanmale
TRINITY_DN126227_c1_g3_i1	FC1	male	3.692909548	meanmale
TRINITY_DN126237_c11_g4_i1	FC1	male	0.130095505	meanmale
TRINITY_DN126245_c5_g1_i1	FC1	male	1.79577188	meanmale
TRINITY_DN126256_c5_g1_i6	FC1	male	6.203089874	meanmale
TRINITY_DN126257_c0_g1_i1	FC1	male	5.093718438	meanmale
TRINITY_DN126261_c0_g3_i1	FC1	male	4.348782175	meanmale
TRINITY_DN126272_c2_g1_i1	FC1	male	5.377168284	meanmale
TRINITY_DN126273_c0_g2_i4	FC1	male	2.207213086	meanmale
TRINITY_DN126275_c0_g1_i5	FC1	male	9.009577591	meanmale
TRINITY_DN126275_c1_g1_i3	FC1	male	4.463957276	meanmale
TRINITY_DN126280_c5_g1_i2	FC1	male	1.057151309	meanmale
TRINITY_DN126281_c6_g1_i1	FC1	male	-0.387294492	meanmale
TRINITY_DN126281_c6_g2_i1	FC1	male	0.301886565	meanmale
TRINITY_DN126285_c1_g1_i1	FC1	male	2.48686806	meanmale
TRINITY_DN126292_c1_g1_i1	FC1	male	0.615989516	meanmale
TRINITY_DN126295_c0_g1_i7	FC1	male	2.25545128	meanmale
TRINITY_DN126300_c1_g2_i1	FC1	male	1.495663053	meanmale
TRINITY_DN126314_c4_g1_i1	FC1	male	2.87970223	meanmale
TRINITY_DN126323_c0_g1_i2	FC1	male	6.872290479	meanmale
TRINITY_DN126324_c7_g2_i1	FC1	male	3.440370801	meanmale
TRINITY_DN126331_c1_g2_i3	FC1	male	4.654307398	meanmale
TRINITY_DN126331_c1_g3_i2	FC1	male	2.820849446	meanmale
TRINITY_DN126334_c0_g1_i2	FC1	male	0.135670775	meanmale
TRINITY_DN126345_c4_g2_i3	FC1	male	1.887906393	meanmale
TRINITY_DN126346_c1_g2_i3	FC1	male	1.08584303	meanmale
TRINITY_DN126350_c0_g2_i1	FC1	male	7.44735585	meanmale
TRINITY_DN126354_c4_g2_i5	FC1	male	3.224419315	meanmale
TRINITY_DN126361_c3_g1_i1	FC1	male	4.462214551	meanmale
TRINITY_DN126362_c0_g1_i1	FC1	male	5.357524283	meanmale
TRINITY_DN126362_c2_g1_i1	FC1	male	3.866421014	meanmale
TRINITY_DN126362_c2_g2_i1	FC1	male	2.429952004	meanmale
TRINITY_DN126370_c0_g1_i2	FC1	male	5.413569562	meanmale
TRINITY_DN126371_c0_g1_i7	FC1	male	3.252849855	meanmale
TRINITY_DN126380_c8_g3_i3	FC1	male	1.584033028	meanmale
TRINITY_DN126384_c1_g6_i1	FC1	male	2.483308785	meanmale
TRINITY_DN126388_c0_g1_i1	FC1	male	6.453965449	meanmale
TRINITY_DN126408_c1_g1_i7	FC1	male	2.142491006	meanmale
TRINITY_DN126409_c1_g1_i3	FC1	male	2.434515234	meanmale
TRINITY_DN126414_c7_g8_i1	FC1	male	3.844180991	meanmale
TRINITY_DN126415_c0_g1_i1	FC1	male	3.316638326	meanmale
TRINITY_DN126432_c0_g3_i1	FC1	male	0.620793513	meanmale
TRINITY_DN126438_c0_g3_i1	FC1	male	3.390817247	meanmale
TRINITY_DN126441_c2_g2_i1	FC1	male	4.784999723	meanmale
TRINITY_DN126441_c2_g4_i1	FC1	male	3.890448237	meanmale
TRINITY_DN126452_c0_g3_i2	FC1	male	3.127044021	meanmale
TRINITY_DN126458_c0_g1_i1	FC1	male	5.506181272	meanmale
TRINITY_DN126462_c0_g1_i2	FC1	male	3.064124389	meanmale
TRINITY_DN126476_c0_g2_i1	FC1	male	1.823048606	meanmale
TRINITY_DN126504_c5_g3_i1	FC1	male	-0.17109433	meanmale
TRINITY_DN126506_c1_g1_i1	FC1	male	4.803389355	meanmale
TRINITY_DN126511_c5_g1_i2	FC1	male	7.601425071	meanmale
TRINITY_DN126512_c1_g2_i2	FC1	male	3.347975047	meanmale
TRINITY_DN126514_c0_g2_i1	FC1	male	-0.549321655	meanmale
TRINITY_DN126515_c0_g1_i6	FC1	male	7.112995702	meanmale
TRINITY_DN126516_c1_g1_i1	FC1	male	4.248884923	meanmale
TRINITY_DN126518_c1_g6_i1	FC1	male	3.123296262	meanmale
TRINITY_DN126524_c0_g1_i1	FC1	male	2.510070532	meanmale
TRINITY_DN126524_c0_g2_i5	FC1	male	2.583355814	meanmale
TRINITY_DN126527_c2_g1_i1	FC1	male	2.415233003	meanmale
TRINITY_DN126527_c2_g2_i1	FC1	male	2.041542949	meanmale
TRINITY_DN126542_c0_g2_i1	FC1	male	1.607350752	meanmale
TRINITY_DN126542_c0_g3_i1	FC1	male	0.93587455	meanmale
TRINITY_DN126542_c1_g4_i5	FC1	male	9.108058785	meanmale
TRINITY_DN126550_c3_g2_i1	FC1	male	2.601195469	meanmale
TRINITY_DN126554_c3_g6_i2	FC1	male	3.757970167	meanmale
TRINITY_DN126556_c0_g1_i6	FC1	male	2.933464842	meanmale
TRINITY_DN126561_c1_g1_i6	FC1	male	4.478721512	meanmale
TRINITY_DN126569_c2_g2_i1	FC1	male	3.622434723	meanmale
TRINITY_DN126570_c0_g1_i1	FC1	male	6.292830523	meanmale
TRINITY_DN126576_c0_g1_i1	FC1	male	6.084242618	meanmale
TRINITY_DN126579_c0_g1_i2	FC1	male	2.546933992	meanmale
TRINITY_DN126582_c1_g1_i4	FC1	male	9.15533951	meanmale
TRINITY_DN126598_c0_g1_i2	FC1	male	1.845542802	meanmale
TRINITY_DN126606_c0_g1_i1	FC1	male	1.899451781	meanmale
TRINITY_DN126609_c0_g1_i1	FC1	male	2.081125232	meanmale
TRINITY_DN126614_c0_g1_i1	FC1	male	3.160160614	meanmale
TRINITY_DN126614_c2_g2_i1	FC1	male	9.201083429	meanmale
TRINITY_DN126616_c6_g1_i1	FC1	male	4.792831619	meanmale
TRINITY_DN126623_c3_g2_i1	FC1	male	4.353961915	meanmale
TRINITY_DN126640_c0_g1_i3	FC1	male	2.355343466	meanmale
TRINITY_DN126644_c2_g1_i1	FC1	male	1.76776484	meanmale
TRINITY_DN126645_c10_g2_i2	FC1	male	2.642685654	meanmale
TRINITY_DN126651_c0_g1_i3	FC1	male	1.696764278	meanmale
TRINITY_DN126662_c0_g2_i5	FC1	male	4.662480105	meanmale
TRINITY_DN126666_c0_g2_i1	FC1	male	6.19198124	meanmale
TRINITY_DN126666_c0_g3_i2	FC1	male	1.923929828	meanmale
TRINITY_DN126666_c0_g6_i1	FC1	male	5.107517599	meanmale
TRINITY_DN126668_c0_g1_i2	FC1	male	1.844478464	meanmale
TRINITY_DN126673_c5_g1_i3	FC1	male	2.60295373	meanmale
TRINITY_DN126677_c4_g1_i1	FC1	male	0.032899692	meanmale
TRINITY_DN126681_c2_g3_i8	FC1	male	3.361719774	meanmale
TRINITY_DN126692_c4_g1_i1	FC1	male	2.262088811	meanmale
TRINITY_DN126692_c5_g1_i7	FC1	male	2.363461555	meanmale
TRINITY_DN126694_c2_g2_i1	FC1	male	3.307826332	meanmale
TRINITY_DN126694_c2_g4_i1	FC1	male	3.596496501	meanmale
TRINITY_DN126697_c0_g1_i1	FC1	male	0.208764707	meanmale
TRINITY_DN126705_c0_g1_i2	FC1	male	4.773704509	meanmale
TRINITY_DN126706_c5_g3_i1	FC1	male	2.335644212	meanmale
TRINITY_DN126712_c6_g1_i2	FC1	male	3.84413742	meanmale
TRINITY_DN126724_c4_g1_i1	FC1	male	-1.006256558	meanmale
TRINITY_DN126725_c0_g2_i4	FC1	male	2.590334112	meanmale
TRINITY_DN126728_c5_g1_i1	FC1	male	3.053323886	meanmale
TRINITY_DN126735_c1_g1_i2	FC1	male	4.497660211	meanmale
TRINITY_DN126748_c1_g2_i2	FC1	male	3.906770197	meanmale
TRINITY_DN126761_c1_g1_i3	FC1	male	6.055297104	meanmale
TRINITY_DN126762_c0_g1_i1	FC1	male	0.439325163	meanmale
TRINITY_DN126763_c3_g3_i1	FC1	male	1.995125436	meanmale
TRINITY_DN126769_c1_g2_i1	FC1	male	5.785934694	meanmale
TRINITY_DN126775_c1_g1_i2	FC1	male	1.683205327	meanmale
TRINITY_DN126776_c0_g2_i6	FC1	male	1.043698279	meanmale
TRINITY_DN126777_c3_g2_i1	FC1	male	0.227509771	meanmale
TRINITY_DN126789_c3_g2_i2	FC1	male	2.636666375	meanmale
TRINITY_DN126794_c5_g2_i2	FC1	male	0.043490126	meanmale
TRINITY_DN126797_c0_g2_i1	FC1	male	3.178869707	meanmale
TRINITY_DN126806_c5_g2_i5	FC1	male	5.389715387	meanmale
TRINITY_DN126809_c2_g2_i1	FC1	male	0.079027425	meanmale
TRINITY_DN126810_c0_g1_i5	FC1	male	6.233004601	meanmale
TRINITY_DN126823_c3_g2_i1	FC1	male	1.910545294	meanmale
TRINITY_DN126826_c2_g1_i1	FC1	male	1.877930265	meanmale
TRINITY_DN126831_c0_g1_i2	FC1	male	2.15236866	meanmale
TRINITY_DN126832_c11_g2_i1	FC1	male	3.151817989	meanmale
TRINITY_DN126840_c0_g1_i2	FC1	male	0.617775292	meanmale
TRINITY_DN126846_c0_g3_i1	FC1	male	1.241563558	meanmale
TRINITY_DN126852_c0_g1_i1	FC1	male	-0.025014261	meanmale
TRINITY_DN126854_c0_g2_i6	FC1	male	-0.539009281	meanmale
TRINITY_DN126855_c0_g1_i3	FC1	male	2.509010521	meanmale
TRINITY_DN126857_c2_g1_i1	FC1	male	1.205805425	meanmale
TRINITY_DN126857_c3_g2_i1	FC1	male	7.026891626	meanmale
TRINITY_DN126859_c1_g2_i2	FC1	male	4.483901326	meanmale
TRINITY_DN126865_c1_g1_i1	FC1	male	3.076256061	meanmale
TRINITY_DN126865_c1_g8_i1	FC1	male	0.908409897	meanmale
TRINITY_DN126871_c1_g2_i4	FC1	male	2.026221262	meanmale
TRINITY_DN126873_c0_g1_i2	FC1	male	-0.645483646	meanmale
TRINITY_DN126878_c0_g1_i1	FC1	male	2.446550709	meanmale
TRINITY_DN126880_c2_g1_i1	FC1	male	4.298697713	meanmale
TRINITY_DN126884_c4_g1_i1	FC1	male	3.651993012	meanmale
TRINITY_DN126892_c0_g2_i3	FC1	male	6.74710147	meanmale
TRINITY_DN126894_c0_g1_i4	FC1	male	1.302535807	meanmale
TRINITY_DN126902_c0_g2_i1	FC1	male	0.396374815	meanmale
TRINITY_DN126902_c0_g4_i4	FC1	male	2.026729624	meanmale
TRINITY_DN126907_c2_g1_i1	FC1	male	11.51928452	meanmale
TRINITY_DN126939_c1_g1_i4	FC1	male	0.659209223	meanmale
TRINITY_DN126950_c6_g6_i3	FC1	male	5.038335568	meanmale
TRINITY_DN126954_c0_g1_i2	FC1	male	1.572874007	meanmale
TRINITY_DN126956_c1_g3_i1	FC1	male	1.297870816	meanmale
TRINITY_DN126957_c0_g1_i3	FC1	male	0.098867833	meanmale
TRINITY_DN126962_c0_g2_i1	FC1	male	-1.472626616	meanmale
TRINITY_DN126968_c0_g1_i1	FC1	male	3.054091809	meanmale
TRINITY_DN126969_c0_g1_i4	FC1	male	4.261619484	meanmale
TRINITY_DN126978_c0_g3_i3	FC1	male	7.152288765	meanmale
TRINITY_DN126981_c2_g1_i2	FC1	male	0.616467905	meanmale
TRINITY_DN126989_c1_g3_i1	FC1	male	2.598756015	meanmale
TRINITY_DN127010_c2_g1_i1	FC1	male	2.104836659	meanmale
TRINITY_DN127018_c0_g2_i3	FC1	male	-1.091416019	meanmale
TRINITY_DN127021_c5_g2_i8	FC1	male	5.955221146	meanmale
TRINITY_DN127024_c3_g2_i1	FC1	male	1.905397288	meanmale
TRINITY_DN127027_c5_g1_i1	FC1	male	2.590134875	meanmale
TRINITY_DN127027_c5_g2_i1	FC1	male	2.421647556	meanmale
TRINITY_DN127029_c1_g1_i3	FC1	male	6.485518505	meanmale
TRINITY_DN127034_c0_g1_i5	FC1	male	2.869451414	meanmale
TRINITY_DN127035_c0_g1_i1	FC1	male	0.235358651	meanmale
TRINITY_DN127039_c0_g1_i1	FC1	male	1.841580587	meanmale
TRINITY_DN127040_c3_g1_i8	FC1	male	6.092719426	meanmale
TRINITY_DN127041_c0_g1_i3	FC1	male	7.591912771	meanmale
TRINITY_DN127043_c1_g1_i1	FC1	male	2.862143716	meanmale
TRINITY_DN127046_c1_g2_i1	FC1	male	5.493826081	meanmale
TRINITY_DN127046_c1_g6_i1	FC1	male	2.211525325	meanmale
TRINITY_DN127054_c2_g2_i1	FC1	male	1.239138066	meanmale
TRINITY_DN127055_c1_g7_i1	FC1	male	2.437208716	meanmale
TRINITY_DN127059_c1_g1_i1	FC1	male	5.361366992	meanmale
TRINITY_DN127059_c1_g3_i1	FC1	male	6.645165932	meanmale
TRINITY_DN127072_c5_g3_i1	FC1	male	5.158379555	meanmale
TRINITY_DN127083_c1_g4_i1	FC1	male	1.215678578	meanmale
TRINITY_DN127084_c1_g6_i1	FC1	male	5.319343872	meanmale
TRINITY_DN127087_c0_g1_i1	FC1	male	6.003369101	meanmale
TRINITY_DN127104_c0_g1_i1	FC1	male	4.356972982	meanmale
TRINITY_DN127117_c2_g1_i1	FC1	male	3.574344984	meanmale
TRINITY_DN127117_c3_g1_i1	FC1	male	4.683460996	meanmale
TRINITY_DN127117_c3_g2_i1	FC1	male	3.079436941	meanmale
TRINITY_DN127117_c5_g2_i2	FC1	male	5.563772985	meanmale
TRINITY_DN127119_c0_g1_i2	FC1	male	12.31255543	meanmale
TRINITY_DN127120_c0_g1_i1	FC1	male	2.230448639	meanmale
TRINITY_DN127121_c0_g1_i2	FC1	male	5.511290107	meanmale
TRINITY_DN127127_c4_g1_i1	FC1	male	2.288698003	meanmale
TRINITY_DN127129_c4_g2_i1	FC1	male	2.709530851	meanmale
TRINITY_DN127129_c4_g3_i1	FC1	male	2.183158303	meanmale
TRINITY_DN127129_c5_g1_i1	FC1	male	0.999425456	meanmale
TRINITY_DN127141_c0_g1_i1	FC1	male	0.069673628	meanmale
TRINITY_DN127150_c6_g2_i1	FC1	male	1.700018899	meanmale
TRINITY_DN127151_c1_g2_i1	FC1	male	10.39434398	meanmale
TRINITY_DN127152_c0_g1_i2	FC1	male	2.525278443	meanmale
TRINITY_DN127162_c1_g1_i7	FC1	male	5.042048931	meanmale
TRINITY_DN127163_c0_g4_i1	FC1	male	6.086564286	meanmale
TRINITY_DN127164_c5_g2_i1	FC1	male	0.818744599	meanmale
TRINITY_DN127166_c3_g1_i1	FC1	male	2.361157813	meanmale
TRINITY_DN127169_c0_g1_i1	FC1	male	1.046547082	meanmale
TRINITY_DN127176_c4_g1_i6	FC1	male	4.030419383	meanmale
TRINITY_DN127182_c0_g1_i1	FC1	male	1.843876732	meanmale
TRINITY_DN127191_c6_g3_i2	FC1	male	2.088655464	meanmale
TRINITY_DN127193_c5_g2_i2	FC1	male	3.891505998	meanmale
TRINITY_DN127202_c3_g3_i2	FC1	male	-0.189777161	meanmale
TRINITY_DN127208_c2_g8_i1	FC1	male	3.033639463	meanmale
TRINITY_DN127208_c2_g9_i1	FC1	male	-0.192551286	meanmale
TRINITY_DN127216_c4_g1_i2	FC1	male	2.114173658	meanmale
TRINITY_DN127223_c0_g1_i1	FC1	male	3.454151263	meanmale
TRINITY_DN127225_c3_g2_i2	FC1	male	2.366911838	meanmale
TRINITY_DN127229_c2_g1_i1	FC1	male	2.914407831	meanmale
TRINITY_DN127231_c2_g9_i2	FC1	male	2.037894313	meanmale
TRINITY_DN127243_c2_g1_i1	FC1	male	2.967925161	meanmale
TRINITY_DN127243_c3_g1_i2	FC1	male	5.398289892	meanmale
TRINITY_DN127243_c5_g8_i1	FC1	male	1.913897341	meanmale
TRINITY_DN127245_c0_g1_i2	FC1	male	3.704304907	meanmale
TRINITY_DN127257_c3_g1_i5	FC1	male	2.085955202	meanmale
TRINITY_DN127271_c1_g3_i7	FC1	male	5.813508058	meanmale
TRINITY_DN127278_c0_g1_i1	FC1	male	2.26436352	meanmale
TRINITY_DN127278_c0_g2_i2	FC1	male	3.204053163	meanmale
TRINITY_DN127281_c2_g6_i2	FC1	male	5.251783432	meanmale
TRINITY_DN127284_c0_g3_i1	FC1	male	0.613463642	meanmale
TRINITY_DN127286_c0_g1_i2	FC1	male	4.651361765	meanmale
TRINITY_DN127293_c1_g4_i1	FC1	male	5.880673766	meanmale
TRINITY_DN127295_c1_g3_i3	FC1	male	3.619341497	meanmale
TRINITY_DN127303_c3_g3_i5	FC1	male	8.020513701	meanmale
TRINITY_DN127308_c2_g11_i1	FC1	male	3.846150015	meanmale
TRINITY_DN127310_c2_g1_i1	FC1	male	1.484295599	meanmale
TRINITY_DN127316_c0_g1_i1	FC1	male	3.51696408	meanmale
TRINITY_DN127316_c0_g2_i7	FC1	male	5.348912892	meanmale
TRINITY_DN127316_c0_g4_i2	FC1	male	4.116898432	meanmale
TRINITY_DN127320_c1_g3_i2	FC1	male	4.828287803	meanmale
TRINITY_DN127325_c0_g1_i1	FC1	male	2.663505335	meanmale
TRINITY_DN127329_c0_g1_i4	FC1	male	1.780775334	meanmale
TRINITY_DN127331_c0_g1_i1	FC1	male	1.391761923	meanmale
TRINITY_DN127334_c4_g5_i5	FC1	male	7.220519095	meanmale
TRINITY_DN127336_c12_g3_i2	FC1	male	1.911433403	meanmale
TRINITY_DN127336_c13_g2_i2	FC1	male	2.26091898	meanmale
TRINITY_DN127336_c4_g1_i1	FC1	male	5.612943929	meanmale
TRINITY_DN127339_c3_g1_i1	FC1	male	4.288624082	meanmale
TRINITY_DN127341_c12_g2_i1	FC1	male	-0.011747523	meanmale
TRINITY_DN127344_c0_g1_i3	FC1	male	3.730687811	meanmale
TRINITY_DN127347_c4_g1_i3	FC1	male	4.470996445	meanmale
TRINITY_DN127347_c4_g6_i1	FC1	male	2.025076111	meanmale
TRINITY_DN127348_c0_g1_i1	FC1	male	-0.585346095	meanmale
TRINITY_DN127361_c15_g1_i3	FC1	male	0.200737999	meanmale
TRINITY_DN127364_c1_g1_i3	FC1	male	1.565574105	meanmale
TRINITY_DN127369_c0_g3_i2	FC1	male	0.399191541	meanmale
TRINITY_DN127386_c0_g1_i14	FC1	male	2.907202576	meanmale
TRINITY_DN127386_c0_g6_i1	FC1	male	1.449661104	meanmale
TRINITY_DN127397_c3_g4_i1	FC1	male	2.164347806	meanmale
TRINITY_DN127403_c1_g2_i1	FC1	male	1.84677859	meanmale
TRINITY_DN127403_c4_g1_i3	FC1	male	1.982374306	meanmale
TRINITY_DN127405_c3_g1_i1	FC1	male	1.57313562	meanmale
TRINITY_DN127408_c0_g2_i3	FC1	male	0.959959537	meanmale
TRINITY_DN127413_c1_g1_i1	FC1	male	4.833852616	meanmale
TRINITY_DN127413_c1_g2_i2	FC1	male	5.884802578	meanmale
TRINITY_DN127422_c1_g1_i1	FC1	male	1.895943933	meanmale
TRINITY_DN127424_c0_g1_i3	FC1	male	3.285385111	meanmale
TRINITY_DN127429_c4_g2_i7	FC1	male	2.190296876	meanmale
TRINITY_DN127437_c3_g1_i2	FC1	male	3.269051523	meanmale
TRINITY_DN127444_c1_g1_i2	FC1	male	1.622298363	meanmale
TRINITY_DN127445_c1_g1_i2	FC1	male	4.68674492	meanmale
TRINITY_DN127453_c4_g1_i2	FC1	male	4.278990169	meanmale
TRINITY_DN127456_c0_g1_i5	FC1	male	1.920575724	meanmale
TRINITY_DN127460_c5_g2_i1	FC1	male	1.574099988	meanmale
TRINITY_DN127469_c6_g2_i1	FC1	male	1.897292578	meanmale
TRINITY_DN127471_c0_g1_i1	FC1	male	1.927682941	meanmale
TRINITY_DN127484_c0_g2_i1	FC1	male	1.715644154	meanmale
TRINITY_DN127487_c0_g1_i1	FC1	male	2.472403476	meanmale
TRINITY_DN127493_c0_g3_i4	FC1	male	3.129897502	meanmale
TRINITY_DN127495_c2_g5_i2	FC1	male	0.96543653	meanmale
TRINITY_DN127496_c4_g2_i2	FC1	male	0.508508471	meanmale
TRINITY_DN127498_c0_g1_i1	FC1	male	-0.545790075	meanmale
TRINITY_DN127500_c8_g1_i1	FC1	male	1.638339991	meanmale
TRINITY_DN127501_c0_g1_i1	FC1	male	6.005458391	meanmale
TRINITY_DN127502_c1_g2_i1	FC1	male	4.811007379	meanmale
TRINITY_DN127503_c10_g8_i1	FC1	male	2.842337743	meanmale
TRINITY_DN127503_c6_g1_i1	FC1	male	2.499815605	meanmale
TRINITY_DN127512_c7_g3_i1	FC1	male	1.672662354	meanmale
TRINITY_DN127512_c7_g4_i3	FC1	male	3.119600669	meanmale
TRINITY_DN127517_c0_g1_i2	FC1	male	0.224199343	meanmale
TRINITY_DN127520_c0_g3_i7	FC1	male	7.307956537	meanmale
TRINITY_DN127521_c6_g1_i1	FC1	male	5.011602311	meanmale
TRINITY_DN127523_c1_g2_i1	FC1	male	3.19424545	meanmale
TRINITY_DN127525_c2_g1_i6	FC1	male	3.236853802	meanmale
TRINITY_DN127525_c3_g1_i1	FC1	male	5.70854442	meanmale
TRINITY_DN127527_c1_g4_i4	FC1	male	1.93821926	meanmale
TRINITY_DN127531_c0_g1_i1	FC1	male	1.077615974	meanmale
TRINITY_DN127534_c3_g1_i3	FC1	male	1.963633839	meanmale
TRINITY_DN127546_c0_g1_i2	FC1	male	4.02484128	meanmale
TRINITY_DN127547_c0_g2_i3	FC1	male	1.63006274	meanmale
TRINITY_DN127549_c0_g1_i1	FC1	male	3.170381445	meanmale
TRINITY_DN127557_c4_g1_i2	FC1	male	1.166264905	meanmale
TRINITY_DN127557_c7_g2_i1	FC1	male	3.918111094	meanmale
TRINITY_DN127561_c4_g2_i1	FC1	male	4.067179525	meanmale
TRINITY_DN127561_c5_g1_i1	FC1	male	4.262566716	meanmale
TRINITY_DN127565_c0_g1_i1	FC1	male	0.984084139	meanmale
TRINITY_DN127565_c0_g3_i1	FC1	male	1.855122914	meanmale
TRINITY_DN127567_c6_g2_i1	FC1	male	9.755460893	meanmale
TRINITY_DN127570_c4_g1_i11	FC1	male	3.217021809	meanmale
TRINITY_DN127579_c0_g1_i1	FC1	male	1.824590259	meanmale
TRINITY_DN127590_c7_g9_i1	FC1	male	-0.105879271	meanmale
TRINITY_DN127591_c1_g1_i1	FC1	male	6.298685341	meanmale
TRINITY_DN127594_c4_g2_i1	FC1	male	4.173398551	meanmale
TRINITY_DN127602_c1_g1_i1	FC1	male	3.444580591	meanmale
TRINITY_DN127606_c1_g1_i4	FC1	male	1.844270208	meanmale
TRINITY_DN127610_c1_g1_i3	FC1	male	4.845184004	meanmale
TRINITY_DN127615_c0_g3_i1	FC1	male	2.424192711	meanmale
TRINITY_DN127621_c0_g1_i1	FC1	male	2.411952826	meanmale
TRINITY_DN127622_c2_g2_i1	FC1	male	1.555209184	meanmale
TRINITY_DN127623_c0_g1_i8	FC1	male	3.831464008	meanmale
TRINITY_DN127623_c0_g2_i2	FC1	male	6.008546925	meanmale
TRINITY_DN127623_c0_g3_i1	FC1	male	4.996129302	meanmale
TRINITY_DN127626_c0_g3_i1	FC1	male	10.90235449	meanmale
TRINITY_DN127636_c4_g1_i1	FC1	male	-0.465564471	meanmale
TRINITY_DN127636_c6_g3_i2	FC1	male	12.42451819	meanmale
TRINITY_DN127637_c0_g1_i1	FC1	male	6.787800497	meanmale
TRINITY_DN127646_c0_g3_i3	FC1	male	4.350083467	meanmale
TRINITY_DN127646_c0_g5_i1	FC1	male	3.838579526	meanmale
TRINITY_DN127646_c0_g7_i1	FC1	male	5.829033036	meanmale
TRINITY_DN127676_c1_g2_i1	FC1	male	1.056556866	meanmale
TRINITY_DN127680_c4_g2_i3	FC1	male	11.2450561	meanmale
TRINITY_DN127692_c3_g2_i1	FC1	male	1.384918162	meanmale
TRINITY_DN127692_c3_g3_i2	FC1	male	1.31300023	meanmale
TRINITY_DN127698_c2_g3_i1	FC1	male	2.652910642	meanmale
TRINITY_DN127701_c2_g2_i1	FC1	male	3.116452362	meanmale
TRINITY_DN127701_c2_g6_i3	FC1	male	1.632172134	meanmale
TRINITY_DN127704_c5_g1_i3	FC1	male	4.158281831	meanmale
TRINITY_DN127706_c0_g5_i2	FC1	male	2.426653984	meanmale
TRINITY_DN127713_c2_g2_i1	FC1	male	0.818911242	meanmale
TRINITY_DN127717_c0_g1_i1	FC1	male	2.714733231	meanmale
TRINITY_DN127719_c0_g1_i2	FC1	male	5.349430193	meanmale
TRINITY_DN127724_c1_g4_i5	FC1	male	4.883622805	meanmale
TRINITY_DN127736_c7_g1_i2	FC1	male	1.877892071	meanmale
TRINITY_DN127742_c4_g3_i2	FC1	male	5.884679809	meanmale
TRINITY_DN127742_c4_g4_i1	FC1	male	7.227659782	meanmale
TRINITY_DN127743_c1_g2_i1	FC1	male	6.328159551	meanmale
TRINITY_DN127745_c0_g1_i1	FC1	male	4.195954019	meanmale
TRINITY_DN127747_c0_g6_i1	FC1	male	3.202804912	meanmale
TRINITY_DN127748_c3_g5_i7	FC1	male	3.107359042	meanmale
TRINITY_DN127752_c0_g1_i1	FC1	male	3.272757335	meanmale
TRINITY_DN127757_c0_g1_i1	FC1	male	1.988248635	meanmale
TRINITY_DN127758_c1_g1_i2	FC1	male	4.781149556	meanmale
TRINITY_DN127761_c0_g1_i1	FC1	male	1.427080401	meanmale
TRINITY_DN127781_c0_g1_i5	FC1	male	0.874425423	meanmale
TRINITY_DN127785_c0_g1_i7	FC1	male	1.179642296	meanmale
TRINITY_DN127786_c0_g1_i1	FC1	male	0.175290567	meanmale
TRINITY_DN127787_c0_g1_i3	FC1	male	-0.532753427	meanmale
TRINITY_DN127788_c1_g2_i2	FC1	male	1.375642515	meanmale
TRINITY_DN127800_c0_g1_i1	FC1	male	1.619647913	meanmale
TRINITY_DN127800_c0_g2_i1	FC1	male	1.250448542	meanmale
TRINITY_DN127807_c0_g1_i3	FC1	male	3.961996983	meanmale
TRINITY_DN127818_c1_g3_i4	FC1	male	2.050253088	meanmale
TRINITY_DN127824_c2_g1_i1	FC1	male	1.035749851	meanmale
TRINITY_DN127827_c0_g1_i4	FC1	male	3.573806403	meanmale
TRINITY_DN127827_c0_g2_i1	FC1	male	2.301588849	meanmale
TRINITY_DN127827_c0_g3_i2	FC1	male	1.879617462	meanmale
TRINITY_DN127830_c0_g1_i2	FC1	male	0.287421119	meanmale
TRINITY_DN127832_c3_g1_i1	FC1	male	5.413687103	meanmale
TRINITY_DN127846_c4_g4_i1	FC1	male	12.85367495	meanmale
TRINITY_DN127848_c5_g1_i1	FC1	male	1.494776005	meanmale
TRINITY_DN127861_c1_g3_i1	FC1	male	8.408946006	meanmale
TRINITY_DN127865_c0_g1_i3	FC1	male	10.76777419	meanmale
TRINITY_DN127869_c0_g1_i2	FC1	male	6.721533716	meanmale
TRINITY_DN127870_c2_g3_i1	FC1	male	3.629127766	meanmale
TRINITY_DN127874_c6_g1_i1	FC1	male	1.83745649	meanmale
TRINITY_DN127874_c6_g3_i1	FC1	male	2.338432814	meanmale
TRINITY_DN127882_c7_g3_i1	FC1	male	2.130005711	meanmale
TRINITY_DN127882_c8_g2_i2	FC1	male	0.976380784	meanmale
TRINITY_DN127885_c0_g1_i1	FC1	male	2.115430801	meanmale
TRINITY_DN127915_c4_g3_i1	FC1	male	0.237367738	meanmale
TRINITY_DN127919_c0_g2_i9	FC1	male	-1.260909173	meanmale
TRINITY_DN127920_c0_g1_i1	FC1	male	4.210520102	meanmale
TRINITY_DN127922_c2_g2_i2	FC1	male	-0.021004346	meanmale
