gid	cutoff	bias	log2RPKM	sex
TRINITY_DN107214_c0_g1_i1	FC1	male	4.368088994	meanmale
TRINITY_DN107257_c0_g1_i1	FC1	male	1.804320593	meanmale
TRINITY_DN107303_c0_g1_i1	FC1	male	3.822165792	meanmale
TRINITY_DN107343_c0_g1_i1	FC1	male	5.436191732	meanmale
TRINITY_DN107445_c0_g1_i2	FC1	male	2.468817291	meanmale
TRINITY_DN107472_c0_g1_i1	FC1	male	3.012878456	meanmale
TRINITY_DN107707_c0_g1_i1	FC1	male	5.454068437	meanmale
TRINITY_DN107730_c0_g1_i1	FC1	male	1.392528963	meanmale
TRINITY_DN107742_c0_g1_i1	FC1	male	5.174146227	meanmale
TRINITY_DN107751_c0_g1_i1	FC1	male	4.749588311	meanmale
TRINITY_DN107761_c0_g1_i1	FC1	male	1.974749624	meanmale
TRINITY_DN107785_c0_g1_i2	FC1	male	2.531958803	meanmale
TRINITY_DN107817_c0_g1_i1	FC1	male	1.495160064	meanmale
TRINITY_DN107843_c0_g4_i1	FC1	male	4.325546032	meanmale
TRINITY_DN107875_c0_g1_i1	FC1	male	3.156786536	meanmale
TRINITY_DN107920_c0_g1_i1	FC1	male	3.744485355	meanmale
TRINITY_DN107978_c0_g1_i1	FC1	male	7.304272069	meanmale
TRINITY_DN108039_c0_g1_i2	FC1	male	6.918049461	meanmale
TRINITY_DN108095_c0_g1_i1	FC1	male	1.402371099	meanmale
TRINITY_DN108126_c0_g2_i2	FC1	male	4.163541569	meanmale
TRINITY_DN108157_c0_g2_i1	FC1	male	-0.012856587	meanmale
TRINITY_DN108186_c0_g2_i5	FC1	male	0.632336234	meanmale
TRINITY_DN108191_c0_g1_i1	FC1	male	2.731545057	meanmale
TRINITY_DN108227_c2_g1_i1	FC1	male	-0.716405043	meanmale
TRINITY_DN108382_c0_g3_i1	FC1	male	1.863876983	meanmale
TRINITY_DN108491_c0_g1_i1	FC1	male	2.99478946	meanmale
TRINITY_DN108540_c0_g1_i1	FC1	male	3.034215727	meanmale
TRINITY_DN108551_c0_g1_i2	FC1	male	-0.361989492	meanmale
TRINITY_DN108553_c0_g1_i1	FC1	male	0.628858949	meanmale
TRINITY_DN10856_c0_g2_i1	FC1	male	2.510019288	meanmale
TRINITY_DN108615_c0_g2_i1	FC1	male	2.357670736	meanmale
TRINITY_DN108618_c0_g1_i2	FC1	male	3.03350609	meanmale
TRINITY_DN108703_c0_g3_i1	FC1	male	2.88198241	meanmale
TRINITY_DN108709_c0_g1_i2	FC1	male	9.997263969	meanmale
TRINITY_DN108737_c0_g1_i6	FC1	male	6.594356388	meanmale
TRINITY_DN108742_c0_g1_i1	FC1	male	4.579821802	meanmale
TRINITY_DN109025_c0_g1_i1	FC1	male	2.772759662	meanmale
TRINITY_DN109035_c0_g2_i1	FC1	male	3.493568715	meanmale
TRINITY_DN109134_c0_g1_i1	FC1	male	4.083047398	meanmale
TRINITY_DN109149_c0_g2_i1	FC1	male	0.087446711	meanmale
TRINITY_DN109203_c0_g1_i1	FC1	male	3.420151617	meanmale
TRINITY_DN109239_c0_g1_i1	FC1	male	0.89009628	meanmale
TRINITY_DN109245_c0_g1_i1	FC1	male	3.12025902	meanmale
TRINITY_DN109361_c0_g1_i1	FC1	male	6.17993643	meanmale
TRINITY_DN109555_c0_g1_i2	FC1	male	4.479389285	meanmale
TRINITY_DN109621_c1_g1_i1	FC1	male	3.917127698	meanmale
TRINITY_DN109640_c0_g2_i2	FC1	male	1.025128253	meanmale
TRINITY_DN109683_c0_g1_i2	FC1	male	6.478147392	meanmale
TRINITY_DN109692_c0_g1_i2	FC1	male	5.076246635	meanmale
TRINITY_DN109714_c0_g1_i1	FC1	male	-0.326259553	meanmale
TRINITY_DN109745_c0_g1_i1	FC1	male	0.870237992	meanmale
TRINITY_DN109773_c0_g1_i2	FC1	male	5.021355273	meanmale
TRINITY_DN109897_c0_g1_i1	FC1	male	3.938429089	meanmale
TRINITY_DN109897_c1_g1_i1	FC1	male	2.782445499	meanmale
TRINITY_DN109907_c0_g1_i1	FC1	male	6.650976986	meanmale
TRINITY_DN109954_c0_g2_i1	FC1	male	1.642838802	meanmale
TRINITY_DN110023_c0_g1_i1	FC1	male	2.487365701	meanmale
TRINITY_DN110061_c0_g1_i1	FC1	male	0.893734637	meanmale
TRINITY_DN110081_c0_g1_i1	FC1	male	0.997048322	meanmale
TRINITY_DN110146_c0_g1_i3	FC1	male	3.615546903	meanmale
TRINITY_DN110181_c0_g1_i1	FC1	male	1.103345081	meanmale
TRINITY_DN110193_c0_g1_i1	FC1	male	1.269019189	meanmale
TRINITY_DN110217_c0_g1_i2	FC1	male	3.170040418	meanmale
TRINITY_DN110285_c0_g2_i2	FC1	male	5.985857563	meanmale
TRINITY_DN110285_c0_g3_i1	FC1	male	4.540561405	meanmale
TRINITY_DN110308_c0_g1_i1	FC1	male	2.894281968	meanmale
TRINITY_DN110395_c0_g2_i1	FC1	male	3.61351236	meanmale
TRINITY_DN110412_c0_g1_i1	FC1	male	5.363069044	meanmale
TRINITY_DN110440_c0_g1_i1	FC1	male	6.425849114	meanmale
TRINITY_DN110445_c1_g1_i3	FC1	male	4.445364441	meanmale
TRINITY_DN110478_c0_g1_i2	FC1	male	2.755173253	meanmale
TRINITY_DN110510_c0_g1_i1	FC1	male	2.032370967	meanmale
TRINITY_DN110588_c0_g1_i1	FC1	male	3.989732788	meanmale
TRINITY_DN110591_c0_g2_i1	FC1	male	3.930861141	meanmale
TRINITY_DN110650_c0_g1_i1	FC1	male	9.790903795	meanmale
TRINITY_DN110705_c0_g1_i1	FC1	male	4.337695812	meanmale
TRINITY_DN110706_c0_g1_i2	FC1	male	2.09897777	meanmale
TRINITY_DN110732_c0_g1_i2	FC1	male	-0.22933214	meanmale
TRINITY_DN110788_c1_g1_i1	FC1	male	2.064927879	meanmale
TRINITY_DN110843_c0_g1_i1	FC1	male	5.071091201	meanmale
TRINITY_DN110855_c0_g1_i1	FC1	male	4.562528547	meanmale
TRINITY_DN110867_c0_g1_i1	FC1	male	2.414259307	meanmale
TRINITY_DN110879_c0_g2_i1	FC1	male	3.744303629	meanmale
TRINITY_DN110957_c0_g1_i1	FC1	male	2.140612414	meanmale
TRINITY_DN111011_c1_g2_i1	FC1	male	5.093138643	meanmale
TRINITY_DN111035_c0_g1_i1	FC1	male	5.702239902	meanmale
TRINITY_DN111111_c0_g1_i1	FC1	male	4.763963226	meanmale
TRINITY_DN111118_c0_g1_i1	FC1	male	1.391336389	meanmale
TRINITY_DN111122_c0_g2_i3	FC1	male	3.770975432	meanmale
TRINITY_DN111143_c0_g1_i2	FC1	male	4.346862019	meanmale
TRINITY_DN111173_c0_g1_i1	FC1	male	3.774266616	meanmale
TRINITY_DN111208_c0_g1_i1	FC1	male	3.244952272	meanmale
TRINITY_DN111210_c0_g1_i1	FC1	male	1.870606803	meanmale
TRINITY_DN111231_c0_g1_i1	FC1	male	5.496269132	meanmale
TRINITY_DN111247_c0_g1_i1	FC1	male	4.079141173	meanmale
TRINITY_DN111333_c0_g1_i1	FC1	male	4.289010789	meanmale
TRINITY_DN111351_c0_g1_i1	FC1	male	2.806698408	meanmale
TRINITY_DN111360_c0_g2_i1	FC1	male	2.081678885	meanmale
TRINITY_DN111361_c0_g1_i1	FC1	male	2.556236457	meanmale
TRINITY_DN111376_c0_g1_i1	FC1	male	4.209765368	meanmale
TRINITY_DN111407_c0_g1_i1	FC1	male	1.716183818	meanmale
TRINITY_DN111428_c0_g1_i1	FC1	male	3.399405349	meanmale
TRINITY_DN111446_c0_g1_i2	FC1	male	5.673307451	meanmale
TRINITY_DN111523_c0_g1_i1	FC1	male	1.852073788	meanmale
TRINITY_DN111553_c0_g3_i1	FC1	male	2.29820767	meanmale
TRINITY_DN111576_c0_g1_i2	FC1	male	5.117582831	meanmale
TRINITY_DN111579_c0_g1_i1	FC1	male	0.324192417	meanmale
TRINITY_DN111591_c0_g2_i2	FC1	male	1.201011999	meanmale
TRINITY_DN111603_c0_g2_i1	FC1	male	6.955335407	meanmale
TRINITY_DN111754_c0_g1_i1	FC1	male	1.782212908	meanmale
TRINITY_DN111792_c0_g2_i1	FC1	male	4.831974285	meanmale
TRINITY_DN111803_c0_g1_i2	FC1	male	1.392507202	meanmale
TRINITY_DN111831_c0_g2_i1	FC1	male	4.090178931	meanmale
TRINITY_DN111831_c0_g3_i2	FC1	male	2.891347977	meanmale
TRINITY_DN111838_c0_g1_i1	FC1	male	5.136318448	meanmale
TRINITY_DN111910_c0_g1_i1	FC1	male	-0.244803945	meanmale
TRINITY_DN111974_c0_g1_i2	FC1	male	2.788030588	meanmale
TRINITY_DN111980_c0_g1_i1	FC1	male	4.754102824	meanmale
TRINITY_DN111984_c0_g1_i1	FC1	male	4.708382312	meanmale
TRINITY_DN111985_c0_g1_i1	FC1	male	3.556810237	meanmale
TRINITY_DN111985_c0_g2_i1	FC1	male	4.094616659	meanmale
TRINITY_DN112014_c0_g1_i1	FC1	male	2.218903477	meanmale
TRINITY_DN112021_c0_g1_i1	FC1	male	4.481830154	meanmale
TRINITY_DN112072_c0_g1_i1	FC1	male	2.413263922	meanmale
TRINITY_DN112088_c0_g1_i1	FC1	male	1.568977824	meanmale
TRINITY_DN112095_c0_g2_i1	FC1	male	1.683981685	meanmale
TRINITY_DN112160_c0_g1_i1	FC1	male	1.149058415	meanmale
TRINITY_DN112161_c0_g1_i1	FC1	male	1.255228981	meanmale
TRINITY_DN112188_c0_g3_i1	FC1	male	3.024008954	meanmale
TRINITY_DN112351_c0_g1_i2	FC1	male	6.33355777	meanmale
TRINITY_DN112434_c0_g1_i1	FC1	male	0.009244291	meanmale
TRINITY_DN112438_c0_g1_i1	FC1	male	6.280007225	meanmale
TRINITY_DN112489_c0_g2_i2	FC1	male	-1.379374052	meanmale
TRINITY_DN112499_c0_g1_i1	FC1	male	4.920580597	meanmale
TRINITY_DN112530_c0_g1_i2	FC1	male	2.791143782	meanmale
TRINITY_DN112551_c0_g1_i2	FC1	male	2.998724552	meanmale
TRINITY_DN112596_c0_g1_i1	FC1	male	0.187535174	meanmale
TRINITY_DN112614_c0_g1_i1	FC1	male	-0.11310732	meanmale
TRINITY_DN112672_c0_g3_i1	FC1	male	1.604162298	meanmale
TRINITY_DN112713_c0_g1_i3	FC1	male	0.916256742	meanmale
TRINITY_DN112732_c0_g1_i5	FC1	male	1.432019995	meanmale
TRINITY_DN112759_c0_g4_i2	FC1	male	3.566722493	meanmale
TRINITY_DN112760_c0_g3_i1	FC1	male	2.902401619	meanmale
TRINITY_DN112763_c0_g2_i1	FC1	male	3.118099014	meanmale
TRINITY_DN112790_c0_g1_i1	FC1	male	5.01617242	meanmale
TRINITY_DN112799_c0_g1_i1	FC1	male	2.83348999	meanmale
TRINITY_DN112809_c1_g1_i1	FC1	male	1.499952222	meanmale
TRINITY_DN112859_c0_g2_i1	FC1	male	1.581236852	meanmale
TRINITY_DN112910_c0_g1_i2	FC1	male	0.222555423	meanmale
TRINITY_DN112947_c0_g1_i2	FC1	male	0.846660349	meanmale
TRINITY_DN112955_c0_g1_i2	FC1	male	1.458363452	meanmale
TRINITY_DN113029_c0_g2_i2	FC1	male	3.19706735	meanmale
TRINITY_DN113038_c0_g2_i1	FC1	male	0.732384712	meanmale
TRINITY_DN113062_c0_g1_i2	FC1	male	2.227886233	meanmale
TRINITY_DN113064_c0_g1_i1	FC1	male	-0.133502649	meanmale
TRINITY_DN113065_c0_g1_i1	FC1	male	3.930794927	meanmale
TRINITY_DN113145_c0_g1_i1	FC1	male	2.458623541	meanmale
