gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN104411_c0_g3_i1	-9.020018157	7	female	NA
TRINITY_DN119774_c0_g1_i2	-9.013128251	7	female	-1.763828974
TRINITY_DN136525_c2_g1_i1	-9.002121291	7	female	NA
TRINITY_DN132840_c3_g2_i1	-8.975522088	7	female	-2.597186898
TRINITY_DN133117_c1_g2_i4	-8.892580587	7	female	-2.194306284
TRINITY_DN118665_c1_g1_i1	-8.889348341	7	female	-2.351939251
TRINITY_DN207157_c0_g1_i1	-8.878625764	7	female	NA
TRINITY_DN67391_c0_g1_i1	-8.874925936	7	female	NA
TRINITY_DN134021_c2_g1_i2	-8.8636463	7	female	NA
TRINITY_DN72771_c0_g1_i1	-8.857663967	7	female	NA
TRINITY_DN103897_c0_g2_i1	-8.801574564	7	female	NA
TRINITY_DN135914_c0_g2_i1	-8.761479033	7	female	-2.930484522
TRINITY_DN123456_c0_g4_i1	-8.759323186	7	female	0.040226411
TRINITY_DN122293_c0_g1_i1	-8.750816613	7	female	-1.422478019
TRINITY_DN118281_c0_g1_i1	-8.739470397	7	female	NA
TRINITY_DN80690_c2_g1_i1	-8.734166511	7	female	NA
TRINITY_DN102303_c0_g1_i1	-8.711553043	7	female	NA
TRINITY_DN126027_c5_g2_i1	-8.708767409	7	female	NA
TRINITY_DN183163_c0_g1_i1	-8.690379844	7	female	NA
TRINITY_DN90918_c0_g2_i1	-8.666627519	7	female	NA
TRINITY_DN9222_c0_g1_i1	-8.659214155	7	female	NA
TRINITY_DN134567_c1_g1_i1	-8.632995314	7	female	NA
TRINITY_DN116966_c0_g1_i1	-8.628342064	7	female	0.590447929
TRINITY_DN121709_c1_g1_i1	-8.625019032	7	female	NA
TRINITY_DN124234_c1_g1_i2	-8.611502161	7	female	NA
TRINITY_DN124389_c0_g1_i1	-8.603287602	7	female	NA
TRINITY_DN131967_c0_g3_i2	-8.602665185	7	female	NA
TRINITY_DN97690_c0_g5_i1	-8.586968189	7	female	NA
TRINITY_DN69456_c0_g1_i2	-8.585878778	7	female	0.398614284
TRINITY_DN23453_c0_g2_i1	-8.576249896	7	female	NA
TRINITY_DN132352_c1_g8_i1	-8.563313705	7	female	NA
TRINITY_DN96567_c0_g1_i1	-8.55909031	7	female	NA
TRINITY_DN75599_c0_g1_i1	-8.54889449	7	female	NA
TRINITY_DN133823_c0_g2_i1	-8.532878557	7	female	-3.629309587
TRINITY_DN128868_c0_g2_i1	-8.528418575	7	female	NA
TRINITY_DN130577_c0_g1_i1	-8.515869119	7	female	-2.086771839
TRINITY_DN131030_c4_g1_i6	-8.513007287	7	female	NA
TRINITY_DN133291_c0_g2_i1	-8.501163266	7	female	1.218305009
TRINITY_DN135812_c3_g5_i2	-8.494904155	7	female	NA
TRINITY_DN130435_c2_g2_i1	-8.494259189	7	female	NA
TRINITY_DN117327_c0_g1_i1	-8.488793904	7	female	NA
TRINITY_DN106704_c0_g2_i1	-8.481519911	7	female	NA
TRINITY_DN119058_c0_g1_i1	-8.467948474	7	female	NA
TRINITY_DN75302_c0_g2_i1	-8.454897951	7	female	-1.342145504
TRINITY_DN133888_c1_g5_i1	-8.448373437	7	female	NA
TRINITY_DN126946_c0_g1_i1	-8.442693284	7	female	NA
TRINITY_DN117257_c0_g2_i1	-8.441982605	7	female	-3.125901864
TRINITY_DN100108_c0_g1_i1	-8.433457092	7	female	NA
TRINITY_DN126729_c2_g1_i2	-8.425840933	7	female	-2.814102324
TRINITY_DN80419_c0_g2_i1	-8.419278921	7	female	NA
TRINITY_DN124325_c0_g1_i1	-8.393144339	7	female	0.020104425
TRINITY_DN129651_c0_g4_i5	-8.380784777	7	female	0.187548552
TRINITY_DN136563_c6_g1_i3	-8.379493427	7	female	NA
TRINITY_DN112217_c0_g1_i1	-8.373390714	7	female	NA
TRINITY_DN124448_c4_g1_i1	-8.37211566	7	female	NA
TRINITY_DN136699_c6_g7_i1	-8.358115161	7	female	NA
TRINITY_DN126709_c0_g1_i4	-8.351508317	7	female	-1.171432863
TRINITY_DN135947_c1_g1_i1	-8.345571958	7	female	-1.495975661
TRINITY_DN151741_c0_g1_i1	-8.331371199	7	female	-1.076039484
TRINITY_DN123696_c0_g1_i1	-8.329192419	7	female	NA
TRINITY_DN117263_c0_g1_i3	-8.322947968	7	female	NA
TRINITY_DN125119_c3_g6_i1	-8.322277941	7	female	-1.497836029
TRINITY_DN24461_c0_g1_i1	-8.318335285	7	female	NA
TRINITY_DN101489_c0_g1_i1	-8.314355298	7	female	NA
TRINITY_DN110644_c0_g3_i1	-8.30538985	7	female	NA
TRINITY_DN100360_c0_g1_i1	-8.291045975	7	female	NA
TRINITY_DN130516_c0_g1_i1	-8.289337383	7	female	NA
TRINITY_DN87791_c0_g4_i1	-8.270433599	7	female	NA
TRINITY_DN114446_c1_g1_i2	-8.267185596	7	female	NA
TRINITY_DN69144_c0_g1_i1	-8.263173959	7	female	NA
TRINITY_DN127631_c8_g3_i1	-8.252055262	7	female	NA
TRINITY_DN134660_c1_g2_i1	-8.251770723	7	female	NA
TRINITY_DN132305_c3_g4_i3	-8.241508769	7	female	-0.929004789
TRINITY_DN209049_c0_g1_i1	-8.21699373	7	female	NA
TRINITY_DN109596_c0_g1_i1	-8.211740506	7	female	-2.267201793
TRINITY_DN132846_c6_g3_i2	-8.208751376	7	female	-2.980130227
TRINITY_DN132581_c0_g1_i5	-8.207626416	7	female	NA
TRINITY_DN136144_c9_g5_i1	-8.203521437	7	female	NA
TRINITY_DN45107_c0_g2_i1	-8.196272957	7	female	NA
TRINITY_DN27150_c0_g1_i1	-8.174067252	7	female	NA
TRINITY_DN124631_c0_g1_i5	-8.164074854	7	female	0.331968788
TRINITY_DN125698_c0_g1_i8	-8.152397484	7	female	NA
TRINITY_DN91390_c0_g1_i1	-8.148966865	7	female	NA
TRINITY_DN131298_c0_g1_i1	-8.128151555	7	female	-3.185540652
TRINITY_DN124438_c0_g1_i1	-8.122294451	7	female	-3.350192415
TRINITY_DN19312_c0_g1_i1	-8.119847304	7	female	NA
TRINITY_DN26128_c0_g1_i1	-8.106184587	7	female	NA
TRINITY_DN98761_c0_g2_i1	-8.099455867	7	female	NA
TRINITY_DN129116_c0_g1_i3	-8.098431068	7	female	-1.527481835
TRINITY_DN133823_c0_g1_i1	-8.074518097	7	female	NA
TRINITY_DN121548_c0_g1_i1	-8.061826616	7	female	-2.840978009
TRINITY_DN40767_c0_g1_i1	-8.054330803	7	female	NA
TRINITY_DN114957_c0_g1_i3	-8.053134841	7	female	NA
TRINITY_DN124263_c0_g1_i1	-8.053118156	7	female	-0.458571534
TRINITY_DN87843_c0_g1_i1	-8.045801563	7	female	NA
TRINITY_DN123398_c4_g3_i2	-8.045794396	7	female	NA
TRINITY_DN125497_c0_g1_i2	-8.039007506	7	female	NA
TRINITY_DN101425_c0_g1_i1	-8.031032948	7	female	NA
TRINITY_DN136663_c13_g1_i1	-8.030218781	7	female	0.240850634
TRINITY_DN115116_c0_g1_i1	-8.029237001	7	female	NA
TRINITY_DN102894_c0_g3_i1	-8.028129419	7	female	NA
TRINITY_DN114382_c0_g1_i2	-8.023752229	7	female	NA
TRINITY_DN131491_c0_g1_i5	-7.991743567	7	female	NA
TRINITY_DN121071_c0_g1_i4	-7.975407102	7	female	-1.10025122
TRINITY_DN123462_c3_g1_i1	-7.960595989	7	female	-3.219832199
TRINITY_DN118496_c0_g1_i2	-7.958210987	7	female	-0.392297789
TRINITY_DN99742_c0_g1_i1	-7.95258123	7	female	NA
TRINITY_DN98334_c0_g1_i1	-7.948143798	7	female	NA
TRINITY_DN44677_c0_g2_i1	-7.934258716	7	female	NA
TRINITY_DN109913_c0_g1_i1	-7.930868341	7	female	NA
TRINITY_DN103565_c0_g2_i1	-7.923852783	7	female	NA
TRINITY_DN80690_c2_g2_i1	-7.918508741	7	female	-3.453465031
TRINITY_DN108208_c0_g1_i3	-7.907084367	7	female	1.087207134
TRINITY_DN91515_c0_g3_i1	-7.904982845	7	female	NA
TRINITY_DN92371_c1_g2_i1	-7.874021403	7	female	NA
TRINITY_DN125119_c3_g3_i1	-7.865367533	7	female	NA
TRINITY_DN131426_c0_g3_i1	-7.860767333	7	female	NA
TRINITY_DN120071_c0_g1_i2	-7.860275091	7	female	-1.122828561
TRINITY_DN114530_c0_g7_i1	-7.818211549	7	female	NA
TRINITY_DN114684_c0_g1_i1	-7.814575833	7	female	-0.161814636
TRINITY_DN135230_c0_g1_i5	-7.803634241	7	female	-0.634040547
TRINITY_DN132736_c0_g1_i2	-7.798206191	7	female	-4.84507364
TRINITY_DN97837_c0_g1_i1	-7.796186842	7	female	NA
TRINITY_DN127850_c0_g1_i1	-7.778286644	7	female	NA
TRINITY_DN22630_c0_g1_i1	-7.767944214	7	female	NA
