gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN134067_c2_g1_i1	-2.036237802	1	female	2.614604262
TRINITY_DN134688_c3_g3_i1	-2.035908677	1	female	1.224057917
TRINITY_DN127067_c5_g2_i2	-2.035775175	1	female	1.665330218
TRINITY_DN129425_c0_g1_i1	-2.034044574	1	female	-0.325087102
TRINITY_DN136128_c0_g4_i1	-2.033276653	1	female	2.665842303
TRINITY_DN124667_c1_g2_i1	-2.032832644	1	female	2.65206531
TRINITY_DN122422_c0_g2_i2	-2.032220415	1	female	NA
TRINITY_DN131516_c0_g1_i2	-2.032077753	1	female	4.036333177
TRINITY_DN133457_c1_g4_i1	-2.031948665	1	female	0.672745411
TRINITY_DN130938_c0_g3_i7	-2.031858008	1	female	2.300407212
TRINITY_DN123257_c0_g1_i1	-2.031579952	1	female	-0.83735289
TRINITY_DN112166_c0_g2_i1	-2.03132074	1	female	4.483184833
TRINITY_DN122809_c1_g1_i1	-2.030867427	1	female	-0.465641959
TRINITY_DN132358_c0_g1_i1	-2.030612389	1	female	-2.440483253
TRINITY_DN111515_c0_g1_i2	-2.029924928	1	female	2.382865174
TRINITY_DN132840_c4_g5_i1	-2.02945903	1	female	-1.144149373
TRINITY_DN128653_c3_g1_i1	-2.028248388	1	female	-2.135401041
TRINITY_DN109430_c0_g5_i1	-2.027842879	1	female	3.04549971
TRINITY_DN124678_c1_g7_i1	-2.027817264	1	female	1.468930454
TRINITY_DN127422_c1_g2_i2	-2.027490714	1	female	1.116827131
TRINITY_DN122678_c0_g1_i1	-2.026891955	1	female	4.154320384
TRINITY_DN133452_c0_g1_i1	-2.02661624	1	female	1.018967929
TRINITY_DN63832_c0_g1_i1	-2.026156612	1	female	2.045349158
TRINITY_DN133572_c0_g1_i1	-2.026011205	1	female	2.606433098
TRINITY_DN132243_c0_g2_i1	-2.021607894	1	female	2.964341287
TRINITY_DN126676_c0_g1_i1	-2.020849941	1	female	1.429492682
TRINITY_DN126641_c1_g1_i1	-2.020490422	1	female	-1.2801176
TRINITY_DN136048_c3_g2_i1	-2.020201203	1	female	1.700884214
TRINITY_DN127094_c2_g3_i3	-2.020049072	1	female	-0.862816264
TRINITY_DN127247_c0_g1_i4	-2.019982834	1	female	4.265724001
TRINITY_DN134474_c4_g1_i1	-2.01983996	1	female	5.523764369
TRINITY_DN127848_c6_g1_i1	-2.01927356	1	female	4.126020945
TRINITY_DN134925_c0_g2_i5	-2.018779338	1	female	3.713304893
TRINITY_DN121169_c0_g1_i1	-2.018608674	1	female	-1.710020529
TRINITY_DN124267_c8_g1_i2	-2.017584841	1	female	-0.221463694
TRINITY_DN114935_c1_g2_i3	-2.017358122	1	female	NA
TRINITY_DN121985_c0_g1_i2	-2.017253047	1	female	-1.120152029
TRINITY_DN125363_c4_g1_i6	-2.01684651	1	female	2.597838608
TRINITY_DN116490_c0_g1_i1	-2.016758153	1	female	2.467747444
TRINITY_DN129142_c4_g1_i1	-2.01585077	1	female	3.56939531
TRINITY_DN120216_c0_g1_i1	-2.015416949	1	female	2.225094124
TRINITY_DN129794_c2_g1_i1	-2.015217412	1	female	2.153875632
TRINITY_DN120336_c2_g1_i1	-2.015157398	1	female	-2.432481974
TRINITY_DN131220_c7_g1_i1	-2.014752331	1	female	-3.083568575
TRINITY_DN135189_c4_g1_i1	-2.014751404	1	female	5.910520544
TRINITY_DN134425_c0_g2_i3	-2.014710751	1	female	1.847853901
TRINITY_DN124985_c4_g2_i1	-2.013959858	1	female	1.832927895
TRINITY_DN119823_c0_g1_i2	-2.012905095	1	female	3.860906944
TRINITY_DN128878_c1_g1_i2	-2.012634231	1	female	1.760983935
TRINITY_DN129177_c1_g2_i1	-2.011777304	1	female	1.203042518
TRINITY_DN119879_c0_g1_i1	-2.011243335	1	female	1.501142452
TRINITY_DN124886_c0_g1_i1	-2.010487508	1	female	7.066466515
TRINITY_DN133256_c3_g3_i1	-2.010064231	1	female	2.788394466
TRINITY_DN132278_c1_g1_i2	-2.009625204	1	female	3.266022177
TRINITY_DN121205_c0_g1_i2	-2.008459285	1	female	2.018160432
TRINITY_DN126277_c0_g3_i2	-2.007327666	1	female	-2.286421503
TRINITY_DN135882_c0_g2_i1	-2.006801456	1	female	2.451700342
TRINITY_DN127375_c0_g1_i1	-2.00668511	1	female	5.226174522
TRINITY_DN133053_c7_g1_i2	-2.005848209	1	female	4.325348267
TRINITY_DN123418_c0_g1_i3	-2.005009578	1	female	4.501534449
TRINITY_DN124999_c0_g1_i1	-2.004265854	1	female	3.165153376
TRINITY_DN121157_c4_g1_i1	-2.003967982	1	female	2.673232545
TRINITY_DN25753_c0_g2_i1	-2.003721425	1	female	2.08670134
TRINITY_DN167182_c0_g1_i1	-2.00358937	1	female	1.359912938
TRINITY_DN133473_c0_g8_i4	-2.003529754	1	female	4.060800089
TRINITY_DN124446_c1_g1_i2	-2.003155041	1	female	3.128443696
TRINITY_DN96300_c0_g1_i2	-2.002285759	1	female	-1.540731441
TRINITY_DN109288_c0_g1_i1	-2.001208825	1	female	1.467530572
TRINITY_DN126995_c0_g1_i1	-2.000837265	1	female	0.3751746
TRINITY_DN132561_c0_g1_i4	-1.998416137	1	female	0.443484004
TRINITY_DN124593_c3_g2_i3	-1.998383669	1	female	-1.023598527
TRINITY_DN114731_c0_g1_i2	-1.998155913	1	female	-2.919096873
TRINITY_DN127350_c2_g2_i3	-1.998051393	1	female	2.591603085
TRINITY_DN196638_c0_g1_i1	-1.998033077	1	female	1.329903689
TRINITY_DN126551_c0_g2_i5	-1.997458808	1	female	5.245108643
TRINITY_DN133367_c0_g2_i1	-1.995745434	1	female	1.25069481
TRINITY_DN120852_c0_g1_i3	-1.994676972	1	female	4.862713582
TRINITY_DN121691_c3_g4_i1	-1.994549447	1	female	NA
TRINITY_DN120155_c0_g1_i1	-1.994171706	1	female	4.406916911
TRINITY_DN110864_c0_g1_i2	-1.993566285	1	female	-0.833915174
TRINITY_DN126838_c0_g1_i1	-1.992753228	1	female	4.194233637
TRINITY_DN119113_c0_g1_i1	-1.991358126	1	female	3.471469066
TRINITY_DN121823_c0_g1_i2	-1.990823131	1	female	4.11624876
TRINITY_DN128891_c1_g1_i1	-1.990783099	1	female	3.237428415
TRINITY_DN130867_c0_g1_i2	-1.990765452	1	female	1.008372162
TRINITY_DN102162_c0_g1_i1	-1.989864092	1	female	5.08841509
TRINITY_DN119509_c1_g3_i5	-1.989758529	1	female	5.061756602
TRINITY_DN128224_c1_g1_i2	-1.98963611	1	female	4.440961579
TRINITY_DN127426_c5_g2_i1	-1.989581966	1	female	-0.285235994
TRINITY_DN126569_c2_g5_i1	-1.989118954	1	female	-0.599724486
TRINITY_DN117665_c0_g2_i1	-1.98911406	1	female	3.761575561
TRINITY_DN122654_c7_g1_i1	-1.989060342	1	female	0.287328354
TRINITY_DN130492_c2_g4_i4	-1.988471805	1	female	5.16835404
TRINITY_DN135691_c1_g1_i3	-1.988236662	1	female	1.171256064
TRINITY_DN123289_c4_g7_i1	-1.987144293	1	female	1.572529891
TRINITY_DN114713_c0_g1_i1	-1.986639614	1	female	5.807581947
TRINITY_DN132416_c2_g1_i5	-1.986591807	1	female	3.330614138
TRINITY_DN127123_c1_g4_i2	-1.986023677	1	female	1.742515186
TRINITY_DN126533_c3_g2_i1	-1.985859239	1	female	2.899879418
TRINITY_DN112291_c0_g2_i1	-1.984895708	1	female	3.271850676
TRINITY_DN86639_c0_g1_i1	-1.98405618	1	female	1.203594828
TRINITY_DN126359_c3_g2_i1	-1.983321555	1	female	1.178538865
TRINITY_DN131991_c4_g2_i4	-1.983218717	1	female	5.564232902
TRINITY_DN127178_c0_g3_i8	-1.983075914	1	female	6.509146181
TRINITY_DN127640_c0_g1_i3	-1.981010372	1	female	0.222954047
TRINITY_DN130949_c0_g2_i1	-1.980606646	1	female	0.338166515
TRINITY_DN124429_c0_g1_i3	-1.980488401	1	female	-1.705715147
TRINITY_DN121372_c0_g1_i4	-1.979443926	1	female	1.59220903
TRINITY_DN130861_c0_g1_i1	-1.977911341	1	female	0.630263015
TRINITY_DN132128_c1_g1_i4	-1.975772022	1	female	0.613849662
TRINITY_DN108714_c0_g1_i1	-1.975472233	1	female	1.212136501
TRINITY_DN119857_c0_g1_i1	-1.975393853	1	female	2.459579654
TRINITY_DN101457_c0_g1_i1	-1.975176504	1	female	4.819803697
TRINITY_DN119783_c0_g1_i1	-1.975069106	1	female	-0.103561362
TRINITY_DN124855_c0_g9_i1	-1.974915239	1	female	3.484079819
TRINITY_DN134777_c0_g2_i1	-1.974352354	1	female	4.676948831
TRINITY_DN86564_c0_g2_i1	-1.974070879	1	female	-0.523139196
TRINITY_DN120991_c0_g2_i2	-1.973269193	1	female	3.15428569
TRINITY_DN113447_c0_g1_i1	-1.97311027	1	female	5.658059708
TRINITY_DN122501_c0_g1_i2	-1.972757173	1	female	2.904567109
TRINITY_DN133933_c5_g7_i2	-1.972554798	1	female	1.235377672
TRINITY_DN3392_c0_g1_i1	-1.970965533	1	female	4.534021515
TRINITY_DN69181_c0_g1_i2	-1.969839455	1	female	-1.485093289
TRINITY_DN122358_c1_g3_i1	-1.969791867	1	female	2.692952028
TRINITY_DN135256_c0_g1_i2	-1.969761146	1	female	4.323521901
TRINITY_DN98498_c0_g1_i1	-1.968684698	1	female	4.280893224
TRINITY_DN134429_c5_g1_i1	-1.967927961	1	female	2.820273355
TRINITY_DN131034_c5_g2_i1	-1.967690476	1	female	2.644631092
TRINITY_DN130834_c1_g1_i1	-1.967507658	1	female	0.567913963
TRINITY_DN127661_c6_g1_i2	-1.967067207	1	female	-1.725783264
TRINITY_DN131099_c2_g1_i4	-1.966502999	1	female	0.651223541
TRINITY_DN118620_c1_g1_i1	-1.966395762	1	female	-0.847806073
TRINITY_DN133929_c5_g3_i4	-1.966142633	1	female	1.02673886
TRINITY_DN135638_c10_g1_i1	-1.966023305	1	female	2.82263881
TRINITY_DN131686_c3_g2_i3	-1.965574137	1	female	4.207611668
TRINITY_DN131201_c5_g3_i7	-1.965291239	1	female	1.861938861
TRINITY_DN124521_c0_g1_i1	-1.965212801	1	female	4.995222178
TRINITY_DN117998_c2_g1_i1	-1.96465073	1	female	-0.327521443
TRINITY_DN109440_c0_g1_i1	-1.964619316	1	female	1.449757292
TRINITY_DN125459_c4_g3_i4	-1.964488889	1	female	4.906313644
TRINITY_DN126532_c2_g2_i1	-1.964233581	1	female	2.811261367
TRINITY_DN130001_c0_g1_i2	-1.963253349	1	female	0.793724523
TRINITY_DN103912_c0_g1_i1	-1.962928756	1	female	2.919915688
TRINITY_DN25151_c0_g2_i1	-1.962916908	1	female	-0.315304588
TRINITY_DN94878_c0_g1_i1	-1.962818018	1	female	-0.250832145
TRINITY_DN110258_c0_g1_i1	-1.962401939	1	female	6.339637995
TRINITY_DN134714_c5_g1_i2	-1.9618407	1	female	4.435633208
TRINITY_DN120935_c2_g1_i1	-1.961785633	1	female	3.188066079
TRINITY_DN136273_c6_g2_i1	-1.961709444	1	female	0.48097881
TRINITY_DN129994_c0_g1_i1	-1.961169506	1	female	-0.028120657
TRINITY_DN132854_c0_g2_i2	-1.960747064	1	female	-0.449341654
TRINITY_DN118390_c0_g2_i2	-1.959815104	1	female	2.810312542
TRINITY_DN130572_c1_g2_i2	-1.959551486	1	female	6.162224436
TRINITY_DN128294_c0_g1_i1	-1.959443305	1	female	3.097776236
TRINITY_DN124873_c0_g1_i3	-1.958414238	1	female	4.000088045
TRINITY_DN125445_c4_g5_i1	-1.958300547	1	female	3.976155049
TRINITY_DN132063_c0_g1_i2	-1.957376259	1	female	0.354686227
TRINITY_DN126422_c1_g1_i4	-1.957311872	1	female	2.892636946
TRINITY_DN133530_c1_g2_i1	-1.956527261	1	female	4.455303205
TRINITY_DN128639_c1_g5_i1	-1.955944625	1	female	1.150100698
TRINITY_DN122106_c0_g2_i1	-1.955870129	1	female	NA
TRINITY_DN127630_c3_g2_i2	-1.955826825	1	female	6.593708817
TRINITY_DN128417_c4_g4_i2	-1.955288667	1	female	2.99005611
TRINITY_DN124883_c0_g1_i1	-1.955124761	1	female	4.397982049
TRINITY_DN120161_c0_g2_i9	-1.954477458	1	female	3.939345143
TRINITY_DN131318_c1_g2_i1	-1.95417915	1	female	-0.372462523
TRINITY_DN96683_c0_g1_i1	-1.95311928	1	female	-1.121441861
TRINITY_DN129581_c0_g1_i5	-1.952414882	1	female	4.17768156
TRINITY_DN125594_c3_g4_i2	-1.95171602	1	female	-1.71538069
TRINITY_DN81421_c0_g2_i1	-1.951330846	1	female	4.363996259
TRINITY_DN136538_c0_g1_i1	-1.951139394	1	female	1.356764321
TRINITY_DN85263_c0_g1_i1	-1.95006299	1	female	NA
TRINITY_DN136174_c0_g1_i4	-1.949705774	1	female	-0.462518582
TRINITY_DN114751_c0_g2_i1	-1.949067637	1	female	1.629462587
TRINITY_DN117034_c0_g1_i1	-1.948237214	1	female	2.458955614
TRINITY_DN115040_c1_g4_i2	-1.948228495	1	female	0.617167566
TRINITY_DN132580_c3_g2_i1	-1.948040186	1	female	3.731548224
TRINITY_DN131986_c2_g1_i1	-1.947750331	1	female	2.282674166
TRINITY_DN120445_c0_g1_i1	-1.94762031	1	female	4.066978233
TRINITY_DN120619_c0_g1_i2	-1.947588325	1	female	1.540864016
TRINITY_DN121993_c0_g1_i1	-1.947375402	1	female	-0.153862416
TRINITY_DN114642_c0_g1_i2	-1.947143309	1	female	4.675934904
TRINITY_DN125470_c0_g1_i1	-1.946772712	1	female	3.832687975
TRINITY_DN119705_c0_g1_i3	-1.944843782	1	female	3.472120868
TRINITY_DN121666_c1_g3_i2	-1.944080954	1	female	0.734125467
TRINITY_DN135187_c1_g1_i4	-1.943873116	1	female	4.427114683
TRINITY_DN135564_c2_g5_i9	-1.943241042	1	female	3.677685944
TRINITY_DN115369_c0_g1_i1	-1.943204117	1	female	0.053353912
TRINITY_DN134848_c3_g3_i1	-1.942627434	1	female	3.259028256
TRINITY_DN114659_c0_g2_i1	-1.942510879	1	female	1.49722458
TRINITY_DN131713_c0_g2_i1	-1.942261663	1	female	0.199084981
TRINITY_DN81198_c0_g1_i2	-1.942014848	1	female	3.985797245
TRINITY_DN98536_c0_g1_i2	-1.94114488	1	female	3.464820844
TRINITY_DN121149_c0_g1_i1	-1.940681184	1	female	4.350898466
TRINITY_DN154353_c0_g1_i1	-1.94049595	1	female	-0.426232846
TRINITY_DN115053_c0_g1_i2	-1.940471342	1	female	2.974797827
TRINITY_DN124306_c7_g1_i1	-1.940326066	1	female	3.291897165
TRINITY_DN96629_c0_g1_i1	-1.939994969	1	female	2.836349775
TRINITY_DN124490_c7_g1_i1	-1.939901573	1	female	0.04824162
TRINITY_DN122531_c0_g2_i1	-1.939472141	1	female	3.373571205
TRINITY_DN132931_c0_g2_i1	-1.938921475	1	female	0.201401864
TRINITY_DN128902_c5_g1_i1	-1.938832649	1	female	1.523729401
TRINITY_DN132089_c3_g1_i1	-1.938517654	1	female	2.694988079
TRINITY_DN124714_c0_g1_i1	-1.938465631	1	female	4.998512838
TRINITY_DN135398_c4_g1_i3	-1.938435591	1	female	0.256214969
TRINITY_DN96603_c0_g1_i3	-1.938245047	1	female	-0.812198608
TRINITY_DN123229_c1_g2_i1	-1.938217473	1	female	1.902436697
TRINITY_DN129593_c0_g1_i1	-1.938176188	1	female	4.092265206
TRINITY_DN116977_c0_g1_i2	-1.937858075	1	female	-0.716377192
TRINITY_DN127025_c4_g1_i1	-1.937663604	1	female	3.962832444
TRINITY_DN133087_c0_g1_i2	-1.937637926	1	female	-2.920078116
TRINITY_DN135706_c2_g4_i2	-1.937561942	1	female	1.025559722
TRINITY_DN129172_c0_g2_i2	-1.93710643	1	female	3.092385826
TRINITY_DN131116_c0_g4_i1	-1.937067389	1	female	1.681021373
TRINITY_DN128625_c0_g1_i3	-1.936625682	1	female	3.383001095
TRINITY_DN131487_c8_g1_i1	-1.936318797	1	female	NA
TRINITY_DN127560_c0_g2_i3	-1.935646832	1	female	3.981906905
TRINITY_DN64949_c0_g1_i1	-1.93550069	1	female	-0.372368736
TRINITY_DN129158_c3_g1_i1	-1.934482997	1	female	0.892212263
TRINITY_DN128507_c2_g3_i1	-1.933901735	1	female	-0.004408483
TRINITY_DN133563_c2_g3_i1	-1.933863342	1	female	0.963410728
TRINITY_DN135425_c1_g1_i2	-1.933776082	1	female	0.300941187
TRINITY_DN126330_c1_g2_i1	-1.933696993	1	female	4.470691273
TRINITY_DN132633_c0_g1_i3	-1.933627282	1	female	3.515259882
TRINITY_DN125578_c3_g4_i3	-1.93309181	1	female	5.523559884
TRINITY_DN136052_c0_g1_i3	-1.932607798	1	female	2.660018486
TRINITY_DN133045_c7_g3_i1	-1.932430479	1	female	4.674326602
TRINITY_DN23843_c0_g1_i1	-1.932050965	1	female	1.613143391
TRINITY_DN80346_c0_g3_i1	-1.931953752	1	female	4.206633499
TRINITY_DN133361_c0_g4_i1	-1.931908635	1	female	NA
TRINITY_DN120863_c0_g1_i1	-1.93110514	1	female	4.77419334
TRINITY_DN114829_c0_g1_i1	-1.929208905	1	female	-0.042496309
TRINITY_DN123129_c1_g1_i3	-1.927516532	1	female	3.659021997
TRINITY_DN126425_c1_g1_i3	-1.926710141	1	female	5.117803112
TRINITY_DN118005_c0_g2_i1	-1.926433862	1	female	3.001201262
TRINITY_DN117942_c0_g1_i2	-1.926113724	1	female	-3.016829911
TRINITY_DN126122_c4_g2_i1	-1.9258984	1	female	0.791915023
TRINITY_DN126284_c5_g1_i3	-1.925830224	1	female	4.546886143
TRINITY_DN124241_c0_g2_i2	-1.925352214	1	female	5.562254772
TRINITY_DN105455_c0_g3_i1	-1.924845592	1	female	1.892049698
TRINITY_DN123408_c0_g1_i6	-1.924322328	1	female	2.611975954
TRINITY_DN125198_c6_g4_i5	-1.923722687	1	female	-0.884280756
TRINITY_DN133456_c1_g2_i2	-1.922940289	1	female	3.122146178
TRINITY_DN135058_c4_g17_i2	-1.922016303	1	female	-0.065204051
TRINITY_DN92070_c0_g1_i1	-1.921831824	1	female	-0.347811071
TRINITY_DN125066_c0_g1_i1	-1.921792889	1	female	5.296289912
TRINITY_DN129160_c1_g1_i1	-1.921139843	1	female	1.594708362
TRINITY_DN94143_c0_g2_i1	-1.92100068	1	female	0.667379951
TRINITY_DN128278_c6_g2_i1	-1.920676694	1	female	-1.294373444
TRINITY_DN134095_c1_g3_i1	-1.920621656	1	female	1.42973526
TRINITY_DN133129_c1_g4_i3	-1.920143761	1	female	6.126090963
TRINITY_DN128901_c2_g1_i7	-1.920109674	1	female	NA
TRINITY_DN132127_c0_g2_i2	-1.919136628	1	female	2.273788965
TRINITY_DN123085_c0_g1_i1	-1.918960513	1	female	3.228681528
TRINITY_DN132256_c0_g1_i1	-1.918624758	1	female	-0.414887576
TRINITY_DN122094_c3_g1_i1	-1.918236686	1	female	3.778589047
TRINITY_DN126300_c1_g4_i5	-1.918013595	1	female	-2.020120734
TRINITY_DN123284_c0_g1_i2	-1.917851287	1	female	0.982318465
TRINITY_DN122182_c0_g1_i2	-1.917195886	1	female	4.295701692
TRINITY_DN131042_c0_g1_i2	-1.916698552	1	female	2.302082802
TRINITY_DN118910_c0_g1_i1	-1.916045932	1	female	2.045298214
TRINITY_DN133340_c0_g2_i1	-1.916038912	1	female	3.054086716
TRINITY_DN119440_c0_g1_i2	-1.915645574	1	female	2.681785
TRINITY_DN33377_c0_g1_i1	-1.915555296	1	female	4.218932665
TRINITY_DN109790_c0_g1_i1	-1.915034426	1	female	5.759762146
TRINITY_DN74016_c0_g1_i1	-1.913948862	1	female	0.433774239
TRINITY_DN110346_c0_g1_i2	-1.9138604	1	female	4.800227382
TRINITY_DN136158_c6_g3_i1	-1.911604022	1	female	4.270870803
TRINITY_DN122435_c0_g1_i2	-1.910397898	1	female	3.15630039
TRINITY_DN134990_c3_g4_i1	-1.910322437	1	female	2.413934023
TRINITY_DN129027_c1_g2_i4	-1.909961466	1	female	4.058290189
TRINITY_DN133747_c2_g5_i2	-1.908239373	1	female	1.954412855
TRINITY_DN114406_c0_g1_i1	-1.907952792	1	female	-2.185545447
TRINITY_DN127814_c1_g1_i1	-1.907635	1	female	5.636615164
TRINITY_DN134836_c4_g6_i1	-1.906821708	1	female	-2.484147369
TRINITY_DN131929_c1_g1_i1	-1.905613573	1	female	-0.134084507
TRINITY_DN124083_c0_g1_i2	-1.905533189	1	female	3.775904129
TRINITY_DN128967_c0_g6_i5	-1.904104062	1	female	0.866188094
TRINITY_DN118844_c0_g1_i3	-1.904001339	1	female	0.549729375
TRINITY_DN108683_c0_g1_i2	-1.903732333	1	female	NA
TRINITY_DN136036_c1_g2_i2	-1.903649033	1	female	0.93663132
TRINITY_DN125113_c2_g1_i3	-1.903622058	1	female	0.667272637
TRINITY_DN125836_c0_g1_i3	-1.903160876	1	female	-0.291176285
TRINITY_DN126318_c8_g2_i4	-1.902668852	1	female	4.14221087
TRINITY_DN127173_c7_g1_i3	-1.902394163	1	female	3.015225133
TRINITY_DN120868_c0_g1_i2	-1.902159633	1	female	4.458719894
TRINITY_DN130723_c0_g2_i2	-1.901888067	1	female	1.811608483
TRINITY_DN121690_c0_g1_i2	-1.899798194	1	female	-0.334749825
TRINITY_DN131833_c2_g4_i2	-1.899610782	1	female	0.728698135
TRINITY_DN119886_c0_g1_i3	-1.899262857	1	female	3.714566783
TRINITY_DN131064_c5_g2_i2	-1.899174442	1	female	2.949653953
TRINITY_DN126683_c0_g1_i2	-1.89770925	1	female	6.260089381
TRINITY_DN118556_c0_g1_i2	-1.897527549	1	female	5.557375258
TRINITY_DN132844_c0_g3_i1	-1.896596644	1	female	-0.2461326
TRINITY_DN119381_c0_g1_i7	-1.895759968	1	female	3.305030396
TRINITY_DN119736_c0_g1_i3	-1.895514146	1	female	4.769382012
TRINITY_DN127460_c3_g4_i1	-1.89458242	1	female	-0.616549469
TRINITY_DN129167_c6_g1_i1	-1.894514441	1	female	3.313103139
TRINITY_DN152467_c0_g1_i1	-1.894418002	1	female	5.144700089
TRINITY_DN126359_c3_g3_i1	-1.894369918	1	female	1.725310105
TRINITY_DN134864_c1_g1_i1	-1.89420453	1	female	3.368541347
TRINITY_DN125674_c0_g3_i4	-1.893593892	1	female	1.944975768
TRINITY_DN125440_c1_g1_i1	-1.893525036	1	female	-1.650482162
TRINITY_DN101903_c0_g2_i2	-1.893340213	1	female	3.644720994
TRINITY_DN117189_c0_g2_i1	-1.893333262	1	female	3.041996483
TRINITY_DN125705_c0_g3_i1	-1.893279711	1	female	2.150607187
TRINITY_DN127576_c0_g1_i5	-1.893072077	1	female	1.135799032
TRINITY_DN125641_c0_g1_i1	-1.892376605	1	female	4.81271145
TRINITY_DN122146_c0_g1_i1	-1.892280641	1	female	3.219253084
TRINITY_DN125068_c2_g1_i2	-1.89218188	1	female	3.811269798
TRINITY_DN131909_c0_g1_i1	-1.891961829	1	female	3.884914543
TRINITY_DN125022_c2_g4_i1	-1.891916353	1	female	2.217759501
TRINITY_DN129633_c9_g2_i1	-1.891068449	1	female	-1.160227842
TRINITY_DN119492_c0_g2_i1	-1.890408491	1	female	-1.370456419
TRINITY_DN125699_c2_g6_i2	-1.890306807	1	female	0.087769198
TRINITY_DN122117_c0_g3_i3	-1.890055888	1	female	3.312097901
TRINITY_DN127394_c2_g3_i1	-1.889996644	1	female	1.870508426
TRINITY_DN117527_c0_g2_i2	-1.889626422	1	female	0.100444351
TRINITY_DN130751_c0_g4_i5	-1.88955267	1	female	4.063748871
TRINITY_DN124967_c2_g1_i1	-1.889250232	1	female	2.369792657
TRINITY_DN135876_c6_g1_i1	-1.888175244	1	female	0.904089338
TRINITY_DN133687_c4_g5_i4	-1.888099638	1	female	2.64245094
TRINITY_DN125364_c0_g1_i3	-1.88769929	1	female	3.0446895
TRINITY_DN134381_c5_g1_i2	-1.887531632	1	female	4.042747345
TRINITY_DN131899_c0_g1_i1	-1.887361054	1	female	4.097184957
TRINITY_DN115864_c0_g1_i1	-1.887330372	1	female	-2.028717335
TRINITY_DN132063_c0_g2_i2	-1.886059847	1	female	0.231875875
TRINITY_DN128322_c0_g6_i10	-1.885307024	1	female	2.217624308
TRINITY_DN127174_c0_g1_i1	-1.883409466	1	female	3.717955792
TRINITY_DN128742_c10_g1_i1	-1.880943449	1	female	3.175503563
TRINITY_DN128429_c0_g1_i1	-1.880273693	1	female	3.218292003
TRINITY_DN120593_c0_g1_i1	-1.88020489	1	female	5.129319296
TRINITY_DN136052_c0_g3_i1	-1.879890477	1	female	3.367633327
TRINITY_DN94938_c0_g3_i1	-1.87980371	1	female	2.852044006
TRINITY_DN131885_c2_g1_i1	-1.879610503	1	female	3.06150684
TRINITY_DN133319_c2_g2_i1	-1.87850511	1	female	3.367187411
TRINITY_DN122784_c0_g1_i2	-1.876940987	1	female	6.336689092
TRINITY_DN125768_c2_g2_i1	-1.875075414	1	female	1.947670092
TRINITY_DN122457_c0_g3_i2	-1.874759502	1	female	-2.189001596
TRINITY_DN129488_c0_g1_i2	-1.873669947	1	female	3.880184825
TRINITY_DN131108_c0_g2_i1	-1.873403996	1	female	1.962654827
TRINITY_DN122177_c1_g1_i1	-1.873354014	1	female	-2.034906019
TRINITY_DN110486_c0_g1_i1	-1.873221785	1	female	-0.531127378
TRINITY_DN126897_c0_g2_i1	-1.873128313	1	female	3.359519242
TRINITY_DN126038_c0_g1_i2	-1.872592176	1	female	2.642276234
TRINITY_DN118043_c0_g3_i1	-1.872538584	1	female	0.581143908
TRINITY_DN134354_c1_g1_i2	-1.87222321	1	female	2.41804016
TRINITY_DN136486_c2_g1_i8	-1.871711929	1	female	-0.816278435
TRINITY_DN113365_c0_g1_i3	-1.871693188	1	female	-1.445579688
TRINITY_DN98876_c0_g2_i1	-1.871331004	1	female	-1.067504045
TRINITY_DN126856_c0_g1_i2	-1.871235918	1	female	1.996404185
TRINITY_DN133402_c0_g1_i2	-1.870979243	1	female	4.96738745
TRINITY_DN168431_c0_g1_i1	-1.870704066	1	female	0.184715076
TRINITY_DN126404_c3_g2_i1	-1.870376618	1	female	4.256350923
TRINITY_DN121771_c0_g1_i1	-1.870088541	1	female	3.03137723
TRINITY_DN128903_c2_g1_i2	-1.869822304	1	female	1.004303503
TRINITY_DN123377_c2_g3_i1	-1.869162648	1	female	2.831367956
TRINITY_DN120839_c7_g1_i3	-1.868968629	1	female	NA
TRINITY_DN127932_c0_g1_i2	-1.868787531	1	female	4.658466911
TRINITY_DN112473_c1_g2_i2	-1.868659213	1	female	2.728407566
TRINITY_DN115718_c0_g2_i4	-1.867354519	1	female	4.84390282
TRINITY_DN94938_c0_g2_i1	-1.866484024	1	female	1.522138879
TRINITY_DN94254_c0_g1_i1	-1.866207347	1	female	-0.704996001
TRINITY_DN119929_c0_g1_i1	-1.86420142	1	female	5.306780802
TRINITY_DN129964_c1_g5_i2	-1.864145842	1	female	0.637539927
TRINITY_DN129927_c0_g1_i1	-1.863928451	1	female	-1.488712537
TRINITY_DN109401_c0_g1_i1	-1.863926362	1	female	-1.005123441
TRINITY_DN133196_c0_g1_i1	-1.862833807	1	female	3.411697863
TRINITY_DN126429_c0_g1_i1	-1.862656877	1	female	3.707777039
TRINITY_DN121146_c0_g1_i2	-1.862602938	1	female	-0.600069434
TRINITY_DN117235_c0_g3_i1	-1.862100409	1	female	4.198501493
TRINITY_DN125072_c0_g2_i1	-1.862062984	1	female	3.962011437
TRINITY_DN130227_c7_g1_i1	-1.861923539	1	female	0.550653121
TRINITY_DN125479_c0_g2_i3	-1.860473087	1	female	-1.298222151
TRINITY_DN122252_c0_g1_i2	-1.860021496	1	female	1.535808182
TRINITY_DN130050_c7_g2_i1	-1.85976917	1	female	4.906450044
