gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	sex
TRINITY_DN134435_c0_g1_i1	1.00620096	FC1	male	0.801262301	male
TRINITY_DN127046_c1_g3_i3	1.006240081	FC1	male	4.201183441	male
TRINITY_DN86267_c0_g1_i1	1.00709156	FC1	male	1.01797177	male
TRINITY_DN130529_c3_g1_i4	1.007502709	FC1	male	3.962036542	male
TRINITY_DN132866_c0_g1_i1	1.008132208	FC1	male	6.173577704	male
TRINITY_DN131480_c3_g1_i1	1.008220605	FC1	male	3.03196583	male
TRINITY_DN126198_c0_g1_i2	1.008233553	FC1	male	6.3732322	male
TRINITY_DN124349_c0_g1_i1	1.008311112	FC1	male	1.925870688	male
TRINITY_DN134010_c12_g2_i1	1.008924142	FC1	male	6.239579506	male
TRINITY_DN136544_c3_g4_i1	1.009539302	FC1	male	3.559869744	male
TRINITY_DN129085_c1_g2_i1	1.009881534	FC1	male	2.121873713	male
TRINITY_DN120231_c0_g1_i8	1.009982781	FC1	male	1.062565644	male
TRINITY_DN131253_c3_g1_i2	1.010468729	FC1	male	3.741484937	male
TRINITY_DN122809_c0_g1_i2	1.01131356	FC1	male	-0.101306929	male
TRINITY_DN130937_c5_g2_i3	1.011348801	FC1	male	2.155800509	male
TRINITY_DN129978_c1_g1_i8	1.012174634	FC1	male	2.078201802	male
TRINITY_DN131203_c2_g1_i6	1.012659182	FC1	male	2.993267903	male
TRINITY_DN136740_c8_g1_i1	1.012746364	FC1	male	-0.432141294	male
TRINITY_DN135141_c0_g2_i1	1.013128886	FC1	male	1.886292896	male
TRINITY_DN131606_c1_g1_i11	1.01343547	FC1	male	3.191562707	male
TRINITY_DN133409_c1_g3_i1	1.013667729	FC1	male	3.087752621	male
TRINITY_DN126414_c7_g8_i1	1.013965251	FC1	male	3.755856949	male
TRINITY_DN135017_c0_g2_i3	1.014238827	FC1	male	4.491699593	male
TRINITY_DN132278_c2_g1_i2	1.014335227	FC1	male	1.834110329	male
TRINITY_DN122447_c1_g1_i1	1.014423989	FC1	male	1.15168036	male
TRINITY_DN120431_c0_g2_i2	1.014541801	FC1	male	5.903375292	male
TRINITY_DN130253_c4_g4_i3	1.015011175	FC1	male	-0.795360553	male
TRINITY_DN133688_c1_g1_i1	1.015590406	FC1	male	2.768732416	male
TRINITY_DN130035_c0_g1_i1	1.01626631	FC1	male	5.519032448	male
TRINITY_DN127858_c0_g1_i2	1.016339928	FC1	male	0.773257906	male
TRINITY_DN119066_c0_g1_i1	1.01636039	FC1	male	2.473190973	male
TRINITY_DN133333_c1_g6_i3	1.016762747	FC1	male	5.590322455	male
TRINITY_DN199272_c0_g1_i1	1.016980417	FC1	male	2.128859896	male
TRINITY_DN133652_c0_g3_i1	1.017481474	FC1	male	4.333542528	male
TRINITY_DN118512_c1_g1_i2	1.01753063	FC1	male	2.298657924	male
TRINITY_DN133238_c0_g1_i5	1.017649752	FC1	male	1.484419042	male
TRINITY_DN123817_c0_g1_i1	1.017971601	FC1	male	1.606692679	male
TRINITY_DN114954_c0_g1_i1	1.018022008	FC1	male	0.592944827	male
TRINITY_DN127243_c3_g1_i2	1.018022045	FC1	male	5.315509342	male
TRINITY_DN126126_c2_g1_i1	1.018113159	FC1	male	1.517391415	male
TRINITY_DN106060_c0_g1_i1	1.019139738	FC1	male	1.601806507	male
TRINITY_DN129774_c0_g2_i2	1.019408329	FC1	male	4.709510185	male
TRINITY_DN133454_c0_g1_i2	1.019442593	FC1	male	4.668629227	male
TRINITY_DN132772_c0_g2_i1	1.019558552	FC1	male	0.318554875	male
TRINITY_DN130988_c1_g1_i2	1.019760391	FC1	male	1.711628005	male
TRINITY_DN121887_c2_g1_i1	1.020027736	FC1	male	4.592378652	male
TRINITY_DN119114_c0_g1_i1	1.020149361	FC1	male	2.23095484	male
TRINITY_DN120901_c0_g1_i1	1.020200838	FC1	male	7.4922373	male
TRINITY_DN136357_c1_g2_i3	1.020341132	FC1	male	3.012656974	male
TRINITY_DN135382_c4_g2_i1	1.020709113	FC1	male	1.487473417	male
TRINITY_DN121671_c1_g1_i1	1.021307559	FC1	male	0.987745349	male
TRINITY_DN129233_c0_g2_i1	1.021610559	FC1	male	3.142091756	male
TRINITY_DN132371_c4_g1_i1	1.021738414	FC1	male	0.695487642	male
TRINITY_DN127503_c9_g2_i1	1.022062591	FC1	male	0.598393472	male
TRINITY_DN207176_c0_g1_i1	1.022395391	FC1	male	2.404935138	male
TRINITY_DN130805_c2_g4_i1	1.022558897	FC1	male	1.560114345	male
TRINITY_DN136584_c5_g1_i1	1.022896305	FC1	male	6.406387381	male
TRINITY_DN134068_c1_g9_i6	1.02298027	FC1	male	0.146325911	male
TRINITY_DN134986_c0_g2_i3	1.022998827	FC1	male	3.59440026	male
TRINITY_DN103974_c0_g2_i1	1.023095632	FC1	male	2.275928939	male
TRINITY_DN135209_c6_g1_i3	1.023269825	FC1	male	2.790714696	male
TRINITY_DN123088_c0_g1_i20	1.023563554	FC1	male	9.76995805	male
TRINITY_DN106671_c0_g2_i1	1.02379986	FC1	male	2.703061861	male
TRINITY_DN117130_c0_g1_i1	1.023946183	FC1	male	-0.259520858	male
TRINITY_DN124612_c3_g4_i1	1.024620457	FC1	male	0.09268397	male
TRINITY_DN133156_c1_g3_i1	1.024867406	FC1	male	-0.503584864	male
TRINITY_DN172119_c0_g1_i1	1.025023666	FC1	male	2.256053791	male
TRINITY_DN132335_c4_g1_i1	1.025289196	FC1	male	0.783009157	male
TRINITY_DN132019_c0_g3_i1	1.02548207	FC1	male	-0.027864677	male
TRINITY_DN134983_c5_g7_i2	1.025544756	FC1	male	9.136308412	male
TRINITY_DN117066_c0_g1_i2	1.025658261	FC1	male	4.132554522	male
TRINITY_DN77474_c0_g1_i1	1.025837582	FC1	male	2.899196947	male
TRINITY_DN134337_c8_g1_i1	1.025916569	FC1	male	0.352748111	male
TRINITY_DN130769_c2_g4_i6	1.025987189	FC1	male	5.453702555	male
TRINITY_DN133160_c0_g1_i3	1.026147953	FC1	male	0.35506232	male
TRINITY_DN99593_c0_g1_i1	1.026492504	FC1	male	0.737126702	male
TRINITY_DN59305_c0_g1_i1	1.027630098	FC1	male	2.570661245	male
TRINITY_DN125043_c0_g3_i5	1.027843108	FC1	male	2.799233837	male
TRINITY_DN125740_c0_g1_i1	1.028346816	FC1	male	1.015593485	male
TRINITY_DN109134_c0_g1_i1	1.028681564	FC1	male	4.007645742	male
TRINITY_DN127884_c0_g1_i1	1.02869472	FC1	male	2.260190302	male
TRINITY_DN128611_c1_g5_i1	1.028697554	FC1	male	5.699270915	male
TRINITY_DN124497_c1_g1_i2	1.02887239	FC1	male	2.759643336	male
TRINITY_DN110795_c0_g1_i1	1.029168529	FC1	male	0.79689054	male
