Log2RPKM	Sex	bias
4.28852056233333	"meanmale"	"female"
3.00830651366667	"meanmale"	"female"
4.00887715066667	"meanmale"	"female"
3.73403309866667	"meanmale"	"female"
2.440045341	"meanmale"	"female"
0.0916718293333332	"meanmale"	"female"
4.17193101366667	"meanmale"	"female"
5.56044818966667	"meanmale"	"female"
-0.193312212333333	"meanmale"	"female"
-1.048714249	"meanmale"	"female"
2.07026123466667	"meanmale"	"female"
2.69685395866667	"meanmale"	"female"
1.499165847	"meanmale"	"female"
3.61714104133333	"meanmale"	"female"
2.49991645133333	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
-1.86656362	"meanmale"	"female"
3.26043200966667	"meanmale"	"female"
0.989228823666667	"meanmale"	"female"
4.93076372433333	"meanmale"	"female"
1.786322044	"meanmale"	"female"
-2.03556896533333	"meanmale"	"female"
0.298558297	"meanmale"	"female"
-2.35462986533333	"meanmale"	"female"
4.091888073	"meanmale"	"female"
0.661976679333333	"meanmale"	"female"
3.27035661	"meanmale"	"female"
2.77762230633333	"meanmale"	"female"
3.725101382	"meanmale"	"female"
2.479824113	"meanmale"	"female"
1.90227363233333	"meanmale"	"female"
3.56241501533333	"meanmale"	"female"
2.59156985066667	"meanmale"	"female"
4.01606268333333	"meanmale"	"female"
4.97386167133333	"meanmale"	"female"
4.48405427266667	"meanmale"	"female"
6.452853412	"meanmale"	"female"
0.545558703	"meanmale"	"female"
1.554146653	"meanmale"	"female"
3.21330650233333	"meanmale"	"female"
1.46686434933333	"meanmale"	"female"
-0.138797038333333	"meanmale"	"female"
2.888435599	"meanmale"	"female"
2.49137370733333	"meanmale"	"female"
3.53340861733333	"meanmale"	"female"
2.13636462333333	"meanmale"	"female"
3.38976311933333	"meanmale"	"female"
2.110487975	"meanmale"	"female"
2.361130387	"meanmale"	"female"
3.314639353	"meanmale"	"female"
3.843633998	"meanmale"	"female"
3.81183102333333	"meanmale"	"female"
4.64711208466667	"meanmale"	"female"
2.68933105966667	"meanmale"	"female"
3.02710088433333	"meanmale"	"female"
4.38100087933333	"meanmale"	"female"
1.24499249866667	"meanmale"	"female"
3.141451571	"meanmale"	"female"
-2.87352479466667	"meanmale"	"female"
3.16243549733333	"meanmale"	"female"
1.18165022866667	"meanmale"	"female"
1.04552443933333	"meanmale"	"female"
1.57369115566667	"meanmale"	"female"
4.37927289133333	"meanmale"	"female"
1.494079097	"meanmale"	"female"
-3.39112618933333	"meanmale"	"female"
4.706327474	"meanmale"	"female"
2.45087401466667	"meanmale"	"female"
3.760071048	"meanmale"	"female"
4.90551019066667	"meanmale"	"female"
0.372187389333333	"meanmale"	"female"
4.775279971	"meanmale"	"female"
2.69215576033333	"meanmale"	"female"
4.483413782	"meanmale"	"female"
-0.380309632333333	"meanmale"	"female"
3.709258322	"meanmale"	"female"
-1.30027848	"meanmale"	"female"
3.52673650333333	"meanmale"	"female"
0.194722768	"meanmale"	"female"
0.412556080333333	"meanmale"	"female"
2.46068747433333	"meanmale"	"female"
0.650202702333333	"meanmale"	"female"
-1.08451524166667	"meanmale"	"female"
-2.238964538	"meanmale"	"female"
-3.00487714033333	"meanmale"	"female"
-0.800567629	"meanmale"	"female"
-1.584426637	"meanmale"	"female"
-3.40072642333333	"meanmale"	"female"
0.132749095333333	"meanmale"	"female"
0.354013888333333	"meanmale"	"female"
1.905364153	"meanmale"	"female"
0.730263700333333	"meanmale"	"female"
2.71705293833333	"meanmale"	"female"
1.90051317466667	"meanmale"	"female"
1.91546491433333	"meanmale"	"female"
0.468138205	"meanmale"	"female"
3.81170843833333	"meanmale"	"female"
4.31080812433333	"meanmale"	"female"
5.685117054	"meanmale"	"female"
1.568538468	"meanmale"	"female"
-1.54590812433333	"meanmale"	"female"
4.393646617	"meanmale"	"female"
2.22418599933333	"meanmale"	"female"
3.171794022	"meanmale"	"female"
2.11931721666667	"meanmale"	"female"
3.39831116866667	"meanmale"	"female"
4.89079535466667	"meanmale"	"female"
-0.564552954333333	"meanmale"	"female"
4.38287062533333	"meanmale"	"female"
4.15842916466667	"meanmale"	"female"
-0.537703628666667	"meanmale"	"female"
3.477102183	"meanmale"	"female"
3.27778640233333	"meanmale"	"female"
-3.22559504166667	"meanmale"	"female"
-2.291680065	"meanmale"	"female"
4.04920499833333	"meanmale"	"female"
4.69703685966667	"meanmale"	"female"
4.699159573	"meanmale"	"female"
4.71589754466667	"meanmale"	"female"
2.87077144166667	"meanmale"	"female"
1.998461688	"meanmale"	"female"
3.494415506	"meanmale"	"female"
2.86094356066667	"meanmale"	"female"
4.21891380866667	"meanmale"	"female"
-0.223261431	"meanmale"	"female"
1.59461198233333	"meanmale"	"female"
1.88173486833333	"meanmale"	"female"
-0.139455996666667	"meanmale"	"female"
4.31243277566667	"meanmale"	"female"
0.278644089	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
3.824178441	"meanmale"	"female"
2.06794094266667	"meanmale"	"female"
5.34186792466667	"meanmale"	"female"
-0.012047487	"meanmale"	"female"
0.295317123333333	"meanmale"	"female"
2.72526659866667	"meanmale"	"female"
-0.201497772666667	"meanmale"	"female"
2.377517976	"meanmale"	"female"
3.20214307833333	"meanmale"	"female"
3.39876181	"meanmale"	"female"
3.28116298933333	"meanmale"	"female"
4.859202098	"meanmale"	"female"
1.967978592	"meanmale"	"female"
3.63461781766667	"meanmale"	"female"
4.28097721966667	"meanmale"	"female"
1.36858740233333	"meanmale"	"female"
4.37038405	"meanmale"	"female"
-0.253202977333333	"meanmale"	"female"
3.342187115	"meanmale"	"female"
0.533188890666667	"meanmale"	"female"
3.19238593833333	"meanmale"	"female"
7.750531036	"meanmale"	"female"
1.00720014833333	"meanmale"	"female"
2.947777864	"meanmale"	"female"
-0.102985315	"meanmale"	"female"
4.37105619466667	"meanmale"	"female"
3.23429734166667	"meanmale"	"female"
4.363891659	"meanmale"	"female"
-1.095062753	"meanmale"	"female"
4.38838249866667	"meanmale"	"female"
1.368443202	"meanmale"	"female"
4.127159131	"meanmale"	"female"
6.611465633	"meanmale"	"female"
2.32011153033333	"meanmale"	"female"
1.92707852566667	"meanmale"	"female"
4.236515022	"meanmale"	"female"
1.210393288	"meanmale"	"female"
2.64484646666667	"meanmale"	"female"
3.16249330866667	"meanmale"	"female"
4.23374641433333	"meanmale"	"female"
1.12160298366667	"meanmale"	"female"
3.62880535533333	"meanmale"	"female"
-2.83987699066667	"meanmale"	"female"
6.56473417933333	"meanmale"	"female"
1.43962149666667	"meanmale"	"female"
3.43220273033333	"meanmale"	"female"
3.70041661966667	"meanmale"	"female"
1.95319813133333	"meanmale"	"female"
1.55995095833333	"meanmale"	"female"
2.676556795	"meanmale"	"female"
4.280648743	"meanmale"	"female"
3.32707824833333	"meanmale"	"female"
-1.79684095666667	"meanmale"	"female"
3.538950632	"meanmale"	"female"
3.48993817633333	"meanmale"	"female"
1.34065437966667	"meanmale"	"female"
2.85933272233333	"meanmale"	"female"
1.91055950066667	"meanmale"	"female"
5.12682559933333	"meanmale"	"female"
1.54279383666667	"meanmale"	"female"
0.927440771333333	"meanmale"	"female"
1.10643305866667	"meanmale"	"female"
2.487842538	"meanmale"	"female"
2.715160834	"meanmale"	"female"
0.143694260333333	"meanmale"	"female"
0.679876098333333	"meanmale"	"female"
4.14659566733333	"meanmale"	"female"
-2.24762115666667	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
0.151870395333333	"meanmale"	"female"
4.449360266	"meanmale"	"female"
2.596846321	"meanmale"	"female"
-1.85194254733333	"meanmale"	"female"
2.60789064966667	"meanmale"	"female"
2.19883641466667	"meanmale"	"female"
4.83995346266667	"meanmale"	"female"
5.10674226233333	"meanmale"	"female"
3.13952754466667	"meanmale"	"female"
1.05691565733333	"meanmale"	"female"
3.40950955766667	"meanmale"	"female"
0.222980076666667	"meanmale"	"female"
-0.674229054666667	"meanmale"	"female"
1.539752788	"meanmale"	"female"
3.025103563	"meanmale"	"female"
1.28139983466667	"meanmale"	"female"
-0.023287409	"meanmale"	"female"
0.188174055666667	"meanmale"	"female"
0.266079331666667	"meanmale"	"female"
6.053311316	"meanmale"	"female"
-0.138579662666667	"meanmale"	"female"
2.59386050033333	"meanmale"	"female"
4.85778148	"meanmale"	"female"
2.13795158433333	"meanmale"	"female"
4.301587614	"meanmale"	"female"
2.69030080966667	"meanmale"	"female"
-0.617297686333333	"meanmale"	"female"
3.73361705766667	"meanmale"	"female"
1.25755807366667	"meanmale"	"female"
3.80098735666667	"meanmale"	"female"
0.671473281	"meanmale"	"female"
5.41787734433333	"meanmale"	"female"
3.290295969	"meanmale"	"female"
3.499113934	"meanmale"	"female"
5.39802745633333	"meanmale"	"female"
1.116162902	"meanmale"	"female"
3.8919527	"meanmale"	"female"
1.375383629	"meanmale"	"female"
2.61291339266667	"meanmale"	"female"
2.88283012666667	"meanmale"	"female"
-0.944237302333333	"meanmale"	"female"
4.24150998133333	"meanmale"	"female"
1.665060643	"meanmale"	"female"
2.29733481666667	"meanmale"	"female"
1.21355585966667	"meanmale"	"female"
2.09119364433333	"meanmale"	"female"
0.958327303	"meanmale"	"female"
2.33007277966667	"meanmale"	"female"
2.738724844	"meanmale"	"female"
3.142178318	"meanmale"	"female"
2.85332207333333	"meanmale"	"female"
2.87776538366667	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
5.84927506133333	"meanmale"	"female"
-1.079376657	"meanmale"	"female"
3.38099543133333	"meanmale"	"female"
1.40510346333333	"meanmale"	"female"
3.65432399533333	"meanmale"	"female"
3.05986302633333	"meanmale"	"female"
3.14429576933333	"meanmale"	"female"
0.779506884	"meanmale"	"female"
1.75872865633333	"meanmale"	"female"
2.48857418233333	"meanmale"	"female"
1.107809041	"meanmale"	"female"
1.95395616833333	"meanmale"	"female"
2.518293678	"meanmale"	"female"
1.47105142633333	"meanmale"	"female"
0.258778148333333	"meanmale"	"female"
0.906582158666667	"meanmale"	"female"
2.28779777433333	"meanmale"	"female"
-0.251656746	"meanmale"	"female"
4.57046954566667	"meanmale"	"female"
3.65129218966667	"meanmale"	"female"
3.71609488933333	"meanmale"	"female"
0.315026494333333	"meanmale"	"female"
3.73314636	"meanmale"	"female"
-0.010469984	"meanmale"	"female"
-3.39112618933333	"meanmale"	"female"
1.55617534166667	"meanmale"	"female"
-1.02568975366667	"meanmale"	"female"
-1.004153431	"meanmale"	"female"
0.991455003666667	"meanmale"	"female"
3.08196682	"meanmale"	"female"
1.31697496733333	"meanmale"	"female"
3.33653726833333	"meanmale"	"female"
-2.12786467266667	"meanmale"	"female"
2.38331452333333	"meanmale"	"female"
-2.12824172066667	"meanmale"	"female"
-0.642780218333333	"meanmale"	"female"
4.425636635	"meanmale"	"female"
2.511661415	"meanmale"	"female"
5.43122232	"meanmale"	"female"
-1.04241180266667	"meanmale"	"female"
5.014562178	"meanmale"	"female"
1.008017029	"meanmale"	"female"
1.32061757333333	"meanmale"	"female"
2.04319033433333	"meanmale"	"female"
4.90348958833333	"meanmale"	"female"
5.887209026	"meanmale"	"female"
1.869726028	"meanmale"	"female"
4.57612687233333	"meanmale"	"female"
-1.47498957033333	"meanmale"	"female"
-1.05123475533333	"meanmale"	"female"
-2.84603235033333	"meanmale"	"female"
3.42601786666667	"meanmale"	"female"
1.262524252	"meanmale"	"female"
3.332637427	"meanmale"	"female"
0.244572376333333	"meanmale"	"female"
3.61238009166667	"meanmale"	"female"
5.01504099333333	"meanmale"	"female"
-2.277115135	"meanmale"	"female"
-0.00025902500000001	"meanmale"	"female"
-0.229868774	"meanmale"	"female"
-1.54454613333333	"meanmale"	"female"
1.13661102033333	"meanmale"	"female"
3.76685202466667	"meanmale"	"female"
2.71579026966667	"meanmale"	"female"
-2.108139113	"meanmale"	"female"
2.69387300766667	"meanmale"	"female"
3.85304376766667	"meanmale"	"female"
0.425836496333333	"meanmale"	"female"
3.86386130766667	"meanmale"	"female"
1.91467123933333	"meanmale"	"female"
1.99988883166667	"meanmale"	"female"
5.11683555033333	"meanmale"	"female"
2.66916900666667	"meanmale"	"female"
-0.294495078	"meanmale"	"female"
1.29942727566667	"meanmale"	"female"
1.96207201166667	"meanmale"	"female"
2.08748857033333	"meanmale"	"female"
2.39722087366667	"meanmale"	"female"
4.23391486766667	"meanmale"	"female"
-0.817641225333333	"meanmale"	"female"
2.33383936466667	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
4.470289817	"meanmale"	"female"
1.28615758633333	"meanmale"	"female"
2.05437004466667	"meanmale"	"female"
0.876874547666667	"meanmale"	"female"
