gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN135535_c0_g1_i2	-9.360303205	FC7	female	-0.263195597	male
TRINITY_DN121562_c0_g1_i6	-9.346569343	FC7	female	NA	male
TRINITY_DN90220_c0_g1_i1	-9.339984708	FC7	female	NA	male
TRINITY_DN123456_c0_g3_i1	-9.330992456	FC7	female	NA	male
TRINITY_DN125309_c0_g1_i1	-9.282088624	FC7	female	-2.442844672	male
TRINITY_DN135160_c6_g1_i3	-9.266621685	FC7	female	NA	male
TRINITY_DN121355_c0_g1_i4	-9.265471547	FC7	female	NA	male
TRINITY_DN45542_c0_g1_i1	-9.199429651	FC7	female	-0.610808038	male
TRINITY_DN24472_c0_g1_i1	-9.196138803	FC7	female	NA	male
TRINITY_DN130577_c0_g2_i5	-9.164859028	FC7	female	NA	male
TRINITY_DN45107_c0_g1_i1	-9.159391307	FC7	female	NA	male
TRINITY_DN120314_c0_g2_i1	-9.157635504	FC7	female	NA	male
TRINITY_DN128784_c3_g3_i1	-9.148917064	FC7	female	NA	male
TRINITY_DN111968_c1_g1_i1	-9.144035516	FC7	female	NA	male
TRINITY_DN97559_c0_g1_i1	-9.118910288	FC7	female	0.644109543	male
TRINITY_DN69434_c0_g2_i1	-9.114576972	FC7	female	NA	male
TRINITY_DN131426_c0_g1_i1	-9.110760368	FC7	female	NA	male
TRINITY_DN131833_c2_g7_i1	-9.093575599	FC7	female	NA	male
TRINITY_DN208426_c0_g1_i1	-9.092152193	FC7	female	NA	male
TRINITY_DN104411_c0_g3_i1	-9.020018157	FC7	female	NA	male
TRINITY_DN119774_c0_g1_i2	-9.013128251	FC7	female	-1.763828974	male
TRINITY_DN136525_c2_g1_i1	-9.002121291	FC7	female	NA	male
TRINITY_DN132840_c3_g2_i1	-8.975522088	FC7	female	-2.597186898	male
TRINITY_DN133117_c1_g2_i4	-8.892580587	FC7	female	-2.194306284	male
TRINITY_DN118665_c1_g1_i1	-8.889348341	FC7	female	-2.351939251	male
TRINITY_DN207157_c0_g1_i1	-8.878625764	FC7	female	NA	male
TRINITY_DN67391_c0_g1_i1	-8.874925936	FC7	female	NA	male
TRINITY_DN134021_c2_g1_i2	-8.8636463	FC7	female	NA	male
TRINITY_DN72771_c0_g1_i1	-8.857663967	FC7	female	NA	male
TRINITY_DN103897_c0_g2_i1	-8.801574564	FC7	female	NA	male
TRINITY_DN135914_c0_g2_i1	-8.761479033	FC7	female	-2.930484522	male
TRINITY_DN123456_c0_g4_i1	-8.759323186	FC7	female	0.040226411	male
TRINITY_DN122293_c0_g1_i1	-8.750816613	FC7	female	-1.422478019	male
TRINITY_DN118281_c0_g1_i1	-8.739470397	FC7	female	NA	male
TRINITY_DN80690_c2_g1_i1	-8.734166511	FC7	female	NA	male
TRINITY_DN102303_c0_g1_i1	-8.711553043	FC7	female	NA	male
TRINITY_DN126027_c5_g2_i1	-8.708767409	FC7	female	NA	male
TRINITY_DN183163_c0_g1_i1	-8.690379844	FC7	female	NA	male
TRINITY_DN90918_c0_g2_i1	-8.666627519	FC7	female	NA	male
TRINITY_DN9222_c0_g1_i1	-8.659214155	FC7	female	NA	male
TRINITY_DN134567_c1_g1_i1	-8.632995314	FC7	female	NA	male
TRINITY_DN116966_c0_g1_i1	-8.628342064	FC7	female	0.590447929	male
TRINITY_DN121709_c1_g1_i1	-8.625019032	FC7	female	NA	male
TRINITY_DN124234_c1_g1_i2	-8.611502161	FC7	female	NA	male
TRINITY_DN124389_c0_g1_i1	-8.603287602	FC7	female	NA	male
TRINITY_DN131967_c0_g3_i2	-8.602665185	FC7	female	NA	male
TRINITY_DN97690_c0_g5_i1	-8.586968189	FC7	female	NA	male
TRINITY_DN69456_c0_g1_i2	-8.585878778	FC7	female	0.398614284	male
TRINITY_DN23453_c0_g2_i1	-8.576249896	FC7	female	NA	male
TRINITY_DN132352_c1_g8_i1	-8.563313705	FC7	female	NA	male
TRINITY_DN96567_c0_g1_i1	-8.55909031	FC7	female	NA	male
TRINITY_DN75599_c0_g1_i1	-8.54889449	FC7	female	NA	male
TRINITY_DN133823_c0_g2_i1	-8.532878557	FC7	female	-3.629309587	male
TRINITY_DN128868_c0_g2_i1	-8.528418575	FC7	female	NA	male
TRINITY_DN130577_c0_g1_i1	-8.515869119	FC7	female	-2.086771839	male
TRINITY_DN131030_c4_g1_i6	-8.513007287	FC7	female	NA	male
TRINITY_DN133291_c0_g2_i1	-8.501163266	FC7	female	1.218305009	male
TRINITY_DN135812_c3_g5_i2	-8.494904155	FC7	female	NA	male
TRINITY_DN130435_c2_g2_i1	-8.494259189	FC7	female	NA	male
TRINITY_DN117327_c0_g1_i1	-8.488793904	FC7	female	NA	male
TRINITY_DN106704_c0_g2_i1	-8.481519911	FC7	female	NA	male
TRINITY_DN119058_c0_g1_i1	-8.467948474	FC7	female	NA	male
TRINITY_DN75302_c0_g2_i1	-8.454897951	FC7	female	-1.342145504	male
TRINITY_DN133888_c1_g5_i1	-8.448373437	FC7	female	NA	male
TRINITY_DN126946_c0_g1_i1	-8.442693284	FC7	female	NA	male
TRINITY_DN117257_c0_g2_i1	-8.441982605	FC7	female	-3.125901864	male
TRINITY_DN100108_c0_g1_i1	-8.433457092	FC7	female	NA	male
TRINITY_DN126729_c2_g1_i2	-8.425840933	FC7	female	-2.814102324	male
TRINITY_DN80419_c0_g2_i1	-8.419278921	FC7	female	NA	male
TRINITY_DN124325_c0_g1_i1	-8.393144339	FC7	female	0.020104425	male
TRINITY_DN129651_c0_g4_i5	-8.380784777	FC7	female	0.187548552	male
TRINITY_DN136563_c6_g1_i3	-8.379493427	FC7	female	NA	male
TRINITY_DN112217_c0_g1_i1	-8.373390714	FC7	female	NA	male
TRINITY_DN124448_c4_g1_i1	-8.37211566	FC7	female	NA	male
TRINITY_DN136699_c6_g7_i1	-8.358115161	FC7	female	NA	male
TRINITY_DN126709_c0_g1_i4	-8.351508317	FC7	female	-1.171432863	male
TRINITY_DN135947_c1_g1_i1	-8.345571958	FC7	female	-1.495975661	male
TRINITY_DN151741_c0_g1_i1	-8.331371199	FC7	female	-1.076039484	male
TRINITY_DN123696_c0_g1_i1	-8.329192419	FC7	female	NA	male
TRINITY_DN117263_c0_g1_i3	-8.322947968	FC7	female	NA	male
TRINITY_DN125119_c3_g6_i1	-8.322277941	FC7	female	-1.497836029	male
TRINITY_DN24461_c0_g1_i1	-8.318335285	FC7	female	NA	male
TRINITY_DN101489_c0_g1_i1	-8.314355298	FC7	female	NA	male
TRINITY_DN110644_c0_g3_i1	-8.30538985	FC7	female	NA	male
TRINITY_DN100360_c0_g1_i1	-8.291045975	FC7	female	NA	male
TRINITY_DN130516_c0_g1_i1	-8.289337383	FC7	female	NA	male
TRINITY_DN87791_c0_g4_i1	-8.270433599	FC7	female	NA	male
TRINITY_DN114446_c1_g1_i2	-8.267185596	FC7	female	NA	male
TRINITY_DN69144_c0_g1_i1	-8.263173959	FC7	female	NA	male
TRINITY_DN127631_c8_g3_i1	-8.252055262	FC7	female	NA	male
TRINITY_DN134660_c1_g2_i1	-8.251770723	FC7	female	NA	male
TRINITY_DN132305_c3_g4_i3	-8.241508769	FC7	female	-0.929004789	male
TRINITY_DN209049_c0_g1_i1	-8.21699373	FC7	female	NA	male
TRINITY_DN109596_c0_g1_i1	-8.211740506	FC7	female	-2.267201793	male
TRINITY_DN132846_c6_g3_i2	-8.208751376	FC7	female	-2.980130227	male
TRINITY_DN132581_c0_g1_i5	-8.207626416	FC7	female	NA	male
TRINITY_DN136144_c9_g5_i1	-8.203521437	FC7	female	NA	male
TRINITY_DN45107_c0_g2_i1	-8.196272957	FC7	female	NA	male
TRINITY_DN27150_c0_g1_i1	-8.174067252	FC7	female	NA	male
TRINITY_DN124631_c0_g1_i5	-8.164074854	FC7	female	0.331968788	male
TRINITY_DN125698_c0_g1_i8	-8.152397484	FC7	female	NA	male
