gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN127028_c2_g1_i2	-1.582864375	FC1	female	3.950773116	male
TRINITY_DN130357_c0_g2_i1	-1.582641632	FC1	female	1.52671346	male
TRINITY_DN132837_c1_g2_i2	-1.582271043	FC1	female	2.277923289	male
TRINITY_DN124251_c3_g4_i1	-1.582066516	FC1	female	3.42639202	male
TRINITY_DN107530_c1_g1_i1	-1.5819096	FC1	female	5.519387392	male
TRINITY_DN125832_c3_g1_i1	-1.581495389	FC1	female	6.094361651	male
TRINITY_DN131801_c4_g3_i2	-1.581354367	FC1	female	4.459408688	male
TRINITY_DN84774_c0_g1_i1	-1.581311738	FC1	female	4.279483168	male
TRINITY_DN127963_c1_g10_i2	-1.581119783	FC1	female	3.523922402	male
TRINITY_DN118043_c0_g2_i1	-1.58041945	FC1	female	0.308145491	male
TRINITY_DN133282_c1_g1_i2	-1.580294773	FC1	female	3.621642628	male
TRINITY_DN120059_c0_g2_i1	-1.580234131	FC1	female	4.547620249	male
TRINITY_DN122923_c0_g1_i8	-1.579902766	FC1	female	-1.219393858	male
TRINITY_DN132717_c3_g1_i4	-1.579724837	FC1	female	1.580274305	male
TRINITY_DN121031_c1_g3_i1	-1.578603054	FC1	female	3.820053393	male
TRINITY_DN134769_c1_g1_i1	-1.578259273	FC1	female	2.504691466	male
TRINITY_DN67606_c0_g1_i1	-1.577936706	FC1	female	-0.725551149	male
TRINITY_DN132635_c2_g4_i2	-1.577770406	FC1	female	3.536569088	male
TRINITY_DN131932_c1_g15_i1	-1.576978164	FC1	female	1.711175205	male
TRINITY_DN128197_c8_g4_i5	-1.57678561	FC1	female	5.69609341	male
TRINITY_DN129315_c0_g2_i1	-1.576272462	FC1	female	3.233625765	male
TRINITY_DN133598_c0_g1_i1	-1.576089793	FC1	female	3.20464592	male
TRINITY_DN123183_c0_g1_i1	-1.57572616	FC1	female	2.99302455	male
TRINITY_DN125027_c1_g8_i1	-1.57565126	FC1	female	3.759313769	male
TRINITY_DN119933_c0_g1_i6	-1.575508202	FC1	female	3.410872126	male
TRINITY_DN123707_c0_g2_i3	-1.575465457	FC1	female	3.462096869	male
TRINITY_DN130184_c1_g1_i1	-1.575265769	FC1	female	NA	male
TRINITY_DN114928_c0_g1_i1	-1.574921714	FC1	female	3.277863532	male
TRINITY_DN117669_c0_g1_i1	-1.574856343	FC1	female	3.145069214	male
TRINITY_DN117377_c0_g2_i3	-1.574691887	FC1	female	2.130913214	male
TRINITY_DN126907_c4_g2_i1	-1.574564512	FC1	female	NA	male
TRINITY_DN116726_c0_g1_i1	-1.574131079	FC1	female	-1.602453199	male
TRINITY_DN131661_c1_g1_i1	-1.573851447	FC1	female	2.815293649	male
TRINITY_DN125913_c3_g1_i2	-1.573831349	FC1	female	7.053993733	male
TRINITY_DN92573_c0_g1_i1	-1.573702764	FC1	female	5.011316661	male
TRINITY_DN127259_c0_g1_i1	-1.573414655	FC1	female	1.945331543	male
TRINITY_DN132577_c1_g1_i2	-1.57327451	FC1	female	NA	male
TRINITY_DN133288_c0_g4_i1	-1.572830848	FC1	female	-0.955522507	male
TRINITY_DN107777_c0_g3_i1	-1.572555001	FC1	female	0.57252304	male
TRINITY_DN69029_c0_g1_i1	-1.572530464	FC1	female	4.6594522	male
TRINITY_DN122887_c4_g3_i2	-1.572229185	FC1	female	4.091577542	male
TRINITY_DN134546_c3_g7_i2	-1.571846274	FC1	female	4.533456813	male
TRINITY_DN120753_c3_g1_i2	-1.571268283	FC1	female	3.36645608	male
TRINITY_DN113440_c0_g1_i1	-1.57119401	FC1	female	1.773595017	male
TRINITY_DN130785_c3_g2_i1	-1.570784764	FC1	female	4.515649832	male
TRINITY_DN127732_c1_g2_i2	-1.570751135	FC1	female	-0.751244533	male
TRINITY_DN136068_c3_g2_i1	-1.570017538	FC1	female	-0.203198975	male
TRINITY_DN130526_c16_g4_i1	-1.569091263	FC1	female	1.09598291	male
TRINITY_DN131067_c2_g1_i4	-1.568611453	FC1	female	2.457291976	male
TRINITY_DN128721_c2_g2_i1	-1.567347497	FC1	female	1.618450728	male
TRINITY_DN131915_c0_g1_i1	-1.567244861	FC1	female	2.207590121	male
TRINITY_DN170528_c0_g1_i1	-1.566447777	FC1	female	1.634398268	male
TRINITY_DN132286_c0_g2_i2	-1.566332326	FC1	female	-0.464663801	male
TRINITY_DN131819_c1_g4_i2	-1.565615774	FC1	female	2.388934129	male
TRINITY_DN126754_c2_g1_i1	-1.565394455	FC1	female	3.248823616	male
TRINITY_DN114286_c0_g3_i1	-1.565255553	FC1	female	2.698448608	male
TRINITY_DN126028_c2_g1_i3	-1.565130174	FC1	female	0.820566491	male
TRINITY_DN118238_c0_g1_i1	-1.565110022	FC1	female	-0.680811837	male
TRINITY_DN120059_c0_g1_i4	-1.564673087	FC1	female	4.970097659	male
TRINITY_DN117958_c0_g1_i2	-1.564479632	FC1	female	3.588298506	male
TRINITY_DN130940_c2_g1_i1	-1.564477387	FC1	female	NA	male
TRINITY_DN122895_c0_g1_i2	-1.563677337	FC1	female	1.211200698	male
TRINITY_DN134195_c0_g2_i1	-1.56344071	FC1	female	3.112729005	male
TRINITY_DN129942_c2_g2_i2	-1.562797873	FC1	female	2.301444266	male
TRINITY_DN125985_c0_g1_i3	-1.562634983	FC1	female	5.484790966	male
TRINITY_DN135542_c0_g2_i2	-1.562203062	FC1	female	1.036762923	male
TRINITY_DN123904_c0_g1_i1	-1.562169456	FC1	female	2.325065913	male
TRINITY_DN129359_c0_g3_i1	-1.561849794	FC1	female	NA	male
TRINITY_DN129722_c0_g2_i5	-1.56158575	FC1	female	-1.214387531	male
TRINITY_DN128384_c2_g1_i6	-1.561494081	FC1	female	-1.582557368	male
TRINITY_DN125166_c0_g1_i1	-1.5607394	FC1	female	-0.058202403	male
TRINITY_DN128646_c4_g5_i1	-1.560426107	FC1	female	0.320732306	male
TRINITY_DN133340_c0_g4_i3	-1.56004505	FC1	female	3.799092573	male
TRINITY_DN115126_c0_g1_i3	-1.559954688	FC1	female	-1.730281731	male
TRINITY_DN132605_c5_g1_i1	-1.559902126	FC1	female	4.60066514	male
TRINITY_DN134440_c2_g1_i1	-1.559888196	FC1	female	4.738704697	male
TRINITY_DN124906_c0_g1_i2	-1.55875302	FC1	female	1.051705708	male
TRINITY_DN133964_c1_g4_i2	-1.558432859	FC1	female	5.303077111	male
TRINITY_DN131787_c2_g1_i1	-1.558426825	FC1	female	0.916650041	male
TRINITY_DN130997_c0_g1_i1	-1.55842666	FC1	female	1.298822149	male
TRINITY_DN114294_c0_g1_i1	-1.558132471	FC1	female	1.713187035	male
TRINITY_DN132544_c0_g2_i1	-1.558086113	FC1	female	3.92064896	male
TRINITY_DN116768_c0_g1_i4	-1.557747034	FC1	female	-1.644982783	male
TRINITY_DN127975_c1_g1_i2	-1.557411381	FC1	female	1.699990729	male
TRINITY_DN119222_c0_g1_i1	-1.557405762	FC1	female	5.598996285	male
TRINITY_DN130562_c0_g1_i2	-1.556996119	FC1	female	4.895673451	male
TRINITY_DN128391_c0_g1_i1	-1.556663684	FC1	female	-2.02586886	male
TRINITY_DN125543_c1_g5_i1	-1.556155122	FC1	female	1.606470387	male
TRINITY_DN126204_c0_g1_i1	-1.555967649	FC1	female	0.633166263	male
TRINITY_DN124616_c3_g1_i2	-1.555495556	FC1	female	0.97091246	male
TRINITY_DN134031_c5_g1_i1	-1.554800998	FC1	female	2.225325975	male
TRINITY_DN55058_c0_g1_i1	-1.552430807	FC1	female	0.016664396	male
TRINITY_DN127534_c2_g1_i1	-1.55242921	FC1	female	3.730940633	male
TRINITY_DN133078_c0_g1_i1	-1.552372904	FC1	female	-2.185767004	male
TRINITY_DN135084_c0_g1_i3	-1.552157252	FC1	female	3.655686673	male
TRINITY_DN118536_c0_g2_i1	-1.552012734	FC1	female	3.033977362	male
TRINITY_DN123878_c0_g2_i3	-1.550963895	FC1	female	-0.286787593	male
TRINITY_DN117917_c1_g2_i1	-1.550712221	FC1	female	4.591220705	male
TRINITY_DN122933_c3_g1_i6	-1.550221743	FC1	female	2.645164626	male
TRINITY_DN78607_c0_g1_i1	-1.550099986	FC1	female	2.978430023	male
TRINITY_DN129986_c2_g2_i1	-1.549723072	FC1	female	3.671645278	male
TRINITY_DN120641_c0_g1_i1	-1.549336791	FC1	female	2.438593282	male
TRINITY_DN110252_c0_g1_i1	-1.548749873	FC1	female	-2.590893073	male
TRINITY_DN133511_c3_g1_i1	-1.548741656	FC1	female	-1.907534442	male
TRINITY_DN120376_c0_g1_i4	-1.548382579	FC1	female	0.356739247	male
TRINITY_DN125516_c6_g1_i1	-1.5482135	FC1	female	0.437218034	male
TRINITY_DN123648_c1_g1_i3	-1.548006376	FC1	female	0.880481255	male
TRINITY_DN127143_c0_g2_i1	-1.54778514	FC1	female	1.109791923	male
TRINITY_DN135986_c0_g1_i1	-1.547454128	FC1	female	NA	male
TRINITY_DN131562_c0_g1_i2	-1.547087956	FC1	female	0.888380274	male
TRINITY_DN122857_c0_g1_i1	-1.546988093	FC1	female	-0.22214797	male
TRINITY_DN129507_c3_g1_i2	-1.546682641	FC1	female	4.970512107	male
TRINITY_DN135433_c1_g5_i1	-1.546674611	FC1	female	2.998435742	male
TRINITY_DN125899_c5_g1_i2	-1.54666091	FC1	female	4.74339781	male
TRINITY_DN87377_c0_g1_i1	-1.546494598	FC1	female	3.51209892	male
TRINITY_DN108436_c0_g1_i2	-1.546252816	FC1	female	6.095798622	male
TRINITY_DN112501_c0_g1_i7	-1.545916519	FC1	female	1.867937919	male
TRINITY_DN126924_c1_g2_i3	-1.545168608	FC1	female	-0.35950557	male
TRINITY_DN128822_c3_g1_i1	-1.545094047	FC1	female	-0.867133699	male
TRINITY_DN128433_c0_g1_i2	-1.54495103	FC1	female	5.657139327	male
TRINITY_DN131544_c1_g3_i3	-1.544930654	FC1	female	3.238200205	male
TRINITY_DN85555_c0_g2_i1	-1.544602249	FC1	female	1.258464401	male
TRINITY_DN132709_c3_g8_i2	-1.544515488	FC1	female	3.158696466	male
TRINITY_DN118382_c0_g1_i2	-1.544402477	FC1	female	2.850633608	male
TRINITY_DN127664_c3_g1_i1	-1.544305654	FC1	female	2.726960522	male
TRINITY_DN122342_c1_g2_i6	-1.542533354	FC1	female	1.167332999	male
TRINITY_DN131699_c1_g1_i1	-1.541435721	FC1	female	2.384541475	male
TRINITY_DN130995_c3_g1_i6	-1.540626003	FC1	female	3.839481838	male
TRINITY_DN134982_c7_g1_i1	-1.540297314	FC1	female	0.721256751	male
TRINITY_DN126659_c0_g2_i1	-1.539216283	FC1	female	-0.019645921	male
TRINITY_DN133392_c1_g1_i3	-1.539004049	FC1	female	4.227290527	male
TRINITY_DN137921_c0_g1_i1	-1.538736817	FC1	female	0.53143158	male
TRINITY_DN131699_c2_g1_i1	-1.538689594	FC1	female	3.373969207	male
TRINITY_DN131362_c1_g1_i3	-1.537939978	FC1	female	4.720788127	male
TRINITY_DN128390_c3_g1_i1	-1.537935667	FC1	female	3.824038412	male
TRINITY_DN125000_c6_g1_i1	-1.53754849	FC1	female	1.779467813	male
TRINITY_DN134584_c7_g2_i1	-1.53751196	FC1	female	4.32762855	male
TRINITY_DN133340_c0_g3_i2	-1.537260769	FC1	female	4.015167292	male
TRINITY_DN135845_c2_g1_i2	-1.537257846	FC1	female	1.051225135	male
TRINITY_DN127195_c11_g1_i1	-1.537237088	FC1	female	NA	male
TRINITY_DN122229_c0_g1_i1	-1.537202427	FC1	female	5.824689847	male
TRINITY_DN119886_c0_g2_i5	-1.536936059	FC1	female	3.627467259	male
TRINITY_DN106065_c0_g1_i2	-1.536839044	FC1	female	4.060095827	male
TRINITY_DN116854_c0_g1_i3	-1.536691071	FC1	female	5.586078418	male
TRINITY_DN132185_c3_g10_i3	-1.536109109	FC1	female	4.663699777	male
TRINITY_DN109560_c0_g1_i1	-1.536025999	FC1	female	3.937139604	male
TRINITY_DN102370_c0_g1_i1	-1.53598382	FC1	female	-0.380325784	male
TRINITY_DN113595_c0_g2_i2	-1.535225487	FC1	female	0.730624997	male
TRINITY_DN120666_c1_g1_i1	-1.535024449	FC1	female	2.110336363	male
TRINITY_DN129359_c0_g5_i1	-1.534423428	FC1	female	NA	male
TRINITY_DN122597_c0_g1_i2	-1.533985198	FC1	female	-1.416838764	male
TRINITY_DN124656_c2_g1_i8	-1.533416236	FC1	female	2.055032908	male
TRINITY_DN114751_c0_g1_i2	-1.533394573	FC1	female	1.890407006	male
TRINITY_DN124259_c0_g2_i2	-1.533339884	FC1	female	2.725195677	male
TRINITY_DN131605_c2_g1_i2	-1.532224264	FC1	female	3.631905521	male
TRINITY_DN132788_c4_g2_i1	-1.531943618	FC1	female	2.665383175	male
TRINITY_DN123367_c1_g1_i4	-1.531741866	FC1	female	2.738428893	male
TRINITY_DN131605_c2_g3_i3	-1.531499798	FC1	female	1.851065269	male
TRINITY_DN120558_c1_g1_i4	-1.531189248	FC1	female	0.845209804	male
TRINITY_DN131500_c0_g1_i1	-1.531075414	FC1	female	5.611580432	male
TRINITY_DN129198_c1_g2_i1	-1.530771636	FC1	female	3.768403277	male
TRINITY_DN134238_c0_g2_i1	-1.530766337	FC1	female	-1.268760574	male
TRINITY_DN132983_c0_g1_i1	-1.530529353	FC1	female	3.304042325	male
TRINITY_DN134516_c0_g13_i1	-1.529481238	FC1	female	2.211485126	male
TRINITY_DN125463_c5_g2_i5	-1.529387323	FC1	female	3.278753372	male
TRINITY_DN134395_c0_g1_i5	-1.528763191	FC1	female	-0.439551459	male
TRINITY_DN135040_c5_g1_i1	-1.528700885	FC1	female	1.779853325	male
TRINITY_DN128375_c0_g1_i2	-1.528562165	FC1	female	0.332794996	male
TRINITY_DN112453_c0_g3_i1	-1.528506164	FC1	female	3.761947422	male
TRINITY_DN124191_c0_g1_i1	-1.527535323	FC1	female	4.071098633	male
TRINITY_DN124321_c3_g2_i1	-1.527510818	FC1	female	2.109430024	male
TRINITY_DN125622_c2_g6_i1	-1.527285308	FC1	female	2.077084964	male
TRINITY_DN167104_c0_g1_i1	-1.5262825	FC1	female	-0.615759353	male
TRINITY_DN73574_c0_g2_i1	-1.526030092	FC1	female	4.78679083	male
TRINITY_DN126357_c1_g1_i2	-1.525591893	FC1	female	3.309349783	male
TRINITY_DN112755_c0_g1_i1	-1.525377048	FC1	female	-0.229518595	male
TRINITY_DN134826_c3_g1_i2	-1.525068604	FC1	female	3.268978228	male
TRINITY_DN128042_c2_g3_i1	-1.524609336	FC1	female	3.486756716	male
TRINITY_DN131119_c3_g4_i2	-1.524315969	FC1	female	5.395481491	male
TRINITY_DN109617_c1_g2_i1	-1.523911175	FC1	female	-0.579126319	male
TRINITY_DN114305_c0_g2_i2	-1.52374586	FC1	female	1.277848758	male
TRINITY_DN132956_c5_g1_i3	-1.523571624	FC1	female	6.801882209	male
TRINITY_DN125211_c0_g1_i1	-1.522850948	FC1	female	2.745665624	male
TRINITY_DN133529_c0_g1_i3	-1.522744456	FC1	female	-0.825922338	male
TRINITY_DN66234_c0_g1_i1	-1.521409118	FC1	female	0.944215141	male
TRINITY_DN129569_c0_g1_i2	-1.520558694	FC1	female	-1.766105772	male
TRINITY_DN152816_c0_g2_i1	-1.520275241	FC1	female	NA	male
TRINITY_DN123908_c0_g1_i3	-1.520234055	FC1	female	-1.23622127	male
TRINITY_DN134080_c3_g1_i1	-1.518735428	FC1	female	0.899127798	male
TRINITY_DN126890_c0_g2_i1	-1.518693055	FC1	female	3.110641373	male
TRINITY_DN116433_c0_g4_i1	-1.518170291	FC1	female	0.906758366	male
TRINITY_DN122291_c2_g1_i1	-1.517925361	FC1	female	NA	male
TRINITY_DN124615_c0_g1_i1	-1.5178274	FC1	female	4.87179526	male
TRINITY_DN133657_c2_g1_i6	-1.5177582	FC1	female	-0.611649648	male
TRINITY_DN118504_c0_g1_i1	-1.517719548	FC1	female	4.840442316	male
TRINITY_DN127213_c4_g1_i1	-1.51748592	FC1	female	0.319715383	male
TRINITY_DN126693_c0_g1_i1	-1.517086947	FC1	female	2.245290317	male
TRINITY_DN122042_c0_g2_i1	-1.516674333	FC1	female	4.65799736	male
TRINITY_DN116382_c1_g1_i5	-1.516649768	FC1	female	5.592990057	male
TRINITY_DN118461_c0_g1_i5	-1.516050606	FC1	female	3.180256435	male
TRINITY_DN122225_c0_g1_i5	-1.515972529	FC1	female	4.895089414	male
TRINITY_DN129877_c1_g1_i2	-1.515787768	FC1	female	4.185774565	male
TRINITY_DN127154_c1_g1_i2	-1.515493121	FC1	female	-0.500809887	male
TRINITY_DN122590_c2_g1_i1	-1.515451899	FC1	female	2.209229086	male
TRINITY_DN72899_c0_g1_i1	-1.515212282	FC1	female	4.357045073	male
TRINITY_DN128837_c4_g1_i2	-1.51464636	FC1	female	2.457552264	male
TRINITY_DN134490_c0_g2_i1	-1.514045879	FC1	female	1.600840479	male
TRINITY_DN125890_c4_g2_i3	-1.513657853	FC1	female	4.452188464	male
TRINITY_DN120738_c0_g3_i1	-1.513515579	FC1	female	0.098076258	male
TRINITY_DN67462_c0_g1_i1	-1.513025082	FC1	female	3.381845907	male
TRINITY_DN122337_c0_g3_i1	-1.512005246	FC1	female	1.945352392	male
TRINITY_DN127225_c2_g1_i1	-1.511248852	FC1	female	-1.346468345	male
TRINITY_DN131142_c0_g4_i1	-1.511062351	FC1	female	3.504570768	male
TRINITY_DN129503_c1_g1_i2	-1.509904641	FC1	female	3.040856498	male
TRINITY_DN121258_c1_g1_i1	-1.509712714	FC1	female	4.151939029	male
TRINITY_DN127950_c0_g1_i2	-1.509389222	FC1	female	3.944146117	male
TRINITY_DN133653_c0_g4_i1	-1.5090447	FC1	female	0.627530343	male
TRINITY_DN129939_c4_g1_i15	-1.508968838	FC1	female	0.788403651	male
TRINITY_DN119203_c1_g1_i2	-1.508896637	FC1	female	1.063743273	male
TRINITY_DN115043_c0_g1_i2	-1.50814889	FC1	female	4.476897173	male
TRINITY_DN110803_c0_g1_i1	-1.507705552	FC1	female	2.146876337	male
TRINITY_DN122683_c0_g1_i2	-1.50742439	FC1	female	-1.860505803	male
TRINITY_DN132634_c4_g1_i1	-1.507322198	FC1	female	1.851181084	male
TRINITY_DN122453_c4_g2_i1	-1.506990339	FC1	female	5.410028807	male
TRINITY_DN120805_c0_g1_i3	-1.506962843	FC1	female	1.320153866	male
TRINITY_DN109541_c0_g2_i1	-1.506847776	FC1	female	5.833727119	male
TRINITY_DN131195_c1_g1_i1	-1.506308023	FC1	female	5.057285639	male
TRINITY_DN132392_c0_g1_i1	-1.506081427	FC1	female	2.266801208	male
TRINITY_DN126536_c4_g2_i2	-1.505586501	FC1	female	2.747985733	male
TRINITY_DN133055_c0_g4_i2	-1.505537189	FC1	female	2.846398481	male
TRINITY_DN115736_c0_g1_i1	-1.505266997	FC1	female	3.279200482	male
TRINITY_DN124621_c1_g3_i2	-1.504756141	FC1	female	5.527371649	male
TRINITY_DN125805_c0_g1_i2	-1.504741871	FC1	female	3.649983675	male
TRINITY_DN126149_c3_g2_i1	-1.504425186	FC1	female	1.096600405	male
TRINITY_DN125454_c3_g3_i1	-1.504390635	FC1	female	-0.957703846	male
TRINITY_DN135012_c0_g2_i1	-1.50377708	FC1	female	2.981152417	male
TRINITY_DN123985_c1_g3_i1	-1.503745019	FC1	female	1.74267778	male
TRINITY_DN46401_c0_g1_i1	-1.503146458	FC1	female	0.338000622	male
TRINITY_DN126532_c2_g1_i11	-1.502997809	FC1	female	4.21353203	male
TRINITY_DN135567_c0_g1_i3	-1.502769651	FC1	female	0.806609305	male
TRINITY_DN125103_c0_g1_i3	-1.502718823	FC1	female	1.157282074	male
TRINITY_DN43471_c0_g1_i1	-1.502689481	FC1	female	0.510763746	male
TRINITY_DN116396_c0_g1_i1	-1.502338989	FC1	female	1.63363056	male
TRINITY_DN22310_c0_g1_i1	-1.501485445	FC1	female	1.087817641	male
TRINITY_DN117274_c0_g4_i1	-1.501429546	FC1	female	NA	male
TRINITY_DN134066_c0_g2_i3	-1.501351657	FC1	female	2.676732525	male
TRINITY_DN127191_c6_g5_i1	-1.501146571	FC1	female	0.522283721	male
TRINITY_DN128853_c0_g2_i2	-1.500293681	FC1	female	4.668615402	male
TRINITY_DN120616_c0_g1_i3	-1.500215122	FC1	female	4.449028434	male
TRINITY_DN112325_c0_g1_i1	-1.500189817	FC1	female	2.441313927	male
TRINITY_DN127550_c4_g2_i5	-1.500105782	FC1	female	3.133530407	male
TRINITY_DN128975_c2_g1_i4	-1.499468384	FC1	female	4.528333298	male
TRINITY_DN92059_c0_g1_i1	-1.499190244	FC1	female	1.769195739	male
TRINITY_DN118332_c1_g1_i1	-1.499094363	FC1	female	2.591297627	male
TRINITY_DN129524_c0_g1_i5	-1.498903805	FC1	female	3.254255265	male
TRINITY_DN125773_c3_g1_i3	-1.498782444	FC1	female	1.192803137	male
TRINITY_DN134982_c6_g1_i2	-1.498635382	FC1	female	3.70568979	male
TRINITY_DN116050_c0_g2_i2	-1.498257913	FC1	female	1.512813342	male
TRINITY_DN126407_c4_g1_i1	-1.497052114	FC1	female	3.756079072	male
TRINITY_DN121068_c0_g1_i2	-1.496571469	FC1	female	-0.866862069	male
TRINITY_DN132228_c1_g9_i1	-1.495447267	FC1	female	2.190881915	male
TRINITY_DN127094_c2_g4_i3	-1.495192899	FC1	female	-0.706233074	male
TRINITY_DN114945_c0_g2_i1	-1.49497117	FC1	female	0.144000386	male
TRINITY_DN128540_c3_g3_i1	-1.493728328	FC1	female	3.912155306	male
TRINITY_DN75754_c0_g1_i1	-1.493263856	FC1	female	0.736749342	male
TRINITY_DN128272_c5_g1_i4	-1.493061479	FC1	female	3.042641731	male
TRINITY_DN135222_c1_g3_i1	-1.492361357	FC1	female	0.92986948	male
TRINITY_DN135655_c1_g1_i1	-1.492245599	FC1	female	7.268667039	male
TRINITY_DN131034_c4_g2_i1	-1.492170902	FC1	female	5.31164012	male
TRINITY_DN131766_c11_g2_i5	-1.491343319	FC1	female	4.144621047	male
TRINITY_DN134491_c3_g1_i1	-1.491301668	FC1	female	2.87339392	male
TRINITY_DN130833_c0_g1_i2	-1.490818213	FC1	female	1.374021208	male
TRINITY_DN109936_c0_g2_i1	-1.490475185	FC1	female	5.357115979	male
TRINITY_DN134581_c1_g1_i1	-1.490138741	FC1	female	2.244469005	male
TRINITY_DN133653_c0_g2_i3	-1.490125055	FC1	female	3.358185555	male
TRINITY_DN125251_c4_g2_i1	-1.490103606	FC1	female	0.702752538	male
TRINITY_DN123723_c1_g1_i1	-1.490032123	FC1	female	6.200629903	male
TRINITY_DN128761_c2_g4_i2	-1.48994891	FC1	female	1.96448391	male
TRINITY_DN103424_c0_g1_i1	-1.489824627	FC1	female	-0.520570166	male
TRINITY_DN130912_c2_g1_i2	-1.489475617	FC1	female	2.809331783	male
TRINITY_DN122563_c0_g4_i1	-1.489138688	FC1	female	0.999630355	male
TRINITY_DN117339_c0_g2_i1	-1.489113088	FC1	female	3.419549423	male
TRINITY_DN134157_c2_g1_i1	-1.488960109	FC1	female	3.287502796	male
TRINITY_DN124874_c2_g2_i1	-1.488827151	FC1	female	2.656703973	male
TRINITY_DN40878_c0_g1_i1	-1.488815039	FC1	female	-0.267117688	male
TRINITY_DN125988_c0_g3_i1	-1.488814824	FC1	female	1.900190638	male
TRINITY_DN179676_c0_g1_i1	-1.488812496	FC1	female	6.38875051	male
TRINITY_DN109983_c0_g1_i2	-1.488699961	FC1	female	5.203488714	male
TRINITY_DN127109_c0_g1_i3	-1.488623215	FC1	female	5.393292111	male
TRINITY_DN120459_c0_g2_i2	-1.488448081	FC1	female	5.44146502	male
TRINITY_DN121539_c0_g1_i1	-1.487968643	FC1	female	5.515599236	male
TRINITY_DN134428_c0_g2_i1	-1.487804743	FC1	female	-0.139427391	male
TRINITY_DN131219_c2_g3_i1	-1.486710672	FC1	female	0.340596365	male
TRINITY_DN115015_c0_g1_i1	-1.486564199	FC1	female	4.940122276	male
TRINITY_DN109667_c0_g1_i2	-1.486093548	FC1	female	4.943148909	male
TRINITY_DN131726_c1_g2_i1	-1.485368913	FC1	female	-0.651068196	male
TRINITY_DN133949_c2_g3_i2	-1.485001843	FC1	female	0.814533931	male
TRINITY_DN129454_c4_g3_i3	-1.484608717	FC1	female	4.637354418	male
TRINITY_DN126308_c0_g2_i9	-1.484591004	FC1	female	3.970878756	male
TRINITY_DN122244_c0_g1_i1	-1.48441694	FC1	female	3.633837779	male
TRINITY_DN129948_c4_g1_i1	-1.484275586	FC1	female	1.458916844	male
TRINITY_DN124950_c0_g3_i1	-1.484210784	FC1	female	-0.77997875	male
TRINITY_DN112755_c0_g2_i1	-1.483346171	FC1	female	0.717467345	male
TRINITY_DN127796_c3_g2_i1	-1.482996994	FC1	female	0.242200357	male
TRINITY_DN132926_c2_g1_i2	-1.482981218	FC1	female	0.27084117	male
TRINITY_DN112800_c0_g1_i2	-1.482901147	FC1	female	3.047304182	male
TRINITY_DN130361_c2_g1_i2	-1.4828479	FC1	female	4.142204578	male
TRINITY_DN132176_c6_g2_i1	-1.482235848	FC1	female	3.053920403	male
TRINITY_DN136369_c0_g1_i1	-1.481973791	FC1	female	1.087724463	male
TRINITY_DN108991_c0_g1_i1	-1.481746301	FC1	female	0.182536396	male
TRINITY_DN129855_c1_g1_i1	-1.481672526	FC1	female	1.793258574	male
TRINITY_DN111323_c0_g3_i1	-1.48121155	FC1	female	3.758406735	male
TRINITY_DN126244_c0_g1_i2	-1.481176902	FC1	female	1.16757446	male
TRINITY_DN123658_c4_g2_i1	-1.480954324	FC1	female	3.407835232	male
TRINITY_DN136469_c4_g1_i3	-1.480947863	FC1	female	2.047011833	male
TRINITY_DN126301_c0_g1_i2	-1.48079241	FC1	female	4.977137132	male
TRINITY_DN85307_c0_g3_i1	-1.480461499	FC1	female	2.823005637	male
TRINITY_DN108932_c0_g1_i1	-1.480020018	FC1	female	4.722501267	male
TRINITY_DN99964_c0_g1_i1	-1.479805807	FC1	female	0.996962344	male
TRINITY_DN131183_c0_g3_i6	-1.479032542	FC1	female	1.462916933	male
TRINITY_DN121485_c0_g1_i1	-1.479014421	FC1	female	4.783483205	male
TRINITY_DN122677_c3_g1_i1	-1.477501608	FC1	female	0.232617226	male
TRINITY_DN113408_c1_g1_i2	-1.477350755	FC1	female	0.27832831	male
TRINITY_DN122042_c0_g1_i1	-1.477103251	FC1	female	5.319284598	male
TRINITY_DN61224_c0_g1_i1	-1.476105129	FC1	female	1.982904626	male
TRINITY_DN130540_c0_g2_i5	-1.475463738	FC1	female	4.008389113	male
TRINITY_DN46345_c0_g1_i1	-1.475463234	FC1	female	0.176317679	male
TRINITY_DN67409_c0_g1_i1	-1.475027499	FC1	female	NA	male
TRINITY_DN130437_c2_g7_i4	-1.474669183	FC1	female	3.789186902	male
TRINITY_DN130654_c0_g3_i2	-1.474669036	FC1	female	2.485685178	male
TRINITY_DN133374_c3_g2_i1	-1.474631536	FC1	female	-0.519206393	male
TRINITY_DN122649_c5_g3_i1	-1.473760221	FC1	female	3.609965772	male
TRINITY_DN116805_c0_g1_i1	-1.47349255	FC1	female	NA	male
TRINITY_DN133352_c2_g1_i3	-1.473397229	FC1	female	4.606627379	male
TRINITY_DN131263_c0_g2_i5	-1.473089124	FC1	female	2.92566492	male
TRINITY_DN120603_c0_g1_i1	-1.472562727	FC1	female	5.318347605	male
TRINITY_DN114850_c0_g1_i1	-1.472334314	FC1	female	4.318358684	male
TRINITY_DN113660_c0_g1_i1	-1.471837705	FC1	female	-1.08092794	male
TRINITY_DN135599_c7_g1_i3	-1.47143942	FC1	female	-1.920179619	male
TRINITY_DN128173_c0_g2_i3	-1.47112967	FC1	female	NA	male
