gid	cutoff	co_sb	log2meanXY	group1
TRINITY_DN105451_c0_g1_i1	1	male	2.838883765	meanmale
TRINITY_DN105493_c0_g2_i1	1	male	6.856027021	meanmale
TRINITY_DN105675_c0_g2_i1	1	male	1.478293398	meanmale
TRINITY_DN105687_c0_g2_i1	7	male	8.175977392	meanmale
TRINITY_DN105698_c0_g1_i1	1	male	2.620884658	meanmale
TRINITY_DN105721_c0_g1_i1	1	male	0.694825087	meanmale
TRINITY_DN105730_c0_g1_i2	3	male	2.133697595	meanmale
TRINITY_DN105849_c0_g1_i1	1	male	3.220667858	meanmale
TRINITY_DN105870_c0_g1_i1	1	male	2.116499248	meanmale
TRINITY_DN105871_c0_g1_i2	3	male	2.698001258	meanmale
TRINITY_DN105980_c0_g3_i1	1	male	0.911288482	meanmale
TRINITY_DN105981_c0_g1_i1	1	male	3.291728709	meanmale
TRINITY_DN105985_c0_g1_i1	3	male	1.945387781	meanmale
TRINITY_DN106031_c0_g1_i1	3	male	4.243289813	meanmale
TRINITY_DN106049_c0_g1_i2	5	male	5.064353938	meanmale
TRINITY_DN106049_c0_g2_i2	7	male	5.186811885	meanmale
TRINITY_DN106100_c0_g2_i1	1	male	-0.608983866	meanmale
TRINITY_DN106179_c0_g1_i1	1	male	1.871126874	meanmale
TRINITY_DN106256_c0_g3_i3	5	male	0.490184098	meanmale
TRINITY_DN106281_c0_g2_i1	1	male	2.197077226	meanmale
TRINITY_DN106338_c0_g1_i1	1	male	3.205978408	meanmale
TRINITY_DN106354_c0_g2_i1	1	male	-1.150084442	meanmale
TRINITY_DN106368_c0_g2_i1	3	male	2.11453605	meanmale
TRINITY_DN106476_c0_g1_i1	1	male	5.015075583	meanmale
TRINITY_DN106492_c0_g1_i4	3	male	2.00084624	meanmale
TRINITY_DN106661_c0_g3_i1	3	male	0.986651616	meanmale
TRINITY_DN106671_c0_g2_i1	1	male	2.773875698	meanmale
TRINITY_DN106709_c0_g4_i1	3	male	0.673035638	meanmale
TRINITY_DN106733_c0_g1_i1	1	male	0.867848586	meanmale
TRINITY_DN106741_c0_g1_i2	1	male	0.586651566	meanmale
TRINITY_DN106792_c0_g1_i1	7	male	4.138148674	meanmale
TRINITY_DN106792_c0_g2_i1	7	male	4.089231376	meanmale
TRINITY_DN106792_c0_g3_i1	7	male	3.932102103	meanmale
TRINITY_DN106897_c0_g1_i6	3	male	2.260305628	meanmale
TRINITY_DN106937_c0_g1_i1	1	male	4.611426633	meanmale
TRINITY_DN106961_c0_g1_i1	1	male	4.758991257	meanmale
TRINITY_DN107048_c0_g1_i1	1	male	3.346987335	meanmale
TRINITY_DN107048_c1_g1_i1	1	male	3.294799937	meanmale
TRINITY_DN107077_c0_g1_i2	1	male	2.902481319	meanmale
TRINITY_DN107077_c0_g2_i1	3	male	3.334206509	meanmale
TRINITY_DN107120_c0_g1_i1	3	male	2.086604736	meanmale
TRINITY_DN107214_c0_g1_i1	1	male	4.368088994	meanmale
TRINITY_DN107257_c0_g1_i1	1	male	1.804320593	meanmale
TRINITY_DN107303_c0_g1_i1	1	male	3.822165792	meanmale
TRINITY_DN107343_c0_g1_i1	1	male	5.436191732	meanmale
TRINITY_DN107445_c0_g1_i2	1	male	2.468817291	meanmale
TRINITY_DN107472_c0_g1_i1	1	male	3.012878456	meanmale
TRINITY_DN107559_c0_g1_i1	3	male	2.803651936	meanmale
TRINITY_DN107632_c0_g1_i1	3	male	5.840045585	meanmale
TRINITY_DN107659_c0_g1_i1	3	male	6.460583582	meanmale
TRINITY_DN107707_c0_g1_i1	1	male	5.454068437	meanmale
TRINITY_DN107730_c0_g1_i1	1	male	1.392528963	meanmale
TRINITY_DN107742_c0_g1_i1	1	male	5.174146227	meanmale
TRINITY_DN107751_c0_g1_i1	1	male	4.749588311	meanmale
TRINITY_DN107761_c0_g1_i1	1	male	1.974749624	meanmale
TRINITY_DN107785_c0_g1_i2	1	male	2.531958803	meanmale
TRINITY_DN107811_c0_g1_i1	3	male	2.531568611	meanmale
TRINITY_DN107817_c0_g1_i1	1	male	1.495160064	meanmale
TRINITY_DN107843_c0_g4_i1	1	male	4.325546032	meanmale
TRINITY_DN107875_c0_g1_i1	1	male	3.156786536	meanmale
TRINITY_DN107896_c0_g1_i2	7	male	7.521248271	meanmale
TRINITY_DN107915_c0_g1_i1	3	male	6.188896883	meanmale
TRINITY_DN107915_c0_g2_i1	3	male	6.400517342	meanmale
TRINITY_DN107920_c0_g1_i1	1	male	3.744485355	meanmale
TRINITY_DN107978_c0_g1_i1	1	male	7.304272069	meanmale
TRINITY_DN107988_c0_g2_i2	3	male	1.446535037	meanmale
TRINITY_DN108039_c0_g1_i2	1	male	6.918049461	meanmale
TRINITY_DN108068_c0_g1_i3	5	male	5.047883583	meanmale
TRINITY_DN108095_c0_g1_i1	1	male	1.402371099	meanmale
TRINITY_DN108126_c0_g2_i2	1	male	4.163541569	meanmale
TRINITY_DN108152_c0_g3_i4	5	male	5.839094542	meanmale
TRINITY_DN108157_c0_g2_i1	1	male	-0.012856587	meanmale
TRINITY_DN108162_c0_g1_i1	7	male	0.875080086	meanmale
TRINITY_DN108186_c0_g2_i5	1	male	0.632336234	meanmale
TRINITY_DN108191_c0_g1_i1	1	male	2.731545057	meanmale
TRINITY_DN108227_c2_g1_i1	1	male	-0.716405043	meanmale
TRINITY_DN108245_c0_g1_i2	5	male	6.435311328	meanmale
TRINITY_DN108276_c0_g2_i1	7	male	7.179634011	meanmale
