gid	cutoff	co_sb	log2meanXY	group1
TRINITY_DN121884_c0_g2_i1	3	male	-0.30681171	meanmale
TRINITY_DN121887_c2_g1_i1	1	male	4.625516647	meanmale
TRINITY_DN121895_c0_g1_i2	1	male	3.420670319	meanmale
TRINITY_DN121895_c0_g2_i1	1	male	3.650252848	meanmale
TRINITY_DN121898_c1_g1_i1	1	male	2.380060055	meanmale
TRINITY_DN121900_c0_g1_i2	3	male	3.023683209	meanmale
TRINITY_DN121902_c0_g1_i2	1	male	4.976468	meanmale
TRINITY_DN121921_c1_g2_i1	1	male	0.616108686	meanmale
TRINITY_DN121924_c0_g2_i2	1	male	1.715259514	meanmale
TRINITY_DN121925_c0_g1_i1	1	male	6.066026126	meanmale
TRINITY_DN121927_c0_g3_i1	1	male	2.193091255	meanmale
TRINITY_DN121930_c2_g3_i1	3	male	3.664853356	meanmale
TRINITY_DN121930_c2_g6_i2	1	male	1.874541983	meanmale
TRINITY_DN121933_c2_g2_i1	1	male	3.693696926	meanmale
TRINITY_DN121933_c2_g7_i1	7	male	2.47600826	meanmale
TRINITY_DN121933_c2_g9_i1	5	male	2.566732013	meanmale
TRINITY_DN121941_c0_g10_i1	1	male	1.75920604	meanmale
TRINITY_DN121961_c0_g1_i1	1	male	-0.026816429	meanmale
TRINITY_DN121972_c0_g3_i1	1	male	2.459962809	meanmale
TRINITY_DN121979_c0_g4_i2	3	male	0.547334431	meanmale
TRINITY_DN121980_c0_g1_i4	1	male	-0.293656154	meanmale
TRINITY_DN121982_c0_g1_i2	1	male	0.484779636	meanmale
TRINITY_DN122002_c0_g1_i2	1	male	0.708760156	meanmale
TRINITY_DN122003_c2_g1_i5	3	male	2.147921918	meanmale
TRINITY_DN122014_c0_g1_i1	1	male	2.52091048	meanmale
TRINITY_DN122018_c0_g3_i4	3	male	2.261779921	meanmale
TRINITY_DN122038_c0_g1_i2	1	male	2.122695091	meanmale
TRINITY_DN122039_c0_g3_i1	3	male	2.867252379	meanmale
TRINITY_DN122048_c0_g2_i2	1	male	6.795562966	meanmale
TRINITY_DN122057_c0_g2_i1	1	male	1.293629565	meanmale
TRINITY_DN122066_c0_g1_i1	1	male	2.816331771	meanmale
TRINITY_DN122068_c1_g3_i4	3	male	5.351796143	meanmale
TRINITY_DN122069_c0_g1_i6	3	male	7.134137434	meanmale
TRINITY_DN122075_c3_g2_i3	1	male	2.370995862	meanmale
TRINITY_DN122077_c0_g1_i1	1	male	3.812702937	meanmale
TRINITY_DN122080_c0_g3_i2	1	male	7.05176274	meanmale
TRINITY_DN122080_c1_g1_i1	3	male	2.03636157	meanmale
TRINITY_DN122092_c3_g1_i2	1	male	1.240214846	meanmale
TRINITY_DN122097_c0_g1_i2	1	male	-0.298830402	meanmale
TRINITY_DN122100_c0_g1_i3	1	male	3.054962821	meanmale
TRINITY_DN122107_c1_g1_i5	1	male	3.612379443	meanmale
TRINITY_DN122110_c0_g1_i1	1	male	3.40476377	meanmale
TRINITY_DN122112_c0_g1_i2	1	male	1.755783138	meanmale
TRINITY_DN122118_c0_g1_i1	1	male	6.072112724	meanmale
TRINITY_DN122126_c1_g2_i4	1	male	0.597159136	meanmale
TRINITY_DN122130_c0_g1_i3	1	male	10.78674077	meanmale
TRINITY_DN122135_c0_g2_i3	1	male	1.571145422	meanmale
TRINITY_DN122139_c2_g2_i3	1	male	4.142415513	meanmale
TRINITY_DN122147_c8_g1_i6	1	male	4.328287641	meanmale
TRINITY_DN122155_c1_g2_i5	1	male	1.482557552	meanmale
TRINITY_DN122162_c1_g1_i2	1	male	0.072376124	meanmale
TRINITY_DN122168_c1_g1_i9	1	male	1.522928903	meanmale
TRINITY_DN122171_c0_g1_i3	3	male	3.325812133	meanmale
TRINITY_DN122181_c0_g1_i1	1	male	0.796082076	meanmale
TRINITY_DN122181_c0_g6_i1	3	male	-0.346336801	meanmale
TRINITY_DN122181_c0_g7_i1	3	male	1.961146421	meanmale
TRINITY_DN122183_c0_g2_i1	1	male	5.744713958	meanmale
TRINITY_DN122188_c0_g1_i1	1	male	-0.6953824	meanmale
TRINITY_DN122195_c3_g4_i1	1	male	0.926713318	meanmale
TRINITY_DN122207_c0_g1_i1	1	male	4.818769152	meanmale
TRINITY_DN122209_c0_g1_i6	1	male	2.852708464	meanmale
TRINITY_DN122213_c2_g2_i1	1	male	1.947866786	meanmale
TRINITY_DN122226_c0_g1_i2	5	male	2.905811711	meanmale
TRINITY_DN122227_c2_g3_i2	1	male	4.087325693	meanmale
TRINITY_DN122227_c2_g5_i35	1	male	2.719383658	meanmale
TRINITY_DN122247_c0_g3_i8	1	male	5.911740555	meanmale
TRINITY_DN122247_c0_g4_i2	1	male	4.405418767	meanmale
TRINITY_DN122247_c0_g9_i1	1	male	1.887388861	meanmale
TRINITY_DN122249_c0_g1_i1	1	male	0.287826395	meanmale
TRINITY_DN122251_c0_g1_i2	1	male	1.332780198	meanmale
TRINITY_DN122255_c0_g1_i1	1	male	1.959782611	meanmale
TRINITY_DN122256_c0_g1_i1	3	male	4.896015137	meanmale
TRINITY_DN122270_c0_g1_i2	1	male	3.104683991	meanmale
TRINITY_DN122289_c0_g1_i2	1	male	-0.057686939	meanmale
TRINITY_DN122299_c7_g1_i1	1	male	7.420062758	meanmale
TRINITY_DN122322_c0_g1_i2	3	male	2.762680281	meanmale
TRINITY_DN122325_c0_g1_i2	3	male	5.578771749	meanmale
TRINITY_DN122332_c0_g1_i1	1	male	0.404154389	meanmale
TRINITY_DN122333_c0_g1_i2	3	male	1.463771787	meanmale
TRINITY_DN122341_c2_g1_i1	1	male	2.947918091	meanmale
TRINITY_DN122344_c2_g1_i1	1	male	-0.063360676	meanmale
TRINITY_DN122345_c2_g1_i1	1	male	-0.577112348	meanmale
TRINITY_DN122348_c0_g1_i1	1	male	3.791368114	meanmale
TRINITY_DN122360_c1_g2_i1	1	male	-0.862704812	meanmale
TRINITY_DN122364_c2_g1_i6	7	male	3.066870409	meanmale
TRINITY_DN122369_c4_g2_i3	1	male	1.775670477	meanmale
TRINITY_DN122372_c0_g2_i1	7	male	2.685116319	meanmale
TRINITY_DN122383_c0_g1_i3	1	male	2.996829099	meanmale
TRINITY_DN122384_c0_g3_i2	1	male	1.271214326	meanmale
TRINITY_DN122391_c0_g1_i1	1	male	0.585997515	meanmale
TRINITY_DN122406_c2_g1_i2	3	male	2.677409026	meanmale
TRINITY_DN122407_c3_g1_i3	1	male	-0.18602781	meanmale
TRINITY_DN122408_c1_g2_i10	1	male	0.525890252	meanmale
TRINITY_DN122415_c4_g2_i4	1	male	6.256006086	meanmale
TRINITY_DN122423_c0_g1_i6	1	male	1.940876298	meanmale
TRINITY_DN122436_c4_g2_i1	1	male	0.854170635	meanmale
TRINITY_DN122440_c5_g1_i1	3	male	2.784273261	meanmale
TRINITY_DN122453_c4_g1_i3	1	male	6.349512108	meanmale
TRINITY_DN122453_c4_g4_i2	1	male	2.856255584	meanmale
TRINITY_DN122453_c4_g5_i3	1	male	2.818091746	meanmale
TRINITY_DN122475_c1_g1_i1	1	male	2.492103961	meanmale
TRINITY_DN122475_c1_g2_i1	1	male	3.287641985	meanmale
TRINITY_DN122475_c4_g1_i1	3	male	3.753033867	meanmale
TRINITY_DN122484_c0_g1_i4	1	male	2.385359424	meanmale
TRINITY_DN122484_c1_g1_i1	1	male	2.380226293	meanmale
TRINITY_DN122487_c1_g1_i6	3	male	3.355081315	meanmale
TRINITY_DN122487_c2_g1_i1	1	male	6.136910686	meanmale
TRINITY_DN122497_c0_g1_i3	1	male	1.083718772	meanmale
TRINITY_DN122510_c0_g1_i6	5	male	4.21450614	meanmale
TRINITY_DN122510_c0_g2_i1	7	male	3.293893109	meanmale
TRINITY_DN122513_c0_g2_i2	1	male	3.063887794	meanmale
TRINITY_DN122525_c0_g1_i4	1	male	1.858283329	meanmale
TRINITY_DN122528_c0_g2_i1	3	male	3.431391629	meanmale
TRINITY_DN122534_c1_g3_i2	1	male	0.905476737	meanmale
TRINITY_DN122559_c1_g1_i1	1	male	0.847677848	meanmale
TRINITY_DN122559_c1_g2_i1	1	male	2.673369249	meanmale
TRINITY_DN122560_c2_g1_i4	1	male	2.40830265	meanmale
TRINITY_DN122564_c0_g1_i4	1	male	4.656337618	meanmale
TRINITY_DN122569_c0_g3_i1	1	male	1.96667911	meanmale
TRINITY_DN122570_c4_g4_i1	1	male	2.253567634	meanmale
TRINITY_DN122570_c4_g9_i1	1	male	3.349898446	meanmale
TRINITY_DN122573_c0_g1_i1	1	male	2.421272597	meanmale
TRINITY_DN122573_c0_g3_i1	1	male	2.6671773	meanmale
TRINITY_DN122585_c0_g2_i16	1	male	6.579597959	meanmale
TRINITY_DN122585_c0_g5_i2	1	male	6.351176235	meanmale
TRINITY_DN122596_c0_g1_i3	1	male	3.284595354	meanmale
TRINITY_DN122610_c1_g2_i3	3	male	0.910447234	meanmale
TRINITY_DN122610_c1_g4_i1	3	male	0.33174527	meanmale
TRINITY_DN122611_c0_g1_i1	1	male	5.820913377	meanmale
TRINITY_DN122616_c0_g1_i1	1	male	-0.86145775	meanmale
TRINITY_DN122619_c0_g1_i2	3	male	0.492733997	meanmale
TRINITY_DN122622_c0_g3_i14	1	male	5.20043799	meanmale
TRINITY_DN122624_c2_g1_i1	1	male	3.677091833	meanmale
TRINITY_DN122630_c10_g2_i2	1	male	3.036726765	meanmale
TRINITY_DN122648_c2_g1_i1	1	male	1.680666825	meanmale
TRINITY_DN122664_c1_g1_i1	1	male	0.511397807	meanmale
TRINITY_DN122666_c4_g1_i3	5	male	5.357730896	meanmale
TRINITY_DN122671_c3_g1_i1	3	male	2.686324277	meanmale
TRINITY_DN122677_c3_g4_i1	1	male	1.249983308	meanmale
TRINITY_DN122684_c0_g2_i2	1	male	3.923337094	meanmale
TRINITY_DN122698_c3_g2_i1	1	male	6.195197497	meanmale
TRINITY_DN122707_c0_g1_i3	1	male	1.978760376	meanmale
TRINITY_DN122709_c0_g1_i1	3	male	1.737214081	meanmale
TRINITY_DN122712_c0_g1_i1	1	male	3.767164907	meanmale
TRINITY_DN122720_c0_g1_i1	1	male	2.669028398	meanmale
TRINITY_DN122726_c4_g4_i4	1	male	3.346686796	meanmale
TRINITY_DN122734_c0_g1_i1	5	male	1.386376643	meanmale
TRINITY_DN122739_c0_g2_i7	1	male	2.623533777	meanmale
TRINITY_DN122740_c1_g1_i1	1	male	2.196112417	meanmale
TRINITY_DN122744_c1_g2_i4	3	male	1.877220197	meanmale
TRINITY_DN122746_c3_g1_i3	3	male	6.920171049	meanmale
TRINITY_DN122751_c0_g1_i2	1	male	0.928394251	meanmale
TRINITY_DN122753_c0_g1_i3	3	male	1.140262444	meanmale
TRINITY_DN122754_c2_g4_i4	1	male	2.139060768	meanmale
TRINITY_DN122754_c2_g7_i1	3	male	2.837054174	meanmale
TRINITY_DN122757_c0_g1_i4	1	male	6.311722927	meanmale
TRINITY_DN122760_c0_g2_i1	3	male	3.63569695	meanmale
TRINITY_DN122762_c0_g1_i2	1	male	4.411153333	meanmale
TRINITY_DN122767_c1_g1_i1	1	male	3.615213704	meanmale
TRINITY_DN122771_c1_g1_i1	1	male	0.331168021	meanmale
TRINITY_DN122781_c7_g1_i1	1	male	3.060253768	meanmale
TRINITY_DN122786_c0_g1_i11	3	male	6.137656201	meanmale
TRINITY_DN122787_c0_g1_i5	3	male	0.780139626	meanmale
TRINITY_DN122791_c2_g1_i3	1	male	1.59582016	meanmale
TRINITY_DN122791_c2_g2_i1	1	male	1.666897642	meanmale
TRINITY_DN122798_c0_g1_i4	1	male	2.819129821	meanmale
TRINITY_DN122813_c4_g3_i1	3	male	2.705300787	meanmale
TRINITY_DN122814_c0_g1_i4	1	male	3.621589848	meanmale
TRINITY_DN122815_c2_g4_i1	3	male	1.289683925	meanmale
TRINITY_DN122815_c3_g1_i4	1	male	10.58804292	meanmale
TRINITY_DN122819_c0_g1_i4	1	male	5.854960545	meanmale
TRINITY_DN122820_c0_g1_i1	3	male	0.370216337	meanmale
TRINITY_DN122821_c0_g1_i2	1	male	1.77534481	meanmale
TRINITY_DN122824_c1_g1_i2	1	male	5.503352395	meanmale
TRINITY_DN122829_c0_g2_i1	1	male	2.519549693	meanmale
TRINITY_DN122829_c0_g4_i1	1	male	2.65743371	meanmale
TRINITY_DN122838_c0_g1_i3	1	male	3.030436784	meanmale
TRINITY_DN122852_c0_g1_i1	1	male	4.289626847	meanmale
TRINITY_DN122862_c0_g1_i6	1	male	1.166957369	meanmale
TRINITY_DN122876_c3_g1_i10	1	male	5.041198447	meanmale
TRINITY_DN122879_c0_g1_i3	1	male	-0.446296724	meanmale
TRINITY_DN122882_c0_g1_i2	1	male	2.951860389	meanmale
TRINITY_DN122889_c9_g2_i2	3	male	1.334061852	meanmale
TRINITY_DN122901_c0_g2_i4	3	male	2.735649562	meanmale
TRINITY_DN122903_c0_g1_i1	1	male	-0.052975212	meanmale
TRINITY_DN122912_c3_g2_i1	1	male	2.34236039	meanmale
TRINITY_DN122919_c1_g3_i3	1	male	4.437776496	meanmale
TRINITY_DN122920_c5_g1_i6	1	male	2.307442377	meanmale
TRINITY_DN122933_c2_g3_i2	3	male	4.911458844	meanmale
TRINITY_DN122938_c2_g2_i1	1	male	6.138101176	meanmale
TRINITY_DN122956_c4_g4_i1	1	male	4.572081259	meanmale
TRINITY_DN122956_c4_g7_i1	1	male	3.778124141	meanmale
TRINITY_DN122959_c0_g1_i3	1	male	-0.905023288	meanmale
TRINITY_DN122960_c3_g1_i1	1	male	1.082597626	meanmale
TRINITY_DN122960_c4_g2_i1	1	male	3.874326345	meanmale
TRINITY_DN122960_c4_g4_i2	3	male	3.650070501	meanmale
TRINITY_DN122962_c1_g2_i1	1	male	2.679204718	meanmale
TRINITY_DN122970_c0_g1_i2	1	male	1.704763527	meanmale
TRINITY_DN122980_c0_g2_i2	1	male	1.558053777	meanmale
TRINITY_DN122981_c1_g1_i4	1	male	1.06237096	meanmale
TRINITY_DN122987_c5_g3_i1	1	male	5.806138057	meanmale
TRINITY_DN122991_c3_g1_i1	1	male	4.654186643	meanmale
TRINITY_DN123005_c4_g3_i3	5	male	7.058933712	meanmale
TRINITY_DN123006_c2_g6_i1	1	male	5.773627856	meanmale
TRINITY_DN123011_c1_g2_i1	1	male	6.020409822	meanmale
TRINITY_DN123023_c0_g1_i3	1	male	2.082528409	meanmale
TRINITY_DN123024_c0_g2_i1	1	male	12.34498895	meanmale
TRINITY_DN123030_c1_g1_i2	3	male	4.048414571	meanmale
TRINITY_DN123031_c0_g1_i1	1	male	1.486151512	meanmale
TRINITY_DN123037_c0_g2_i2	1	male	5.062509382	meanmale
TRINITY_DN123049_c0_g4_i3	1	male	2.525440699	meanmale
TRINITY_DN123049_c0_g6_i1	1	male	1.995096769	meanmale
TRINITY_DN123050_c0_g2_i1	1	male	2.600379499	meanmale
TRINITY_DN123051_c5_g1_i6	3	male	0.508970238	meanmale
TRINITY_DN123051_c5_g2_i1	3	male	1.164597878	meanmale
TRINITY_DN123054_c2_g2_i2	1	male	-0.02125764	meanmale
TRINITY_DN123059_c0_g3_i4	1	male	0.651559946	meanmale
TRINITY_DN123060_c0_g1_i1	1	male	0.29536212	meanmale
TRINITY_DN123063_c0_g1_i4	1	male	0.176125951	meanmale
TRINITY_DN123064_c2_g7_i1	1	male	1.571163119	meanmale
TRINITY_DN123064_c5_g4_i1	1	male	3.527286463	meanmale
TRINITY_DN123067_c1_g1_i1	1	male	0.520247345	meanmale
TRINITY_DN123078_c0_g1_i1	1	male	8.012231799	meanmale
TRINITY_DN123083_c7_g1_i1	1	male	2.628655862	meanmale
TRINITY_DN123087_c0_g1_i1	1	male	2.915602424	meanmale
TRINITY_DN123088_c0_g1_i20	1	male	9.869643478	meanmale
TRINITY_DN123096_c0_g1_i2	1	male	2.653957102	meanmale
TRINITY_DN123102_c0_g1_i2	1	male	1.976447001	meanmale
TRINITY_DN123107_c2_g3_i1	1	male	2.232769699	meanmale
TRINITY_DN123112_c0_g1_i4	3	male	1.883459473	meanmale
TRINITY_DN123126_c1_g1_i1	3	male	0.378723683	meanmale
TRINITY_DN123138_c0_g1_i2	1	male	1.215482788	meanmale
TRINITY_DN123156_c0_g1_i3	1	male	2.810125921	meanmale
TRINITY_DN123158_c0_g1_i7	1	male	3.019844459	meanmale
TRINITY_DN123158_c0_g4_i1	1	male	0.903890856	meanmale
TRINITY_DN123158_c1_g3_i1	1	male	2.122099631	meanmale
TRINITY_DN123163_c0_g1_i1	5	male	4.242907961	meanmale
TRINITY_DN123163_c0_g2_i3	5	male	3.226840262	meanmale
TRINITY_DN123166_c4_g4_i2	1	male	5.27415076	meanmale
TRINITY_DN123166_c4_g6_i1	1	male	8.79894515	meanmale
TRINITY_DN123167_c6_g2_i4	1	male	4.563481907	meanmale
TRINITY_DN123173_c2_g1_i4	1	male	-0.121967649	meanmale
TRINITY_DN123178_c0_g1_i3	1	male	4.771247685	meanmale
TRINITY_DN123184_c1_g2_i1	1	male	1.437755511	meanmale
TRINITY_DN123189_c1_g1_i1	3	male	2.652723633	meanmale
TRINITY_DN123189_c2_g1_i2	3	male	2.708556899	meanmale
TRINITY_DN123189_c2_g4_i1	1	male	1.237735414	meanmale
TRINITY_DN123189_c2_g5_i2	7	male	3.851155641	meanmale
TRINITY_DN123197_c0_g1_i1	1	male	-0.819984204	meanmale
TRINITY_DN123202_c0_g1_i2	1	male	2.214727538	meanmale
TRINITY_DN123204_c4_g1_i3	1	male	6.294275383	meanmale
TRINITY_DN123204_c5_g6_i7	1	male	1.293766192	meanmale
TRINITY_DN123210_c0_g1_i2	1	male	6.487975516	meanmale
TRINITY_DN123229_c0_g1_i4	1	male	2.694097122	meanmale
TRINITY_DN123233_c3_g1_i1	1	male	5.502825427	meanmale
TRINITY_DN123236_c2_g6_i1	1	male	1.052207303	meanmale
TRINITY_DN123241_c0_g1_i1	3	male	1.91546623	meanmale
TRINITY_DN123245_c0_g1_i2	1	male	8.558059672	meanmale
TRINITY_DN123247_c0_g2_i5	1	male	0.888885914	meanmale
TRINITY_DN123249_c0_g1_i1	1	male	5.787574001	meanmale
TRINITY_DN123251_c6_g3_i2	1	male	3.996512984	meanmale
TRINITY_DN123252_c0_g1_i2	1	male	0.346675591	meanmale
TRINITY_DN123254_c0_g1_i2	1	male	0.158270365	meanmale
TRINITY_DN123256_c1_g1_i2	1	male	0.921621359	meanmale
TRINITY_DN123262_c0_g1_i2	1	male	1.411464684	meanmale
TRINITY_DN123262_c0_g3_i1	1	male	0.706736281	meanmale
TRINITY_DN123262_c0_g4_i1	1	male	2.868020807	meanmale
TRINITY_DN123267_c1_g2_i1	1	male	6.999300419	meanmale
TRINITY_DN123268_c0_g1_i2	1	male	4.005357237	meanmale
TRINITY_DN123269_c0_g1_i1	1	male	5.714985921	meanmale
TRINITY_DN123270_c0_g3_i6	1	male	2.97951057	meanmale
TRINITY_DN123273_c4_g1_i1	1	male	2.230829038	meanmale
TRINITY_DN123277_c3_g1_i2	1	male	2.816279657	meanmale
TRINITY_DN123280_c0_g1_i1	1	male	-0.271980837	meanmale
TRINITY_DN123281_c2_g3_i1	1	male	0.356024715	meanmale
TRINITY_DN123285_c0_g2_i2	3	male	0.442611787	meanmale
TRINITY_DN123285_c1_g3_i8	3	male	3.927384078	meanmale
TRINITY_DN123286_c2_g1_i7	1	male	3.680102332	meanmale
TRINITY_DN123287_c0_g1_i4	1	male	0.480377991	meanmale
TRINITY_DN123289_c1_g3_i2	3	male	3.740503682	meanmale
TRINITY_DN123295_c1_g1_i2	1	male	4.630751677	meanmale
TRINITY_DN123296_c1_g1_i2	1	male	5.309483299	meanmale
TRINITY_DN123298_c0_g2_i2	3	male	2.630704864	meanmale
TRINITY_DN123304_c0_g1_i1	1	male	0.34839193	meanmale
TRINITY_DN123313_c0_g1_i1	3	male	1.891110027	meanmale
TRINITY_DN123314_c1_g1_i1	1	male	5.100425543	meanmale
TRINITY_DN123319_c3_g3_i2	1	male	7.239201151	meanmale
TRINITY_DN123323_c0_g1_i1	1	male	-0.00367772	meanmale
TRINITY_DN123324_c1_g5_i3	1	male	1.884976337	meanmale
TRINITY_DN123327_c0_g1_i1	1	male	3.804420677	meanmale
TRINITY_DN123342_c1_g1_i1	1	male	1.080928279	meanmale
TRINITY_DN123348_c3_g1_i1	1	male	1.100212289	meanmale
TRINITY_DN123350_c0_g1_i1	1	male	0.523390959	meanmale
TRINITY_DN123352_c3_g3_i1	1	male	6.025708376	meanmale
TRINITY_DN123353_c0_g2_i3	3	male	2.959990303	meanmale
TRINITY_DN123359_c0_g1_i1	1	male	-1.218598549	meanmale
TRINITY_DN123368_c0_g1_i6	1	male	1.205184022	meanmale
TRINITY_DN123369_c2_g1_i6	1	male	1.612318043	meanmale
TRINITY_DN123385_c0_g1_i3	1	male	5.189311776	meanmale
TRINITY_DN123392_c3_g2_i1	1	male	0.493550647	meanmale
TRINITY_DN123392_c3_g3_i1	1	male	0.776999606	meanmale
TRINITY_DN123392_c3_g4_i2	1	male	-0.229975769	meanmale
TRINITY_DN123411_c2_g3_i6	1	male	4.730625722	meanmale
TRINITY_DN123413_c0_g1_i1	1	male	0.423951777	meanmale
TRINITY_DN123426_c1_g2_i8	1	male	1.223362662	meanmale
TRINITY_DN123435_c1_g1_i1	1	male	1.745899307	meanmale
TRINITY_DN123439_c0_g1_i1	1	male	0.995047349	meanmale
TRINITY_DN123444_c0_g1_i1	1	male	2.858369206	meanmale
TRINITY_DN123449_c1_g4_i2	1	male	0.88702986	meanmale
TRINITY_DN123455_c4_g1_i1	1	male	1.774482287	meanmale
TRINITY_DN123456_c0_g1_i2	1	male	1.616567328	meanmale
TRINITY_DN123456_c0_g7_i2	5	male	1.351989438	meanmale
TRINITY_DN123459_c2_g2_i1	1	male	2.385894376	meanmale
TRINITY_DN123464_c1_g2_i1	1	male	0.806238022	meanmale
TRINITY_DN123467_c0_g1_i3	1	male	5.925436686	meanmale
TRINITY_DN123469_c0_g1_i1	1	male	0.612417154	meanmale
TRINITY_DN123471_c1_g1_i1	1	male	4.548544618	meanmale
TRINITY_DN123471_c2_g1_i1	1	male	2.082194691	meanmale
TRINITY_DN123472_c0_g1_i1	3	male	0.154745707	meanmale
TRINITY_DN123473_c0_g1_i2	3	male	1.249464418	meanmale
TRINITY_DN123476_c2_g21_i1	1	male	3.335805427	meanmale
TRINITY_DN123476_c2_g8_i1	1	male	1.865794238	meanmale
TRINITY_DN123476_c2_g9_i1	1	male	4.055624925	meanmale
TRINITY_DN123479_c2_g1_i19	1	male	7.148944028	meanmale
TRINITY_DN123490_c0_g2_i1	1	male	8.504974958	meanmale
TRINITY_DN123491_c0_g2_i4	1	male	3.54081598	meanmale
TRINITY_DN123492_c0_g4_i1	1	male	3.264941981	meanmale
TRINITY_DN123493_c0_g1_i1	5	male	6.509168768	meanmale
TRINITY_DN123494_c0_g1_i3	1	male	4.034315043	meanmale
TRINITY_DN123495_c0_g2_i3	1	male	0.375890991	meanmale
TRINITY_DN123497_c0_g2_i3	1	male	-0.133800099	meanmale
TRINITY_DN123507_c1_g1_i3	3	male	3.736479476	meanmale
TRINITY_DN123515_c0_g2_i1	1	male	1.497234966	meanmale
TRINITY_DN123520_c0_g1_i1	1	male	4.262175401	meanmale
TRINITY_DN123523_c1_g1_i5	5	male	1.557276551	meanmale
TRINITY_DN123534_c0_g1_i2	1	male	2.970042563	meanmale
TRINITY_DN123540_c2_g7_i2	1	male	2.683804549	meanmale
TRINITY_DN123541_c0_g1_i1	1	male	-0.15741753	meanmale
TRINITY_DN123543_c0_g1_i1	1	male	1.468947608	meanmale
TRINITY_DN123544_c6_g1_i1	3	male	1.963306516	meanmale
TRINITY_DN123547_c1_g1_i1	1	male	2.966289922	meanmale
TRINITY_DN123549_c0_g1_i2	1	male	0.085894822	meanmale
TRINITY_DN123550_c0_g2_i2	5	male	4.099351392	meanmale
TRINITY_DN123550_c0_g6_i7	1	male	3.239059355	meanmale
TRINITY_DN123553_c0_g1_i1	1	male	6.228300615	meanmale
TRINITY_DN123555_c2_g1_i1	1	male	1.389831871	meanmale
TRINITY_DN123558_c0_g1_i1	3	male	6.665999091	meanmale
TRINITY_DN123579_c0_g3_i1	1	male	3.539464379	meanmale
TRINITY_DN123581_c0_g1_i2	1	male	6.828400635	meanmale
TRINITY_DN123584_c2_g1_i1	1	male	1.451173773	meanmale
TRINITY_DN123585_c5_g2_i2	1	male	1.217128821	meanmale
TRINITY_DN123586_c0_g1_i1	1	male	4.158855372	meanmale
TRINITY_DN123589_c1_g2_i1	1	male	2.257348492	meanmale
TRINITY_DN123591_c1_g1_i1	1	male	2.446340669	meanmale
TRINITY_DN123602_c3_g2_i2	1	male	5.141857705	meanmale
TRINITY_DN123604_c0_g5_i1	7	male	11.16277274	meanmale
TRINITY_DN123608_c0_g3_i3	1	male	1.761700507	meanmale
TRINITY_DN123611_c3_g1_i3	1	male	1.749077314	meanmale
TRINITY_DN123611_c3_g3_i2	1	male	2.130236584	meanmale
TRINITY_DN123611_c3_g4_i1	3	male	1.619505405	meanmale
TRINITY_DN123612_c1_g1_i5	1	male	6.394645949	meanmale
TRINITY_DN123620_c11_g1_i1	1	male	0.373369336	meanmale
TRINITY_DN123626_c0_g1_i1	1	male	6.432094009	meanmale
TRINITY_DN123634_c0_g2_i1	1	male	3.15537135	meanmale
TRINITY_DN123634_c1_g1_i1	1	male	1.874164352	meanmale
TRINITY_DN123637_c0_g1_i2	5	male	1.153766095	meanmale
TRINITY_DN123639_c0_g1_i1	1	male	4.973269708	meanmale
TRINITY_DN123646_c0_g2_i3	1	male	3.908290941	meanmale
TRINITY_DN123649_c4_g5_i1	1	male	1.953893096	meanmale
TRINITY_DN123654_c3_g1_i2	1	male	0.772488195	meanmale
TRINITY_DN123658_c3_g2_i6	1	male	0.16775862	meanmale
TRINITY_DN123670_c1_g3_i1	1	male	2.889656353	meanmale
TRINITY_DN123676_c0_g2_i2	1	male	1.285077769	meanmale
TRINITY_DN123678_c2_g3_i3	1	male	3.664816589	meanmale
TRINITY_DN123687_c3_g3_i3	1	male	4.244725311	meanmale
TRINITY_DN123689_c1_g1_i4	1	male	2.046933602	meanmale
TRINITY_DN123692_c0_g1_i7	3	male	4.356501653	meanmale
TRINITY_DN123704_c2_g3_i1	3	male	2.21465733	meanmale
TRINITY_DN123706_c1_g1_i1	1	male	1.264074081	meanmale
TRINITY_DN123710_c0_g1_i1	1	male	5.213712174	meanmale
TRINITY_DN123712_c0_g1_i1	1	male	1.442051747	meanmale
TRINITY_DN123721_c0_g1_i1	1	male	-0.017976721	meanmale
TRINITY_DN123726_c6_g2_i5	1	male	2.434928506	meanmale
TRINITY_DN123730_c1_g3_i1	1	male	2.593095966	meanmale
TRINITY_DN123740_c2_g3_i1	1	male	3.989575927	meanmale
TRINITY_DN123756_c4_g2_i1	1	male	2.940138893	meanmale
TRINITY_DN123758_c9_g4_i1	1	male	3.321242438	meanmale
TRINITY_DN123759_c0_g1_i9	1	male	0.220975363	meanmale
TRINITY_DN123759_c0_g2_i1	1	male	0.698467403	meanmale
TRINITY_DN123760_c0_g2_i1	1	male	2.747922734	meanmale
TRINITY_DN123764_c1_g1_i1	1	male	2.227370556	meanmale
TRINITY_DN123764_c1_g2_i1	1	male	2.422954366	meanmale
TRINITY_DN123764_c2_g1_i6	1	male	6.129326043	meanmale
TRINITY_DN123766_c5_g1_i3	1	male	2.044532472	meanmale
TRINITY_DN123781_c4_g1_i1	1	male	5.866003218	meanmale
TRINITY_DN123781_c4_g2_i2	1	male	4.98100393	meanmale
TRINITY_DN123790_c0_g1_i2	1	male	-0.641358746	meanmale
TRINITY_DN123800_c0_g1_i1	3	male	0.808542449	meanmale
