gid	sex	bias
2.303875123	meanmale	unbias
1.732725671	meanmale	unbias
0.036010533	meanmale	unbias
5.358095017	meanmale	unbias
6.79678248	meanmale	unbias
2.256224606	meanmale	unbias
-0.490453546	meanmale	unbias
3.636902007	meanmale	unbias
2.619421652	meanmale	unbias
1.855117541	meanmale	unbias
1.726048935	meanmale	unbias
0.103224571	meanmale	unbias
0.734474754	meanmale	unbias
1.302250807	meanmale	unbias
9.751133759	meanmale	unbias
1.116329745	meanmale	unbias
1.204821504	meanmale	unbias
3.83746395	meanmale	unbias
4.006327533	meanmale	unbias
0.468089273	meanmale	unbias
1.957258063	meanmale	unbias
5.00811863	meanmale	unbias
8.427665921	meanmale	unbias
6.609522754	meanmale	unbias
6.901375788	meanmale	unbias
4.743230139	meanmale	unbias
1.219490799	meanmale	unbias
3.964844548	meanmale	unbias
-0.431909537	meanmale	unbias
1.575036556	meanmale	unbias
-0.691995212	meanmale	unbias
5.411344773	meanmale	unbias
1.909592175	meanmale	unbias
5.170155781	meanmale	unbias
7.287575095	meanmale	unbias
2.294747961	meanmale	unbias
0.948054142	meanmale	unbias
4.854188433	meanmale	unbias
6.973762365	meanmale	unbias
-0.311725113	meanmale	unbias
5.178595517	meanmale	unbias
6.158421324	meanmale	unbias
1.121631945	meanmale	unbias
NA?	meanmale	unbias
0.689239098	meanmale	unbias
1.452183302	meanmale	unbias
1.292500411	meanmale	unbias
2.345504203	meanmale	unbias
2.264698465	meanmale	unbias
2.334192521	meanmale	unbias
-0.327609063	meanmale	unbias
7.123290835	meanmale	unbias
2.789544981	meanmale	unbias
0.46435794	meanmale	unbias
4.644426934	meanmale	unbias
NA?	meanmale	unbias
3.060355895	meanmale	unbias
6.010159724	meanmale	unbias
3.194660606	meanmale	unbias
3.407719741	meanmale	unbias
2.946062908	meanmale	unbias
-0.763989917	meanmale	unbias
2.207940879	meanmale	unbias
6.23715753	meanmale	unbias
2.902595201	meanmale	unbias
3.079791507	meanmale	unbias
1.408404763	meanmale	unbias
8.017556626	meanmale	unbias
0.366477242	meanmale	unbias
2.642514728	meanmale	unbias
1.21969335	meanmale	unbias
-0.087171702	meanmale	unbias
0.211170112	meanmale	unbias
1.063709895	meanmale	unbias
6.615079341	meanmale	unbias
-0.145243876	meanmale	unbias
8.247047693	meanmale	unbias
1.692254921	meanmale	unbias
4.82594096	meanmale	unbias
-0.286837766	meanmale	unbias
2.779462668	meanmale	unbias
3.029819624	meanmale	unbias
5.846043116	meanmale	unbias
-0.003546533	meanmale	unbias
3.561607577	meanmale	unbias
2.31101314	meanmale	unbias
2.811830637	meanmale	unbias
7.767595923	meanmale	unbias
5.040308531	meanmale	unbias
5.757190026	meanmale	unbias
6.80626429	meanmale	unbias
3.620355425	meanmale	unbias
0.626537126	meanmale	unbias
3.741812071	meanmale	unbias
-1.147702956	meanmale	unbias
5.639748691	meanmale	unbias
4.511408887	meanmale	unbias
-0.522522938	meanmale	unbias
1.833586008	meanmale	unbias
1.892712913	meanmale	unbias
3.301914492	meanmale	unbias
4.682165624	meanmale	unbias
1.262729195	meanmale	unbias
2.149074777	meanmale	unbias
5.438233287	meanmale	unbias
-1.357431252	meanmale	unbias
0.754676683	meanmale	unbias
3.673952681	meanmale	unbias
1.678937609	meanmale	unbias
6.869300684	meanmale	unbias
2.957230656	meanmale	unbias
1.053603587	meanmale	unbias
5.84874909	meanmale	unbias
2.66792612	meanmale	unbias
8.552653958	meanmale	unbias
0.538582587	meanmale	unbias
-0.508430182	meanmale	unbias
3.662487408	meanmale	unbias
2.232586723	meanmale	unbias
1.767697661	meanmale	unbias
7.652086668	meanmale	unbias
5.446145194	meanmale	unbias
7.205293275	meanmale	unbias
3.972656455	meanmale	unbias
2.469662767	meanmale	unbias
6.26965446	meanmale	unbias
5.261956849	meanmale	unbias
3.635983567	meanmale	unbias
7.151438244	meanmale	unbias
5.912512384	meanmale	unbias
1.660245904	meanmale	unbias
3.270847852	meanmale	unbias
2.401159159	meanmale	unbias
2.452851187	meanmale	unbias
2.533168497	meanmale	unbias
2.65606135	meanmale	unbias
4.681557059	meanmale	unbias
7.647778308	meanmale	unbias
2.353377845	meanmale	unbias
3.518717563	meanmale	unbias
1.163856701	meanmale	unbias
5.628399676	meanmale	unbias
2.445969	meanmale	unbias
1.022304377	meanmale	unbias
3.161416711	meanmale	unbias
4.221556044	meanmale	unbias
4.354432186	meanmale	unbias
4.691546643	meanmale	unbias
-0.416609142	meanmale	unbias
6.012695063	meanmale	unbias
3.887595348	meanmale	unbias
3.206068891	meanmale	unbias
1.348118758	meanmale	unbias
5.702295559	meanmale	unbias
5.033331521	meanmale	unbias
4.041029001	meanmale	unbias
0.204818857	meanmale	unbias
3.199358772	meanmale	unbias
2.236640602	meanmale	unbias
5.641251808	meanmale	unbias
-0.49770902	meanmale	unbias
3.558744613	meanmale	unbias
5.248265556	meanmale	unbias
0.234219358	meanmale	unbias
7.953781957	meanmale	unbias
3.398391656	meanmale	unbias
6.600869216	meanmale	unbias
1.790751498	meanmale	unbias
4.829208785	meanmale	unbias
5.988146276	meanmale	unbias
3.588990843	meanmale	unbias
6.944713779	meanmale	unbias
7.136699453	meanmale	unbias
8.016846922	meanmale	unbias
1.540032408	meanmale	unbias
1.966826538	meanmale	unbias
0.638985282	meanmale	unbias
0.245574568	meanmale	unbias
2.884656318	meanmale	unbias
0.843511629	meanmale	unbias
-0.269024063	meanmale	unbias
-0.983937613	meanmale	unbias
2.568418417	meanmale	unbias
4.205749257	meanmale	unbias
1.89987391	meanmale	unbias
2.483099557	meanmale	unbias
5.578432222	meanmale	unbias
5.678448644	meanmale	unbias
-0.042384199	meanmale	unbias
5.209268156	meanmale	unbias
6.018433247	meanmale	unbias
0.76899589	meanmale	unbias
-0.066864996	meanmale	unbias
7.896935874	meanmale	unbias
0.726381883	meanmale	unbias
2.781540938	meanmale	unbias
0.365321168	meanmale	unbias
3.260471437	meanmale	unbias
4.246568098	meanmale	unbias
0.456626778	meanmale	unbias
