Log2RPKM	sex	bias
-1.176826361	meanmale	female
2.979320216	meanmale	female
5.357115979	meanmale	female
4.42304972	meanmale	female
-3.082147778	meanmale	female
2.989723461	meanmale	female
5.203488714	meanmale	female
5.42630998	meanmale	female
0.163417918	meanmale	female
0.665463815	meanmale	female
-1.963829311	meanmale	female
2.309725105	meanmale	female
-1.434505101	meanmale	female
2.365760053	meanmale	female
NA	meanmale	female
-2.221362732	meanmale	female
-0.173512185	meanmale	female
5.948829572	meanmale	female
4.59766585	meanmale	female
3.008063443	meanmale	female
-1.978020454	meanmale	female
-2.590893073	meanmale	female
6.339637995	meanmale	female
5.406608931	meanmale	female
-0.843370813	meanmale	female
-0.573037397	meanmale	female
4.816993429	meanmale	female
-0.173190666	meanmale	female
4.800227382	meanmale	female
-2.223404359	meanmale	female
-1.664002018	meanmale	female
-0.729166424	meanmale	female
-2.224021254	meanmale	female
5.348055599	meanmale	female
-0.787876773	meanmale	female
-0.531127377	meanmale	female
0.951632964	meanmale	female
NA	meanmale	female
1.969446304	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
-4.270618565	meanmale	female
-2.681165024	meanmale	female
5.993947032	meanmale	female
NA	meanmale	female
3.931341887	meanmale	female
1.87248838	meanmale	female
-1.356037942	meanmale	female
2.803713091	meanmale	female
2.146876337	meanmale	female
-0.919160252	meanmale	female
-0.833915174	meanmale	female
3.446049422	meanmale	female
NA	meanmale	female
3.564593442	meanmale	female
NA	meanmale	female
NA	meanmale	female
4.376449155	meanmale	female
0.318373913	meanmale	female
4.168319408	meanmale	female
0.113912058	meanmale	female
3.428511747	meanmale	female
1.491972246	meanmale	female
-1.078904321	meanmale	female
NA	meanmale	female
2.640197641	meanmale	female
1.010873393	meanmale	female
3.235973529	meanmale	female
-0.46658259	meanmale	female
2.641413597	meanmale	female
2.486205486	meanmale	female
4.914306255	meanmale	female
5.480142836	meanmale	female
0.877310015	meanmale	female
4.034680845	meanmale	female
-3.615497295	meanmale	female
6.087578537	meanmale	female
0.122390698	meanmale	female
-0.02864252	meanmale	female
0.022393998	meanmale	female
NA	meanmale	female
0.811663212	meanmale	female
2.751287768	meanmale	female
3.758406735	meanmale	female
NA	meanmale	female
NA	meanmale	female
5.174585764	meanmale	female
0.194188733	meanmale	female
