gid	sex	log2RPKM	cutoff
TRINITY_DN125119_c3_g4_i1	meanfemale	6.361931384	FC7
TRINITY_DN133440_c0_g2_i2	meanfemale	4.995994825	FC7
TRINITY_DN117327_c0_g1_i1	meanfemale	1.77680233	FC7
TRINITY_DN124438_c0_g1_i1	meanfemale	5.037365883	FC7
TRINITY_DN132704_c0_g2_i5	meanfemale	5.592823722	FC7
TRINITY_DN132180_c5_g1_i6	meanfemale	3.640952736	FC7
TRINITY_DN109253_c0_g1_i1	meanfemale	3.433870551	FC7
TRINITY_DN116607_c0_g1_i1	meanfemale	3.592303464	FC7
TRINITY_DN113308_c0_g1_i2	meanfemale	3.602314704	FC7
TRINITY_DN130878_c0_g1_i3	meanfemale	4.706989484	FC7
TRINITY_DN110644_c0_g3_i1	meanfemale	4.842699246	FC7
TRINITY_DN125119_c3_g6_i1	meanfemale	6.7444792	FC7
TRINITY_DN121709_c1_g3_i3	meanfemale	4.11288924	FC7
TRINITY_DN130542_c0_g1_i9	meanfemale	4.226975573	FC7
TRINITY_DN121709_c1_g1_i1	meanfemale	4.560147261	FC7
TRINITY_DN109596_c0_g1_i1	meanfemale	5.864513351	FC7
TRINITY_DN122919_c1_g4_i1	meanfemale	2.580891466	FC7
TRINITY_DN130516_c2_g3_i1	meanfemale	3.053387187	FC7
TRINITY_DN128589_c4_g2_i2	meanfemale	4.929890405	FC7
TRINITY_DN121169_c0_g1_i1	meanfemale	0.504608168	FC7
TRINITY_DN119370_c0_g2_i1	meanfemale	4.535660339	FC7
TRINITY_DN119011_c0_g1_i1	meanfemale	7.578506388	FC7
TRINITY_DN127070_c0_g1_i3	meanfemale	5.584465539	FC7
TRINITY_DN123821_c0_g1_i1	meanfemale	5.28466259	FC7
TRINITY_DN124147_c1_g3_i2	meanfemale	4.668932782	FC7
TRINITY_DN129730_c0_g1_i2	meanfemale	4.186542105	FC7
TRINITY_DN133404_c0_g2_i3	meanfemale	4.364737855	FC7
TRINITY_DN113760_c0_g3_i2	meanfemale	3.459604371	FC7
TRINITY_DN135835_c0_g1_i3	meanfemale	6.943986828	FC7
TRINITY_DN129466_c1_g2_i3	meanfemale	5.518017922	FC7
TRINITY_DN121030_c0_g1_i1	meanfemale	4.844365555	FC7
TRINITY_DN109099_c0_g2_i2	meanfemale	1.892028171	FC7
TRINITY_DN124234_c1_g1_i2	meanfemale	3.302179818	FC7
TRINITY_DN115294_c0_g1_i4	meanfemale	2.927842236	FC7
TRINITY_DN123809_c0_g1_i2	meanfemale	4.095105126	FC7
TRINITY_DN120412_c0_g1_i2	meanfemale	7.145956977	FC7
TRINITY_DN114033_c0_g1_i2	meanfemale	1.260893142	FC7
TRINITY_DN121522_c0_g1_i3	meanfemale	2.351109704	FC7
TRINITY_DN123349_c1_g3_i1	meanfemale	6.588000262	FC7
TRINITY_DN131183_c0_g1_i4	meanfemale	4.904210148	FC7
TRINITY_DN119751_c0_g1_i3	meanfemale	5.380800574	FC7
TRINITY_DN115331_c0_g1_i2	meanfemale	3.403159399	FC7
TRINITY_DN108709_c0_g1_i2	meanfemale	6.998269655	FC7
TRINITY_DN135230_c0_g1_i5	meanfemale	6.795336294	FC7
TRINITY_DN131450_c1_g5_i5	meanfemale	4.840445583	FC7
TRINITY_DN115129_c0_g1_i3	meanfemale	4.591633206	FC7
TRINITY_DN135160_c6_g2_i1	meanfemale	2.611673886	FC5
TRINITY_DN131183_c0_g2_i1	meanfemale	5.203570758	FC5
TRINITY_DN135160_c6_g1_i3	meanfemale	2.899875612	FC5
TRINITY_DN123296_c1_g1_i2	meanfemale	4.397768403	FC5
TRINITY_DN127164_c6_g1_i1	meanfemale	3.271726716	FC5
TRINITY_DN102628_c0_g1_i1	meanfemale	2.916346347	FC5
TRINITY_DN127330_c0_g1_i1	meanfemale	2.521726659	FC5
TRINITY_DN121788_c0_g1_i1	meanfemale	6.267490865	FC5
TRINITY_DN114033_c0_g3_i2	meanfemale	3.15567106	FC5
TRINITY_DN129939_c4_g4_i3	meanfemale	4.465360876	FC5
TRINITY_DN127559_c7_g3_i1	meanfemale	3.239942865	FC5
TRINITY_DN79303_c0_g1_i1	meanfemale	2.890392936	FC5
TRINITY_DN95890_c0_g1_i1	meanfemale	7.955120475	FC5
TRINITY_DN98334_c0_g1_i1	meanfemale	3.611809294	FC5
TRINITY_DN117446_c0_g1_i2	meanfemale	7.08513519	FC5
TRINITY_DN124523_c1_g1_i1	meanfemale	6.366402723	FC5
TRINITY_DN120912_c0_g1_i3	meanfemale	4.046532373	FC5
TRINITY_DN115389_c0_g1_i1	meanfemale	7.28574855	FC5
TRINITY_DN126089_c1_g1_i2	meanfemale	3.887068793	FC5
TRINITY_DN126124_c0_g1_i1	meanfemale	3.605394424	FC5
TRINITY_DN131473_c0_g2_i4	meanfemale	5.724405485	FC5
