Gonad	F-bias	Go_F-bias		TRINITY_DN63671_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN1373_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN96442_c0_g2_i2			
Gonad	F-bias	Go_F-bias		TRINITY_DN65335_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN68054_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN84399_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN193911_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN101171_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN135690_c1_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN133899_c4_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN170036_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN196817_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN96493_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN121505_c1_g3_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN129784_c1_g7_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN125892_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN132837_c1_g8_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN133563_c2_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN151939_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN127522_c0_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN123918_c0_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN128642_c2_g2_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN114651_c0_g1_i3			
Gonad	F-bias	Go_F-bias		TRINITY_DN134429_c5_g1_i1			
Gonad	F-bias	Go_F-bias		TRINITY_DN129581_c0_g1_i5			
Gonad	F-bias	Go_F-bias		TRINITY_DN130680_c2_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN132119_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN135594_c6_g2_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN123054_c2_g2_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN130174_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN127055_c1_g7_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN126662_c0_g2_i5			
Gonad	M-bias	Go_M-bias		TRINITY_DN117036_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN122118_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN125909_c1_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN115996_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN115328_c0_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN132245_c4_g2_i3			
Gonad	M-bias	Go_M-bias		TRINITY_DN135618_c2_g1_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN120967_c0_g2_i1			
Gonad	M-bias	Go_M-bias		TRINITY_DN126602_c0_g1_i2			
Gonad	M-bias	Go_M-bias		TRINITY_DN131466_c7_g1_i2			
