gene	FDR	logFC
TRINITY_DN126421_c2_g1_i1	1	-0.13262369965737
TRINITY_DN127387_c0_g1_i2	1	-0.231611563558639
TRINITY_DN131026_c3_g5_i2	1	0.137748635599637
TRINITY_DN129065_c4_g6_i1	1	-0.524677543386381
TRINITY_DN127022_c2_g2_i2	1	-0.0576888792072866
TRINITY_DN96901_c0_g1_i1	1	-0.163681377449118
TRINITY_DN130180_c1_g7_i9	1	0.21317530631555
TRINITY_DN120448_c1_g1_i3	1	1.37230896387514
TRINITY_DN128780_c0_g1_i1	1	0.023545323151806
TRINITY_DN114358_c0_g2_i1	1	0.375286299550381
TRINITY_DN133551_c0_g1_i1	1	0.0260015579993945
TRINITY_DN129746_c0_g2_i1	1	0.0798208883833359
TRINITY_DN127265_c3_g3_i2	1	-0.172066698611173
TRINITY_DN2318_c0_g1_i1	1	-0.088799017232198
TRINITY_DN131463_c0_g1_i2	1	-0.0216703186895825
TRINITY_DN113938_c0_g1_i1	1	1.47830155120219
TRINITY_DN133707_c3_g2_i2	1	0.014357074950961
TRINITY_DN121351_c0_g1_i1	1	-0.101520906553929
TRINITY_DN123695_c0_g4_i2	1	0.205883158014497
TRINITY_DN122714_c15_g1_i1	1	-0.0649797698112624
TRINITY_DN102078_c0_g1_i1	1	0.100163543971235
TRINITY_DN130934_c0_g1_i1	1	0.666964064096735
TRINITY_DN123711_c0_g1_i1	1	-0.148259002645292
TRINITY_DN136537_c1_g1_i1	1	-0.00395224029332273
TRINITY_DN71418_c0_g2_i1	1	-0.645833472960591
TRINITY_DN124189_c0_g5_i1	1	0.35921955698233
TRINITY_DN133161_c1_g1_i12	1	0.374235081770694
TRINITY_DN46159_c0_g1_i1	1	0.547091354051259
TRINITY_DN132574_c2_g1_i2	1	0.0487245202074577
TRINITY_DN135785_c0_g4_i1	1	-0.73884028426173
TRINITY_DN9782_c0_g1_i1	1	-0.254953677546999
TRINITY_DN103037_c0_g1_i1	1	1.87475288953875
TRINITY_DN113011_c0_g3_i1	1	0.652209795100331
TRINITY_DN136374_c5_g4_i2	1	0.27529199429929
TRINITY_DN111143_c0_g1_i2	1	0.585647056362494
TRINITY_DN74683_c0_g1_i1	1	0.227218543937289
TRINITY_DN125487_c0_g2_i2	1	-0.118131907474543
TRINITY_DN132552_c1_g1_i4	1	0.475088370196093
TRINITY_DN124078_c1_g4_i1	1	0.614747610361754
TRINITY_DN118942_c0_g9_i1	1	-0.510981081951556
TRINITY_DN115577_c1_g1_i1	1	-0.106621185903925
TRINITY_DN120456_c0_g1_i1	1	-0.989094052062436
TRINITY_DN135087_c10_g6_i1	1	0.0962183183180223
TRINITY_DN130950_c1_g1_i4	1	-0.0076575095437222
TRINITY_DN129483_c3_g3_i1	1	-0.280451022975763
TRINITY_DN127771_c1_g4_i4	1	-0.176152193794481
TRINITY_DN111029_c0_g1_i3	1	-0.606441267086573
TRINITY_DN129483_c3_g2_i2	1	-0.284775217760886
TRINITY_DN134572_c0_g3_i1	1	-0.11120129252118
