gid	tau	tissue	stage
TRINITY_DN135417_c4_g4_i8	0.327682668	Ovary_mean	G23
TRINITY_DN123314_c1_g1_i1	0.432029379	Brain_mmean	G23
TRINITY_DN132999_c0_g1_i3	0.194549203	G23_fmean	G23
TRINITY_DN131392_c0_g1_i2	0.496353042	Ovary_mean	G23
TRINITY_DN132264_c1_g1_i5	0.616114047	Brain_mmean	G23
TRINITY_DN131034_c5_g2_i1	0.532969688	Brain_mmean	G23
TRINITY_DN92721_c0_g1_i1	0.639082683	G23_fmean	G23
TRINITY_DN117589_c0_g1_i1	0.6004225	Brain_mmean	G23
TRINITY_DN133157_c0_g1_i1	0.248755131	Testis_mean	G23
TRINITY_DN119262_c0_g1_i1	0.159775453	Brain_fmean	G23
TRINITY_DN128650_c0_g2_i1	0.350612405	Brain_mmean	G23
TRINITY_DN128916_c0_g1_i2	0.463080975	Brain_mmean	G23
TRINITY_DN129216_c2_g1_i3	0.296618554	Brain_fmean	G23
TRINITY_DN135922_c0_g3_i17	0.335226418	Ovary_mean	G23
TRINITY_DN136267_c1_g13_i1	0.149149978	Testis_mean	G23
TRINITY_DN132599_c0_g1_i3	0.408076599	Brain_fmean	G23
TRINITY_DN136031_c6_g1_i4	0.22797446	G27_mmean	G23
TRINITY_DN132698_c0_g5_i15	0.266819891	G46_F_mean	G23
TRINITY_DN104835_c0_g1_i2	0.24859013	G46_F_mean	G23
TRINITY_DN124037_c0_g2_i6	0.181097202	Brain_mmean	G23
TRINITY_DN136283_c14_g6_i1	0.256605273	G27_mmean	G23
TRINITY_DN135014_c3_g1_i2	0.233269213	Ovary_mean	G23
TRINITY_DN126692_c6_g2_i8	0.331131974	Ovary_mean	G23
TRINITY_DN110844_c0_g1_i1	0.409339333	Ovary_mean	G23
TRINITY_DN134964_c0_g2_i1	0.574785573	Ovary_mean	G23
TRINITY_DN130783_c0_g1_i2	0.650383984	G23_mmean	G23
TRINITY_DN128830_c0_g4_i4	0.498111587	Brain_fmean	G23
TRINITY_DN38071_c0_g1_i1	0.103313964	G46_F_mean	G23
TRINITY_DN119047_c0_g1_i1	0.40984624	Ovary_mean	G23
TRINITY_DN133619_c5_g2_i1	0.208158641	Brain_mmean	G23
TRINITY_DN131742_c1_g1_i1	0.614019751	G27_mmean	G23
TRINITY_DN109275_c0_g1_i1	0.514076437	Ovary_mean	G23
TRINITY_DN122514_c0_g2_i1	0.300126888	Ovary_mean	G23
TRINITY_DN136637_c5_g3_i3	0.522947128	Liver_fmean	G23
TRINITY_DN128723_c0_g1_i1	0.684053952	Brain_fmean	G23
TRINITY_DN129064_c2_g1_i1	0.257980132	G23_mmean	G23
TRINITY_DN115041_c0_g1_i2	0.301173119	Testis_mean	G23
TRINITY_DN130584_c1_g3_i5	0.047244427	Testis_mean	G23
TRINITY_DN129402_c0_g1_i1	0.316811906	G23_fmean	G23
TRINITY_DN93354_c0_g3_i1	0.49866526	G27_fmean	G23
TRINITY_DN136304_c1_g1_i3	0.355653418	Brain_mmean	G23
TRINITY_DN132983_c0_g1_i1	0.441638586	Ovary_mean	G23
TRINITY_DN109621_c1_g1_i1	0.278355656	Brain_mmean	G23
TRINITY_DN133002_c6_g5_i3	0.412726782	Ovary_mean	G23
TRINITY_DN119088_c0_g4_i2	0.319002622	Ovary_mean	G23
TRINITY_DN136352_c5_g5_i4	0.526036975	G46_M_mean	G23
TRINITY_DN84019_c0_g1_i1	0.421654125	Brain_mmean	G23
TRINITY_DN119535_c0_g1_i1	0.211481378	Brain_fmean	G23
TRINITY_DN113427_c0_g3_i2	0.401179858	Ovary_mean	G23
TRINITY_DN125431_c0_g1_i2	0.305651182	Brain_mmean	G23
TRINITY_DN125006_c1_g1_i6	0.394113364	Brain_mmean	G23
TRINITY_DN124173_c0_g1_i4	0.430665041	Ovary_mean	G23
TRINITY_DN135299_c1_g17_i1	0.406674206	Testis_mean	G23
TRINITY_DN112889_c0_g1_i1	0.351892752	Brain_mmean	G23
TRINITY_DN121947_c0_g1_i2	0.263055494	Brain_fmean	G23
TRINITY_DN119194_c0_g3_i2	0.448835162	G27_fmean	G23
TRINITY_DN115983_c0_g1_i2	0.190734169	G23_fmean	G23
TRINITY_DN130560_c3_g2_i1	0.3498311	Testis_mean	G23
TRINITY_DN120005_c0_g1_i1	0.157879016	Ovary_mean	G23
TRINITY_DN135259_c1_g4_i2	0.386178675	Brain_mmean	G23
TRINITY_DN115612_c0_g2_i2	0.4978844	G23_fmean	G23
TRINITY_DN135003_c0_g2_i4	0.25090162	G43_M_mean	G23
TRINITY_DN120784_c2_g1_i1	0.692642234	Ovary_mean	G23
TRINITY_DN103107_c0_g1_i1	0.139536702	Ovary_mean	G23
TRINITY_DN133347_c5_g1_i1	0.202025664	Brain_fmean	G23
TRINITY_DN111538_c0_g1_i2	0.402893291	Ovary_mean	G23
TRINITY_DN128714_c1_g2_i3	0.436105771	G31_fmean	G23
TRINITY_DN135115_c0_g3_i2	0.448611904	G23_fmean	G23
TRINITY_DN133964_c1_g2_i1	0.312283204	Brain_fmean	G23
TRINITY_DN134056_c1_g1_i2	0.460738329	Ovary_mean	G23
TRINITY_DN135036_c1_g1_i1	0.143488703	Brain_fmean	G23
TRINITY_DN126082_c1_g1_i1	0.364204543	Ovary_mean	G23
TRINITY_DN120623_c0_g1_i1	0.416836911	Ovary_mean	G23
TRINITY_DN126091_c1_g2_i1	0.365279638	G27_mmean	G23
TRINITY_DN132258_c2_g1_i1	0.362344853	Ovary_mean	G23
TRINITY_DN131500_c0_g1_i1	0.351849344	Ovary_mean	G23
TRINITY_DN130202_c0_g1_i3	0.683913521	Ovary_mean	G23
TRINITY_DN129969_c6_g10_i4	0.469688597	G43_M_mean	G23
TRINITY_DN134104_c0_g1_i1	0.632497251	Brain_fmean	G23
TRINITY_DN114876_c0_g1_i1	0.467768645	Brain_fmean	G23
TRINITY_DN134855_c0_g2_i1	0.507556748	Ovary_mean	G23
TRINITY_DN131292_c2_g3_i1	0.220214746	Brain_mmean	G23
TRINITY_DN121178_c0_g1_i2	0.323658201	G23_mmean	G23
TRINITY_DN131696_c6_g2_i2	0.436460898	Brain_mmean	G23
TRINITY_DN122453_c0_g1_i1	0.529767332	G31_mmean	G23
TRINITY_DN131987_c0_g1_i1	0.525528428	G43_M_mean	G23
TRINITY_DN126485_c4_g4_i1	0.224124624	G43_M_mean	G23
TRINITY_DN131537_c8_g1_i8	0.392170345	Brain_mmean	G23
TRINITY_DN121261_c0_g2_i1	0.224901758	Ovary_mean	G23
TRINITY_DN123708_c4_g1_i1	0.418637654	Ovary_mean	G23
TRINITY_DN73699_c0_g1_i1	0.16142989	G23_fmean	G23
TRINITY_DN132958_c0_g1_i6	0.665391116	G23_fmean	G23
TRINITY_DN209718_c0_g1_i1	0.260790971	Ovary_mean	G23
TRINITY_DN134381_c5_g1_i2	0.272936792	Ovary_mean	G23
TRINITY_DN132508_c1_g2_i1	0.315590982	Brain_mmean	G23
TRINITY_DN125134_c9_g1_i2	0.293804764	Ovary_mean	G23
TRINITY_DN129449_c0_g3_i1	0.380709122	Brain_fmean	G23
TRINITY_DN120305_c0_g1_i2	0.27319807	Brain_mmean	G23
TRINITY_DN133712_c0_g7_i4	0.411979426	Brain_mmean	G23
TRINITY_DN134008_c0_g4_i3	0.257941779	G43_M_mean	G23
TRINITY_DN129182_c0_g1_i1	0.6858972	G23_mmean	G23
TRINITY_DN113911_c0_g2_i1	0.553541213	Ovary_mean	G23
TRINITY_DN124511_c2_g1_i14	0.283281846	Ovary_mean	G23
TRINITY_DN129585_c7_g3_i1	0.317636262	Ovary_mean	G23
TRINITY_DN123968_c0_g1_i1	0.181989079	Brain_mmean	G23
TRINITY_DN114830_c0_g1_i1	0.508251767	Ovary_mean	G23
TRINITY_DN131589_c6_g1_i1	0.191911652	Ovary_mean	G23
TRINITY_DN133578_c2_g2_i2	0.075227312	Testis_mean	G23
TRINITY_DN128085_c0_g1_i2	0.660585572	G31_mmean	G23
TRINITY_DN119590_c0_g4_i1	0.57662696	Brain_fmean	G23
TRINITY_DN116557_c0_g1_i2	0.475094761	Ovary_mean	G23
TRINITY_DN127964_c0_g3_i9	0.374994985	G27_mmean	G23
TRINITY_DN133040_c2_g1_i1	0.312958776	G43_M_mean	G23
TRINITY_DN131273_c1_g2_i1	0.56526182	Brain_mmean	G23
TRINITY_DN130933_c7_g5_i6	0.108713819	G23_mmean	G23
TRINITY_DN129658_c2_g4_i1	0.300870922	Ovary_mean	G23
TRINITY_DN130243_c2_g1_i1	0.667055308	Brain_fmean	G23
TRINITY_DN116389_c0_g1_i1	0.170515744	Ovary_mean	G23
TRINITY_DN133129_c1_g8_i2	0.189872072	Testis_mean	G23
TRINITY_DN126272_c2_g1_i1	0.237366975	G43_F_mean	G23
TRINITY_DN135782_c2_g2_i3	0.448012989	Ovary_mean	G23
TRINITY_DN119779_c0_g2_i3	0.482075509	Ovary_mean	G23
TRINITY_DN101488_c0_g2_i2	0.170045449	G23_mmean	G23
TRINITY_DN136091_c7_g1_i1	0.195556165	G23_mmean	G23
TRINITY_DN102667_c0_g1_i1	0.17431997	Brain_fmean	G23
TRINITY_DN136622_c3_g2_i3	0.273187209	Brain_fmean	G23
TRINITY_DN110449_c0_g3_i1	0.159899006	Ovary_mean	G23
TRINITY_DN133218_c0_g1_i2	0.162996065	G31_mmean	G23
TRINITY_DN120562_c0_g1_i1	0.144612606	G23_mmean	G23
TRINITY_DN122588_c2_g3_i1	0.392143682	Ovary_mean	G23
TRINITY_DN132065_c5_g1_i6	0.579841135	Brain_mmean	G23
TRINITY_DN121870_c0_g1_i1	0.344216207	Brain_mmean	G23
TRINITY_DN124230_c0_g2_i1	0.127628625	Testis_mean	G23
TRINITY_DN130141_c2_g1_i3	0.300546027	Brain_mmean	G23
TRINITY_DN117542_c0_g1_i2	0.270178781	Testis_mean	G23
TRINITY_DN130438_c0_g1_i4	0.395502896	Ovary_mean	G23
TRINITY_DN127743_c1_g2_i1	0.212102487	Brain_fmean	G23
TRINITY_DN131487_c9_g3_i1	0.701587379	Ovary_mean	G23
TRINITY_DN132898_c6_g3_i2	0.30978192	Ovary_mean	G23
TRINITY_DN126178_c1_g1_i1	0.566457046	Ovary_mean	G23
TRINITY_DN115248_c0_g1_i2	0.292726449	Ovary_mean	G23
TRINITY_DN123207_c1_g1_i1	0.432038831	G43_F_mean	G23
TRINITY_DN96108_c0_g2_i1	0.434230754	G43_F_mean	G23
TRINITY_DN129684_c6_g1_i2	0.467163562	Testis_mean	G23
TRINITY_DN126268_c0_g2_i1	0.230827026	Ovary_mean	G23
TRINITY_DN123764_c2_g1_i6	0.262402032	Testis_mean	G23
TRINITY_DN134628_c0_g1_i9	0.239247954	G46_F_mean	G23
TRINITY_DN127046_c1_g2_i1	0.194607941	G43_M_mean	G23
TRINITY_DN132722_c2_g2_i3	0.317617425	Brain_mmean	G23
TRINITY_DN117733_c0_g1_i1	0.240239951	Brain_fmean	G23
TRINITY_DN136122_c7_g6_i1	0.300250907	G23_mmean	G23
TRINITY_DN131210_c1_g1_i2	0.408603863	G27_mmean	G23
TRINITY_DN126267_c1_g1_i3	0.170427179	Testis_mean	G23
TRINITY_DN128069_c1_g1_i1	0.483796092	G23_mmean	G23
TRINITY_DN117036_c0_g1_i1	0.334677022	Liver_fmean	G23
TRINITY_DN133769_c10_g3_i1	0.203538786	G23_fmean	G23
TRINITY_DN134453_c2_g1_i11	0.704772719	Brain_fmean	G23
TRINITY_DN129335_c9_g1_i1	0.344153759	Ovary_mean	G23
TRINITY_DN135246_c1_g3_i4	0.444043375	Brain_fmean	G23
TRINITY_DN125466_c2_g1_i1	0.47459017	Ovary_mean	G23
TRINITY_DN129953_c1_g1_i1	0.372324399	Testis_mean	G23
TRINITY_DN117113_c0_g1_i7	0.230696807	Ovary_mean	G23
TRINITY_DN135149_c6_g1_i1	0.1664062	G23_fmean	G23
TRINITY_DN129100_c2_g1_i3	0.392685435	Ovary_mean	G23
TRINITY_DN125295_c0_g1_i1	0.293002861	Ovary_mean	G23
TRINITY_DN96776_c0_g2_i1	0.299954701	Testis_mean	G23
TRINITY_DN132139_c5_g2_i1	0.152329144	Ovary_mean	G23
TRINITY_DN125906_c8_g3_i13	0.496818723	Brain_mmean	G23
TRINITY_DN121531_c2_g4_i1	0.327369658	Ovary_mean	G23
TRINITY_DN127748_c2_g1_i4	0.346199248	Ovary_mean	G23
TRINITY_DN136635_c14_g2_i1	0.177890604	Liver_fmean	G23
TRINITY_DN109577_c0_g2_i1	0.316517667	G27_mmean	G23
TRINITY_DN130406_c0_g1_i1	0.506712839	Ovary_mean	G23
TRINITY_DN123674_c0_g1_i5	0.457776222	Ovary_mean	G23
TRINITY_DN111968_c1_g1_i1	0.535088786	Ovary_mean	G23
TRINITY_DN128547_c6_g2_i3	0.47500271	G46_M_mean	G23
TRINITY_DN119804_c0_g1_i1	0.203855959	Ovary_mean	G23
TRINITY_DN109459_c0_g1_i1	0.428867672	Brain_mmean	G23
TRINITY_DN133737_c7_g1_i2	0.253979838	G23_mmean	G23
TRINITY_DN117265_c0_g1_i7	0.237094868	Testis_mean	G23
TRINITY_DN126944_c2_g6_i2	0.288132762	Brain_mmean	G23
TRINITY_DN133299_c0_g1_i4	0.45087626	Ovary_mean	G23
TRINITY_DN120971_c0_g1_i1	0.473604135	Liver_fmean	G23
TRINITY_DN131272_c0_g3_i1	0.501954382	Ovary_mean	G23
TRINITY_DN115718_c0_g2_i4	0.291492327	Ovary_mean	G23
TRINITY_DN3392_c0_g1_i1	0.398322852	Ovary_mean	G23
TRINITY_DN125138_c5_g1_i1	0.126226498	Testis_mean	G23
TRINITY_DN74831_c0_g1_i1	0.454505273	Ovary_mean	G23
TRINITY_DN119102_c3_g7_i5	0.416879423	Ovary_mean	G23
TRINITY_DN121452_c0_g1_i3	0.520506669	Ovary_mean	G23
TRINITY_DN136559_c6_g1_i1	0.219975932	Brain_mmean	G23
TRINITY_DN108746_c0_g1_i1	0.11727182	Brain_mmean	G23
TRINITY_DN126769_c1_g2_i1	0.246944253	G23_fmean	G23
TRINITY_DN135100_c2_g4_i1	0.230166742	G23_mmean	G23
TRINITY_DN105951_c0_g1_i1	0.307310583	Ovary_mean	G23
TRINITY_DN134521_c1_g13_i1	0.259742367	G43_F_mean	G23
TRINITY_DN126696_c2_g1_i1	0.278991332	G46_F_mean	G23
TRINITY_DN126920_c0_g2_i2	0.226551728	Ovary_mean	G23
TRINITY_DN68190_c0_g1_i1	0.337377284	Ovary_mean	G23
TRINITY_DN114905_c0_g3_i2	0.194964723	G43_M_mean	G23
TRINITY_DN134852_c1_g1_i1	0.218482633	Brain_mmean	G23
TRINITY_DN130420_c0_g3_i7	0.353174923	Ovary_mean	G23
TRINITY_DN118933_c2_g2_i1	0.345499766	Ovary_mean	G23
TRINITY_DN122464_c0_g1_i1	0.344569296	Ovary_mean	G23
TRINITY_DN131808_c0_g4_i3	0.290357563	G46_F_mean	G23
TRINITY_DN132650_c6_g5_i5	0.277774708	Ovary_mean	G23
TRINITY_DN128561_c1_g3_i4	0.28434766	G31_mmean	G23
TRINITY_DN120459_c0_g2_i2	0.335074778	Ovary_mean	G23
TRINITY_DN133467_c5_g3_i5	0.18918025	G23_fmean	G23
TRINITY_DN133478_c1_g1_i8	0.53436199	Brain_mmean	G23
TRINITY_DN128092_c3_g2_i1	0.128454332	Brain_mmean	G23
TRINITY_DN133283_c1_g1_i1	0.266040432	Brain_mmean	G23
TRINITY_DN129361_c4_g3_i2	0.378552165	Ovary_mean	G23
TRINITY_DN108061_c0_g1_i1	0.159037928	Ovary_mean	G23
TRINITY_DN123008_c3_g1_i2	0.120202404	Ovary_mean	G23
TRINITY_DN100882_c0_g1_i1	0.326273107	Ovary_mean	G23
TRINITY_DN116229_c1_g1_i3	0.205857561	Ovary_mean	G23
TRINITY_DN123597_c2_g1_i2	0.470616861	Brain_fmean	G23
TRINITY_DN126907_c2_g1_i1	0.047101269	Testis_mean	G23
TRINITY_DN127028_c2_g1_i2	0.46495914	Ovary_mean	G23
TRINITY_DN121636_c0_g4_i2	0.732867615	G23_fmean	G23
TRINITY_DN127920_c0_g1_i1	0.20604292	Brain_mmean	G23
TRINITY_DN111223_c0_g1_i1	0.379108225	Ovary_mean	G23
TRINITY_DN132887_c4_g2_i1	0.292437699	G23_mmean	G23
TRINITY_DN132163_c5_g7_i3	0.500405129	Ovary_mean	G23
TRINITY_DN118546_c0_g1_i1	0.201214222	Ovary_mean	G23
TRINITY_DN131767_c0_g2_i1	0.423846441	G27_mmean	G23
TRINITY_DN136581_c22_g1_i1	0.250526262	Brain_mmean	G23
TRINITY_DN102362_c0_g1_i1	0.225177242	Ovary_mean	G23
TRINITY_DN100034_c0_g1_i1	0.154410881	G46_F_mean	G23
TRINITY_DN129082_c0_g3_i18	0.221245425	Brain_fmean	G23
TRINITY_DN130081_c0_g2_i16	0.265543894	G46_F_mean	G23
TRINITY_DN125036_c2_g3_i1	0.354088849	Brain_mmean	G23
TRINITY_DN96535_c0_g1_i1	0.160743165	G23_mmean	G23
TRINITY_DN125364_c0_g2_i1	0.354439705	G43_F_mean	G23
TRINITY_DN133961_c1_g1_i1	0.171752788	Brain_fmean	G23
TRINITY_DN131480_c4_g1_i1	0.316993905	Brain_mmean	G23
TRINITY_DN134410_c0_g2_i3	0.178527367	G27_mmean	G23
TRINITY_DN129940_c0_g1_i4	0.447400326	G43_M_mean	G23
TRINITY_DN122959_c0_g1_i3	0.659518512	Brain_mmean	G23
TRINITY_DN121544_c0_g1_i2	0.5535201	Brain_fmean	G23
TRINITY_DN130987_c1_g1_i1	0.496112953	Brain_mmean	G23
TRINITY_DN125294_c0_g1_i1	0.414071413	Brain_fmean	G23
TRINITY_DN132961_c2_g1_i1	0.481113332	G23_mmean	G23
TRINITY_DN134481_c0_g2_i1	0.340567925	Liver_mmean	G23
TRINITY_DN128135_c3_g3_i2	0.385323632	Liver_fmean	G23
TRINITY_DN134088_c4_g4_i1	0.254714165	Ovary_mean	G23
TRINITY_DN131346_c4_g5_i6	0.330520434	Testis_mean	G23
TRINITY_DN129827_c5_g2_i1	0.331955205	G46_M_mean	G23
TRINITY_DN132336_c0_g1_i3	0.533258494	Ovary_mean	G23
TRINITY_DN127097_c1_g1_i5	0.280671003	Ovary_mean	G23
TRINITY_DN93963_c0_g1_i1	0.119663912	G27_fmean	G23
TRINITY_DN132731_c2_g1_i3	0.330022277	G23_mmean	G23
TRINITY_DN129661_c1_g5_i1	0.116393352	G27_fmean	G23
TRINITY_DN131213_c0_g5_i3	0.336762977	Ovary_mean	G23
TRINITY_DN118487_c0_g4_i1	0.302937333	Brain_mmean	G23
TRINITY_DN134861_c0_g1_i5	0.38838141	Ovary_mean	G23
TRINITY_DN136407_c5_g1_i3	0.514887299	Liver_mmean	G23
TRINITY_DN130769_c2_g4_i6	0.213357724	Testis_mean	G23
TRINITY_DN126256_c5_g1_i6	0.224296874	G23_fmean	G23
TRINITY_DN120313_c1_g1_i1	0.383469934	G27_mmean	G23
TRINITY_DN116714_c1_g1_i3	0.447335152	Brain_mmean	G23
TRINITY_DN128815_c0_g4_i1	0.116910247	Testis_mean	G23
TRINITY_DN129858_c0_g3_i1	0.065991571	Testis_mean	G23
TRINITY_DN133173_c0_g1_i1	0.46404609	Ovary_mean	G23
TRINITY_DN128390_c3_g1_i1	0.48653845	Ovary_mean	G23
TRINITY_DN112100_c0_g1_i1	0.16243017	Ovary_mean	G23
TRINITY_DN120593_c0_g1_i1	0.446583943	Ovary_mean	G23
TRINITY_DN131269_c11_g2_i2	0.126962881	G23_fmean	G23
TRINITY_DN124518_c0_g1_i1	0.269686219	Ovary_mean	G23
TRINITY_DN102444_c0_g1_i1	0.360773137	Ovary_mean	G23
TRINITY_DN126198_c0_g1_i2	0.147950525	G23_fmean	G23
TRINITY_DN112800_c0_g1_i2	0.504803777	Ovary_mean	G23
TRINITY_DN134500_c0_g1_i1	0.375702192	Brain_fmean	G23
TRINITY_DN132360_c0_g3_i2	0.363575144	G31_mmean	G23
TRINITY_DN117838_c2_g1_i2	0.622162899	Ovary_mean	G23
TRINITY_DN134374_c0_g2_i5	0.28831009	Brain_fmean	G23
TRINITY_DN123854_c0_g4_i5	0.298041273	G46_M_mean	G23
TRINITY_DN136112_c0_g1_i2	0.404227431	Brain_mmean	G23
TRINITY_DN129629_c1_g1_i1	0.237598428	Brain_mmean	G23
TRINITY_DN121968_c0_g2_i2	0.169054786	Testis_mean	G23
TRINITY_DN131366_c0_g1_i1	0.303560195	G23_mmean	G23
TRINITY_DN133162_c0_g3_i3	0.224378266	Ovary_mean	G23
TRINITY_DN135100_c2_g2_i4	0.216261447	G23_mmean	G23
TRINITY_DN123270_c0_g3_i6	0.522655266	Brain_mmean	G23
TRINITY_DN132613_c1_g1_i1	0.25787113	Testis_mean	G23
TRINITY_DN133010_c0_g3_i1	0.155300484	G23_fmean	G23
TRINITY_DN122130_c0_g1_i3	0.217958895	Testis_mean	G23
TRINITY_DN134602_c2_g3_i2	0.215532692	G23_fmean	G23
TRINITY_DN131774_c0_g1_i4	0.267508107	Ovary_mean	G23
TRINITY_DN133417_c3_g3_i1	0.351554023	Liver_fmean	G23
TRINITY_DN110750_c1_g2_i1	0.312674829	Ovary_mean	G23
TRINITY_DN123875_c2_g1_i2	0.145860924	G23_fmean	G23
TRINITY_DN120670_c0_g4_i2	0.452209849	G43_M_mean	G23
TRINITY_DN136058_c1_g5_i2	0.127620428	G46_M_mean	G23
TRINITY_DN136172_c0_g1_i1	0.507917222	Brain_mmean	G23
TRINITY_DN132072_c5_g1_i5	0.390890028	Brain_fmean	G23
TRINITY_DN127333_c1_g1_i5	0.461502801	G46_M_mean	G46
TRINITY_DN135409_c1_g3_i4	0.280504882	Brain_mmean	G46
TRINITY_DN120582_c1_g2_i1	0.131377723	Testis_mean	G46
TRINITY_DN125523_c6_g3_i1	0.39929648	G23_mmean	G46
TRINITY_DN123376_c1_g1_i2	0.342722266	Brain_fmean	G46
TRINITY_DN133014_c5_g4_i7	0.281428433	Brain_mmean	G46
TRINITY_DN205013_c0_g1_i1	0.715303206	G46_M_mean	G46
TRINITY_DN118987_c0_g1_i1	0.232224044	Ovary_mean	G46
TRINITY_DN119494_c0_g1_i1	0.866944018	Ovary_mean	G46
TRINITY_DN132231_c0_g2_i2	0.117911184	Liver_fmean	G46
TRINITY_DN134708_c12_g1_i1	0.185104207	Brain_fmean	G46
TRINITY_DN127557_c7_g5_i1	0.435531783	Liver_fmean	G46
TRINITY_DN127626_c0_g3_i1	0.0941685	Testis_mean	G46
TRINITY_DN131416_c0_g1_i2	0.312504967	Brain_mmean	G46
TRINITY_DN124239_c5_g1_i4	0.327437805	Brain_fmean	G46
TRINITY_DN115163_c0_g1_i1	0.334950001	G27_fmean	G46
TRINITY_DN120182_c0_g1_i4	0.205711302	Testis_mean	G46
TRINITY_DN125473_c4_g2_i1	0.589169808	Brain_mmean	G46
TRINITY_DN113795_c0_g1_i4	0.188101652	Brain_mmean	G46
TRINITY_DN128975_c2_g1_i4	0.296230499	Ovary_mean	G46
TRINITY_DN127931_c1_g1_i5	0.364649684	Testis_mean	G46
TRINITY_DN135322_c0_g2_i1	0.364351632	Brain_fmean	G46
TRINITY_DN114256_c0_g1_i1	0.289022168	Ovary_mean	G46
TRINITY_DN114600_c0_g1_i1	0.106183983	G43_M_mean	G46
TRINITY_DN132347_c2_g2_i1	0.306149026	G43_M_mean	G46
TRINITY_DN95726_c0_g1_i1	0.391632843	Testis_mean	G46
TRINITY_DN134984_c0_g1_i1	0.555184844	G46_M_mean	G46
TRINITY_DN128976_c1_g1_i1	0.205135638	Brain_fmean	G46
TRINITY_DN123426_c1_g4_i1	0.204015646	G23_mmean	G46
TRINITY_DN128847_c0_g1_i11	0.385347715	Brain_fmean	G46
TRINITY_DN134318_c0_g3_i1	0.435052517	G43_M_mean	G46
TRINITY_DN130367_c5_g5_i2	0.435166523	Ovary_mean	G46
TRINITY_DN134257_c1_g9_i5	0.101547954	G43_M_mean	G46
TRINITY_DN110298_c0_g2_i1	0.183550683	G46_F_mean	G46
TRINITY_DN117235_c0_g3_i1	0.652737276	Ovary_mean	G46
TRINITY_DN133256_c3_g3_i1	0.452389396	Ovary_mean	G46
TRINITY_DN133682_c1_g1_i3	0.625508965	Ovary_mean	G46
TRINITY_DN119788_c0_g1_i2	0.163404653	Liver_fmean	G46
TRINITY_DN135454_c0_g10_i2	0.282265992	Ovary_mean	G46
TRINITY_DN129757_c0_g1_i1	0.507640299	Ovary_mean	G46
TRINITY_DN120501_c0_g1_i2	0.274697131	Ovary_mean	G46
TRINITY_DN134539_c1_g2_i10	0.717032826	G46_M_mean	G46
TRINITY_DN134750_c8_g2_i1	0.267668845	Ovary_mean	G46
TRINITY_DN131962_c1_g8_i4	0.373400665	G46_M_mean	G46
TRINITY_DN109468_c0_g1_i1	0.424294027	G43_F_mean	G46
TRINITY_DN117322_c0_g1_i1	0.193640962	Brain_mmean	G46
TRINITY_DN109907_c0_g1_i1	0.204514594	Testis_mean	G46
TRINITY_DN136457_c10_g1_i5	0.675435783	Brain_fmean	G46
TRINITY_DN42968_c0_g1_i1	0.342338968	Brain_fmean	G46
TRINITY_DN135791_c2_g4_i3	0.455792906	Ovary_mean	G46
TRINITY_DN127561_c5_g1_i1	0.381056976	Brain_mmean	G46
TRINITY_DN126796_c0_g13_i2	0.415920729	Ovary_mean	G46
TRINITY_DN135869_c1_g3_i2	0.383791367	G46_M_mean	G46
TRINITY_DN129930_c1_g3_i2	0.240945002	Ovary_mean	G46
TRINITY_DN124502_c0_g2_i8	0.383022687	Ovary_mean	G46
TRINITY_DN121327_c0_g1_i1	0.505228078	G46_F_mean	G46
TRINITY_DN123553_c0_g1_i1	0.114952845	G43_M_mean	G46
TRINITY_DN128521_c1_g1_i4	0.260035122	Ovary_mean	G46
TRINITY_DN128334_c1_g2_i2	0.408057934	G46_M_mean	G46
TRINITY_DN117897_c2_g4_i3	0.260911836	Liver_mmean	G46
TRINITY_DN109892_c0_g1_i1	0.420458031	G43_F_mean	G46
TRINITY_DN4687_c0_g1_i1	0.64214955	G46_M_mean	G46
TRINITY_DN126582_c1_g1_i4	0.17868001	Liver_mmean	G46
TRINITY_DN121229_c0_g1_i4	0.554495227	Liver_fmean	G46
TRINITY_DN123398_c4_g2_i4	0.11251504	G23_fmean	G46
TRINITY_DN102279_c0_g2_i1	0.17047988	G23_fmean	G46
TRINITY_DN131742_c0_g1_i1	0.649545308	G46_M_mean	G46
TRINITY_DN128128_c0_g3_i1	0.322905258	Liver_fmean	G46
TRINITY_DN130550_c0_g1_i3	0.83556427	G46_M_mean	G46
TRINITY_DN117817_c0_g1_i1	0.120561329	G23_fmean	G46
TRINITY_DN132278_c0_g1_i3	0.253023137	Ovary_mean	G46
TRINITY_DN111882_c0_g2_i2	0.308685589	Ovary_mean	G46
TRINITY_DN122437_c0_g1_i2	0.105862599	Ovary_mean	G46
TRINITY_DN132324_c0_g1_i2	0.3448399	Ovary_mean	G46
TRINITY_DN134850_c2_g14_i1	0.272117957	Brain_mmean	G46
TRINITY_DN127250_c1_g1_i3	0.270482868	G27_mmean	G46
TRINITY_DN127117_c3_g1_i1	0.316551307	G43_M_mean	G46
TRINITY_DN123869_c1_g1_i1	0.131404231	G23_fmean	G46
TRINITY_DN136434_c0_g2_i1	0.334818993	G43_F_mean	G46
TRINITY_DN123052_c0_g1_i2	0.961180611	Ovary_mean	G46
TRINITY_DN128645_c0_g1_i6	0.565149306	Brain_mmean	G46
TRINITY_DN127922_c6_g3_i1	0.443583306	Ovary_mean	G46
TRINITY_DN113502_c0_g1_i1	0.112230398	G23_mmean	G46
