gid	tau	tissue	stage
TRINITY_DN125414_c1_g3_i6	0.508628154	Brain_mmean	G23
TRINITY_DN128976_c1_g1_i1	0.205135638	Brain_fmean	G23
TRINITY_DN123426_c1_g4_i1	0.204015646	G23_mmean	G23
TRINITY_DN134318_c0_g3_i1	0.435052517	G43_M_mean	G23
TRINITY_DN130367_c5_g5_i2	0.435166523	Ovary_mean	G23
TRINITY_DN116635_c0_g1_i1	0.651146014	G27_fmean	G23
TRINITY_DN134257_c1_g9_i5	0.101547954	G43_M_mean	G23
TRINITY_DN110298_c0_g2_i1	0.183550683	G46_F_mean	G23
TRINITY_DN132821_c9_g1_i1	0.409353227	Ovary_mean	G23
TRINITY_DN133256_c3_g3_i1	0.452389396	Ovary_mean	G23
TRINITY_DN131085_c9_g2_i1	0.312742532	Brain_fmean	G23
TRINITY_DN133682_c1_g1_i3	0.625508965	Ovary_mean	G23
TRINITY_DN119788_c0_g1_i2	0.163404653	Liver_fmean	G23
TRINITY_DN135454_c0_g10_i2	0.282265992	Ovary_mean	G23
TRINITY_DN118108_c0_g2_i1	0.427360658	Ovary_mean	G23
TRINITY_DN129757_c0_g1_i1	0.507640299	Ovary_mean	G23
TRINITY_DN120501_c0_g1_i2	0.274697131	Ovary_mean	G23
TRINITY_DN134750_c8_g2_i1	0.267668845	Ovary_mean	G23
TRINITY_DN131962_c1_g8_i4	0.373400665	G46_M_mean	G23
TRINITY_DN127386_c0_g1_i14	0.356633343	Brain_mmean	G23
TRINITY_DN136717_c7_g2_i2	0.30595939	G23_fmean	G23
TRINITY_DN117322_c0_g1_i1	0.193640962	Brain_mmean	G23
TRINITY_DN135829_c0_g1_i5	0.620948933	Ovary_mean	G23
TRINITY_DN109907_c0_g1_i1	0.204514594	Testis_mean	G23
TRINITY_DN136457_c10_g1_i5	0.675435783	Brain_fmean	G23
TRINITY_DN42968_c0_g1_i1	0.342338968	Brain_fmean	G23
TRINITY_DN135791_c2_g4_i3	0.455792906	Ovary_mean	G23
TRINITY_DN127561_c5_g1_i1	0.381056976	Brain_mmean	G23
TRINITY_DN107071_c0_g1_i1	0.370165089	G23_mmean	G23
TRINITY_DN126796_c0_g13_i2	0.415920729	Ovary_mean	G23
TRINITY_DN132547_c1_g8_i2	0.516266334	Brain_fmean	G23
TRINITY_DN135869_c1_g3_i2	0.383791367	G46_M_mean	G23
TRINITY_DN129930_c1_g3_i2	0.240945002	Ovary_mean	G23
TRINITY_DN124502_c0_g2_i8	0.383022687	Ovary_mean	G23
TRINITY_DN133692_c2_g4_i1	0.509331475	Ovary_mean	G23
TRINITY_DN121327_c0_g1_i1	0.505228078	G46_F_mean	G23
TRINITY_DN123553_c0_g1_i1	0.114952845	G43_M_mean	G23
TRINITY_DN133890_c0_g2_i4	0.222931832	G23_mmean	G23
TRINITY_DN128521_c1_g1_i4	0.260035122	Ovary_mean	G23
TRINITY_DN128334_c1_g2_i2	0.408057934	G46_M_mean	G23
TRINITY_DN117897_c2_g4_i3	0.260911836	Liver_mmean	G23
TRINITY_DN126582_c1_g1_i4	0.17868001	Liver_mmean	G23
TRINITY_DN44076_c0_g2_i1	0.407098399	Ovary_mean	G23
TRINITY_DN121229_c0_g1_i4	0.554495227	Liver_fmean	G23
TRINITY_DN123398_c4_g2_i4	0.11251504	G23_fmean	G23
TRINITY_DN102279_c0_g2_i1	0.17047988	G23_fmean	G23
TRINITY_DN128128_c0_g3_i1	0.322905258	Liver_fmean	G23
TRINITY_DN117817_c0_g1_i1	0.120561329	G23_fmean	G23
TRINITY_DN132278_c0_g1_i3	0.253023137	Ovary_mean	G23
TRINITY_DN126940_c4_g3_i1	0.464001192	G23_fmean	G23
TRINITY_DN123398_c5_g1_i5	0.507573128	Ovary_mean	G23
TRINITY_DN129444_c0_g1_i1	0.576175304	G23_mmean	G23
TRINITY_DN118203_c0_g1_i1	0.627634831	Brain_fmean	G23
TRINITY_DN111882_c0_g2_i2	0.308685589	Ovary_mean	G23
TRINITY_DN122437_c0_g1_i2	0.105862599	Ovary_mean	G23
TRINITY_DN132324_c0_g1_i2	0.3448399	Ovary_mean	G23
TRINITY_DN134850_c2_g14_i1	0.272117957	Brain_mmean	G23
TRINITY_DN127250_c1_g1_i3	0.270482868	G27_mmean	G23
