ID	Tissue_specific_index	Tissue_name
TRINITY_DN170084_c0_g1_i1	1	Liver_fmean
TRINITY_DN102467_c0_g1_i1	1	Ovary_mean
TRINITY_DN94289_c0_g3_i1	1	Ovary_mean
TRINITY_DN89311_c0_g1_i1	1	Ovary_mean
TRINITY_DN129802_c0_g7_i1	1	Testis_mean
TRINITY_DN166418_c0_g1_i1	1	Ovary_mean
TRINITY_DN140224_c0_g1_i1	1	Ovary_mean
TRINITY_DN128648_c7_g1_i1	1	Ovary_mean
TRINITY_DN24927_c0_g2_i1	1	Ovary_mean
TRINITY_DN142806_c0_g1_i1	1	Ovary_mean
TRINITY_DN9570_c0_g1_i1	1	Ovary_mean
TRINITY_DN111471_c0_g1_i2	1	Ovary_mean
TRINITY_DN123962_c3_g1_i1	1	Ovary_mean
TRINITY_DN92329_c0_g1_i1	1	Ovary_mean
TRINITY_DN33437_c0_g1_i1	1	Ovary_mean
TRINITY_DN153445_c0_g1_i1	1	Ovary_mean
TRINITY_DN160744_c0_g1_i1	1	Ovary_mean
TRINITY_DN15800_c0_g2_i1	1	Ovary_mean
TRINITY_DN203759_c0_g1_i1	1	Ovary_mean
TRINITY_DN98586_c0_g1_i2	1	Ovary_mean
TRINITY_DN186670_c0_g1_i1	1	Ovary_mean
TRINITY_DN8624_c0_g1_i1	1	Ovary_mean
TRINITY_DN16362_c0_g1_i1	1	Ovary_mean
TRINITY_DN46430_c0_g2_i1	1	Ovary_mean
TRINITY_DN153194_c0_g1_i1	1	Ovary_mean
TRINITY_DN177856_c0_g1_i1	1	Brain_fmean
TRINITY_DN80419_c0_g2_i1	1	Ovary_mean
TRINITY_DN17889_c0_g1_i1	1	Ovary_mean
TRINITY_DN20629_c0_g1_i1	1	Ovary_mean
TRINITY_DN188692_c0_g1_i1	1	Ovary_mean
TRINITY_DN60423_c0_g2_i1	1	Ovary_mean
TRINITY_DN154522_c0_g1_i1	1	Testis_mean
TRINITY_DN139613_c0_g1_i1	1	Ovary_mean
TRINITY_DN177366_c0_g1_i1	1	Ovary_mean
TRINITY_DN76960_c0_g2_i1	1	Ovary_mean
TRINITY_DN7291_c0_g1_i1	1	Ovary_mean
TRINITY_DN103549_c0_g3_i1	1	Ovary_mean
TRINITY_DN51246_c0_g1_i1	1	Ovary_mean
TRINITY_DN170856_c0_g1_i1	1	Ovary_mean
TRINITY_DN106792_c0_g2_i1	1	Testis_mean
TRINITY_DN198609_c0_g2_i1	1	Ovary_mean
TRINITY_DN156102_c0_g1_i1	1	Ovary_mean
TRINITY_DN98505_c0_g1_i1	1	Brain_fmean
TRINITY_DN103637_c0_g3_i1	1	Ovary_mean
TRINITY_DN146529_c0_g1_i1	1	Testis_mean
TRINITY_DN143707_c0_g1_i1	1	Ovary_mean
TRINITY_DN57819_c0_g1_i1	1	Ovary_mean
TRINITY_DN19312_c0_g2_i1	1	Ovary_mean
TRINITY_DN129121_c4_g14_i1	1	Ovary_mean
TRINITY_DN142362_c0_g1_i1	1	Ovary_mean
TRINITY_DN190237_c0_g1_i1	1	Ovary_mean
TRINITY_DN92371_c1_g1_i1	1	Ovary_mean
TRINITY_DN24599_c0_g2_i1	1	Ovary_mean
TRINITY_DN165_c0_g2_i1	1	Ovary_mean
TRINITY_DN142711_c0_g1_i1	1	Ovary_mean
TRINITY_DN151922_c0_g1_i1	1	Ovary_mean
TRINITY_DN82185_c0_g2_i1	1	Ovary_mean
TRINITY_DN155250_c0_g1_i1	1	Ovary_mean
TRINITY_DN87000_c0_g1_i1	1	Ovary_mean
TRINITY_DN130995_c3_g2_i1	1	Ovary_mean
TRINITY_DN40893_c0_g1_i1	1	Ovary_mean
TRINITY_DN155398_c0_g1_i1	1	Ovary_mean
TRINITY_DN209650_c0_g1_i1	1	Ovary_mean
TRINITY_DN193723_c0_g1_i1	1	Ovary_mean
TRINITY_DN72354_c0_g1_i1	1	Testis_mean
TRINITY_DN27150_c0_g1_i1	1	Ovary_mean
TRINITY_DN137082_c0_g1_i1	1	Ovary_mean
TRINITY_DN188440_c0_g1_i1	1	Ovary_mean
TRINITY_DN23451_c0_g1_i1	1	Liver_fmean
