gid	tau	tissue	stage	perc
TRINITY_DN136166_c0_g1_i2	0.370643132	Brain_mmean	G27	top70
TRINITY_DN126656_c3_g3_i2	0.622639773	G46_M_mean	G27	top70
TRINITY_DN120251_c0_g1_i2	0.281781903	Ovary_mean	G27	top70
TRINITY_DN134170_c0_g3_i2	0.647695101	Liver_fmean	G27	top70
TRINITY_DN127456_c0_g1_i5	0.617139758	Brain_mmean	G27	top70
TRINITY_DN124180_c0_g2_i1	0.315895838	Ovary_mean	G27	top70
TRINITY_DN120798_c0_g1_i3	0.371591292	Ovary_mean	G27	top70
TRINITY_DN113395_c0_g1_i5	0.459122723	Ovary_mean	G27	top70
TRINITY_DN126542_c0_g3_i1	0.32152963	G43_F_mean	G27	top70
TRINITY_DN135932_c0_g1_i4	0.77089496	G27_fmean	G27	top70
TRINITY_DN136246_c2_g6_i1	0.48032602	G46_M_mean	G27	top70
TRINITY_DN125870_c0_g1_i1	0.346410783	G23_mmean	G27	top70
TRINITY_DN117744_c0_g1_i1	0.708207918	G27_fmean	G27	top70
TRINITY_DN102429_c0_g1_i2	0.314321121	G43_F_mean	G27	top70
TRINITY_DN132278_c2_g1_i2	0.226730437	G27_mmean	G27	top70
TRINITY_DN132768_c0_g2_i1	0.647189293	Brain_mmean	G27	top70
TRINITY_DN134091_c8_g3_i2	0.257808606	Brain_fmean	G27	top70
TRINITY_DN133390_c2_g2_i1	0.103618978	Testis_mean	G27	top70
TRINITY_DN120525_c0_g1_i2	0.138184753	Testis_mean	G27	top70
TRINITY_DN117632_c0_g2_i2	0.285949386	Liver_fmean	G27	top70
TRINITY_DN89464_c0_g1_i1	0.363953091	Ovary_mean	G27	top70
TRINITY_DN123597_c2_g3_i3	0.427112926	Brain_fmean	G27	top70
TRINITY_DN135099_c2_g1_i1	0.622711159	G43_M_mean	G27	top70
TRINITY_DN131230_c2_g1_i17	0.183967064	G23_fmean	G27	top70
TRINITY_DN130485_c2_g6_i4	0.726613316	Brain_fmean	G27	top70
TRINITY_DN119141_c0_g2_i1	0.410962546	G43_F_mean	G27	top70
TRINITY_DN115021_c0_g1_i1	0.557925027	Brain_fmean	G27	top70
TRINITY_DN125993_c7_g2_i3	0.293203843	Brain_mmean	G27	top70
TRINITY_DN135940_c1_g2_i4	0.629440183	G46_M_mean	G27	top70
TRINITY_DN120336_c2_g1_i1	0.595200542	G46_M_mean	G27	top70
TRINITY_DN132248_c2_g3_i4	0.213512912	G43_F_mean	G27	top70
TRINITY_DN124509_c0_g1_i1	0.641687728	Brain_fmean	G27	top70
TRINITY_DN132159_c2_g1_i2	0.386565182	Ovary_mean	G27	top70
TRINITY_DN130279_c4_g4_i4	0.46474003	Liver_fmean	G27	top70
TRINITY_DN133121_c3_g5_i1	0.226906029	Testis_mean	G27	top70
TRINITY_DN121784_c0_g5_i1	0.763419802	Brain_mmean	G27	top70
TRINITY_DN109560_c0_g1_i1	0.567490799	Ovary_mean	G27	top70
TRINITY_DN136175_c0_g1_i4	0.401529107	Brain_mmean	G27	top70
TRINITY_DN119748_c1_g1_i2	0.332049538	Ovary_mean	G27	top70
TRINITY_DN129231_c0_g1_i3	0.644883676	Ovary_mean	G27	top70
TRINITY_DN115695_c0_g3_i3	0.409362205	Ovary_mean	G27	top70
TRINITY_DN127019_c3_g8_i1	0.403319069	Brain_fmean	G27	top70
TRINITY_DN135013_c1_g2_i1	0.47458347	Ovary_mean	G27	top70
TRINITY_DN98785_c0_g1_i1	0.543816342	G43_F_mean	G27	top70
TRINITY_DN136544_c4_g1_i3	0.474130671	G27_mmean	G27	top70
TRINITY_DN136432_c2_g2_i3	0.475377195	Brain_mmean	G27	top70
TRINITY_DN123084_c6_g1_i1	0.589725026	Brain_mmean	G27	top70
TRINITY_DN136532_c2_g2_i2	0.625884562	Brain_fmean	G27	top70
TRINITY_DN134922_c4_g1_i5	0.211875271	G31_mmean	G27	top70
TRINITY_DN132338_c1_g2_i1	0.106050865	G23_fmean	G27	top70
TRINITY_DN129597_c1_g4_i1	0.272295351	Testis_mean	G27	top70
TRINITY_DN129885_c0_g2_i14	0.55738603	Brain_mmean	G27	top70
TRINITY_DN130881_c3_g4_i2	0.162956587	Ovary_mean	G27	top70
TRINITY_DN134772_c0_g1_i1	0.375329553	G43_F_mean	G27	top70
TRINITY_DN117485_c0_g1_i1	0.202570987	Ovary_mean	G27	top70
TRINITY_DN129066_c0_g2_i4	0.297616827	Testis_mean	G27	top70
TRINITY_DN125465_c3_g1_i3	0.700677339	G46_M_mean	G27	top70
TRINITY_DN136584_c4_g5_i2	0.369941423	Ovary_mean	G27	top70
TRINITY_DN121462_c0_g1_i1	0.487792758	Ovary_mean	G27	top70
TRINITY_DN121142_c0_g1_i2	0.130182066	Brain_mmean	G27	top70
TRINITY_DN129328_c0_g2_i1	0.16842263	Liver_fmean	G27	top70
TRINITY_DN131071_c0_g2_i2	0.283927281	G43_M_mean	G27	top70
TRINITY_DN126367_c3_g1_i1	0.387539114	Brain_mmean	G27	top70
TRINITY_DN129628_c1_g1_i6	0.396235931	G23_fmean	G27	top70
TRINITY_DN112734_c0_g2_i8	0.596168215	Brain_mmean	G27	top70
TRINITY_DN136096_c0_g1_i1	0.504515719	Brain_fmean	G27	top70
TRINITY_DN118135_c0_g1_i1	0.674666995	Brain_mmean	G27	top70
TRINITY_DN132840_c4_g6_i1	0.116864731	G27_mmean	G27	top70
TRINITY_DN121665_c0_g1_i3	0.481118778	G31_fmean	G27	top70
TRINITY_DN133072_c4_g5_i1	0.363684471	Liver_fmean	G27	top70
TRINITY_DN133827_c4_g1_i2	0.471646604	Brain_mmean	G27	top70
TRINITY_DN127236_c4_g7_i4	0.376770175	G27_mmean	G27	top70
TRINITY_DN131709_c1_g1_i1	0.421118329	Ovary_mean	G27	top70
TRINITY_DN122189_c0_g1_i7	0.451885165	G43_F_mean	G27	top70
TRINITY_DN113403_c0_g2_i2	0.398656465	G23_mmean	G27	top70
TRINITY_DN130037_c1_g4_i6	0.705895224	Ovary_mean	G27	top70
TRINITY_DN136247_c3_g2_i9	0.45892566	G31_mmean	G27	top70
TRINITY_DN136737_c44_g1_i1	0.518677121	Brain_fmean	G27	top70
TRINITY_DN129691_c1_g1_i1	0.672203065	Brain_fmean	G27	top70
TRINITY_DN106372_c0_g1_i1	0.240443577	Ovary_mean	G27	top70
TRINITY_DN133402_c0_g1_i2	0.320080519	Ovary_mean	G27	top70
TRINITY_DN134642_c6_g2_i1	0.44049878	Brain_mmean	G27	top70
TRINITY_DN79268_c0_g1_i1	0.314623116	Brain_mmean	G27	top70
TRINITY_DN131451_c1_g1_i1	0.594537852	Ovary_mean	G27	top70
TRINITY_DN134106_c0_g2_i4	0.302656018	G46_M_mean	G27	top70
TRINITY_DN120802_c1_g1_i2	0.493782266	Brain_mmean	G27	top70
TRINITY_DN126001_c0_g1_i1	0.342889547	Ovary_mean	G27	top70
TRINITY_DN133809_c1_g10_i4	0.339592951	Brain_fmean	G27	top70
TRINITY_DN125538_c3_g7_i1	0.136536292	G27_mmean	G27	top70
TRINITY_DN134952_c1_g3_i1	0.358940302	Brain_mmean	G27	top70
TRINITY_DN133367_c3_g1_i4	0.161330787	Brain_mmean	G27	top70
TRINITY_DN120583_c0_g3_i3	0.406466677	Ovary_mean	G27	top70
TRINITY_DN135232_c0_g3_i5	0.67352514	Liver_fmean	G27	top70
TRINITY_DN132610_c3_g1_i1	0.359450116	Liver_fmean	G27	top70
TRINITY_DN110673_c0_g1_i1	0.364818676	Testis_mean	G27	top70
TRINITY_DN124424_c1_g1_i1	0.351810263	Brain_fmean	G27	top70
TRINITY_DN99832_c0_g3_i1	0.508320918	Ovary_mean	G27	top70
TRINITY_DN124622_c3_g2_i2	0.191945806	G31_mmean	G27	top70
TRINITY_DN125575_c3_g1_i1	0.351768047	Brain_fmean	G27	top70
TRINITY_DN125974_c13_g1_i1	0.34957373	G23_fmean	G27	top70
TRINITY_DN134017_c3_g3_i1	0.306546121	G43_M_mean	G27	top70
TRINITY_DN128690_c1_g3_i2	0.348665018	Ovary_mean	G27	top70
TRINITY_DN123308_c4_g1_i7	0.38460962	G23_fmean	G27	top70
TRINITY_DN133651_c2_g4_i1	0.40594821	Brain_fmean	G27	top70
TRINITY_DN110706_c0_g1_i2	0.513881846	Brain_mmean	G27	top70
TRINITY_DN132525_c0_g1_i2	0.610510634	Brain_mmean	G27	top70
TRINITY_DN108912_c0_g1_i3	0.145484526	Brain_mmean	G27	top70
TRINITY_DN40257_c0_g1_i1	0.611892443	G27_mmean	G27	top70
TRINITY_DN114888_c0_g1_i1	0.411896975	Brain_mmean	G27	top70
TRINITY_DN132757_c0_g1_i3	0.248582314	Testis_mean	G27	top70
TRINITY_DN134347_c8_g2_i2	0.471719072	G27_fmean	G27	top70
TRINITY_DN128032_c3_g1_i2	0.483764311	Ovary_mean	G27	top70
TRINITY_DN127895_c0_g2_i1	0.581970681	Brain_fmean	G27	top70
TRINITY_DN135665_c2_g1_i1	0.336696822	G43_M_mean	G27	top70
TRINITY_DN124378_c0_g3_i1	0.405397457	Brain_fmean	G27	top70
TRINITY_DN124354_c0_g3_i1	0.368099141	G23_mmean	G27	top70
TRINITY_DN119356_c0_g1_i1	0.655183016	Ovary_mean	G27	top70
TRINITY_DN121022_c0_g1_i3	0.26006312	Testis_mean	G27	top70
TRINITY_DN133722_c0_g5_i1	0.700416855	Brain_fmean	G27	top70
TRINITY_DN135912_c4_g2_i1	0.168109507	G23_mmean	G27	top70
TRINITY_DN132724_c1_g5_i1	0.871026275	G31_mmean	G27	top70
TRINITY_DN130479_c4_g3_i6	0.369411054	Brain_mmean	G27	top70
TRINITY_DN136352_c5_g4_i1	0.652685643	G27_mmean	G27	top70
TRINITY_DN128810_c1_g6_i1	0.541072725	Brain_fmean	G27	top70
TRINITY_DN119120_c0_g1_i1	0.579227177	G43_F_mean	G27	top70
TRINITY_DN128831_c2_g3_i5	0.438300964	Brain_mmean	G27	top70
TRINITY_DN118490_c0_g1_i1	0.524824086	G43_M_mean	G27	top70
TRINITY_DN128434_c1_g1_i1	0.694149832	Brain_mmean	G27	top70
TRINITY_DN114715_c1_g1_i2	0.547811481	Brain_mmean	G27	top70
TRINITY_DN118700_c1_g1_i2	0.150931159	G23_mmean	G27	top70
TRINITY_DN125767_c3_g4_i4	0.280657221	Ovary_mean	G27	top70
TRINITY_DN134717_c3_g1_i3	0.44673602	Brain_mmean	G27	top70
TRINITY_DN133950_c1_g1_i1	0.330580622	Ovary_mean	G27	top70
TRINITY_DN135794_c5_g2_i1	0.496194674	Brain_fmean	G27	top70
TRINITY_DN120442_c0_g2_i3	0.443468658	G31_fmean	G27	top70
TRINITY_DN134166_c0_g2_i3	0.491159513	Brain_fmean	G27	top70
TRINITY_DN115697_c0_g1_i2	0.159471676	Ovary_mean	G27	top70
TRINITY_DN127026_c0_g1_i1	0.532222392	Brain_fmean	G27	top70
TRINITY_DN120861_c0_g2_i1	0.369978845	Brain_mmean	G27	top70
TRINITY_DN153428_c0_g1_i1	0.224288618	G23_fmean	G27	top70
TRINITY_DN127164_c5_g2_i1	0.602736305	Brain_mmean	G27	top70
TRINITY_DN131202_c6_g6_i1	0.394093027	Testis_mean	G27	top70
TRINITY_DN135403_c1_g1_i1	0.217343323	Ovary_mean	G27	top70
TRINITY_DN124782_c0_g3_i3	0.187545871	G43_M_mean	G27	top70
TRINITY_DN129807_c6_g5_i1	0.401758373	Brain_fmean	G27	top70
TRINITY_DN136220_c5_g7_i1	0.374214289	G43_F_mean	G27	top70
TRINITY_DN99818_c0_g1_i1	0.5141969	Ovary_mean	G27	top70
TRINITY_DN122578_c0_g1_i3	0.546314259	Testis_mean	G27	top70
TRINITY_DN130543_c0_g1_i1	0.595715186	G27_mmean	G27	top70
TRINITY_DN126323_c0_g1_i2	0.27055886	Testis_mean	G27	top70
TRINITY_DN133594_c0_g2_i3	0.265289537	G43_M_mean	G27	top70
TRINITY_DN126954_c0_g1_i2	0.453981736	Brain_mmean	G27	top70
TRINITY_DN126384_c1_g3_i1	0.229247469	Brain_mmean	G27	top70
TRINITY_DN217064_c0_g1_i1	0.726302407	G23_mmean	G27	top70
TRINITY_DN115646_c0_g1_i1	0.536244057	Ovary_mean	G27	top70
TRINITY_DN116359_c0_g1_i2	0.336527633	Ovary_mean	G27	top70
TRINITY_DN130769_c3_g1_i2	0.209030222	Ovary_mean	G27	top70
TRINITY_DN133314_c5_g3_i1	0.276221142	Brain_fmean	G27	top70
TRINITY_DN122484_c1_g1_i1	0.281125084	G27_mmean	G27	top70
TRINITY_DN130105_c7_g7_i2	0.510081662	G46_M_mean	G27	top70
TRINITY_DN132922_c3_g2_i1	0.722178217	Brain_mmean	G27	top70
TRINITY_DN84398_c0_g1_i1	0.743940506	Brain_fmean	G27	top70
TRINITY_DN135448_c5_g1_i4	0.173045505	G23_mmean	G27	top70
TRINITY_DN121264_c0_g1_i3	0.629694648	G43_F_mean	G27	top70
TRINITY_DN131537_c6_g1_i1	0.570416199	Brain_mmean	G27	top70
TRINITY_DN128993_c0_g2_i2	0.473221136	Brain_fmean	G27	top70
TRINITY_DN123417_c0_g2_i2	0.275973036	G43_M_mean	G27	top70
TRINITY_DN127716_c0_g1_i1	0.421193808	Brain_fmean	G27	top70
TRINITY_DN128125_c2_g2_i1	0.1448564	Brain_mmean	G27	top70
TRINITY_DN120617_c0_g1_i1	0.134532619	G23_mmean	G27	top70
TRINITY_DN123485_c3_g2_i1	0.690697054	Liver_mmean	G27	top70
TRINITY_DN130695_c1_g1_i1	0.217791295	G23_mmean	G27	top70
TRINITY_DN111843_c0_g1_i1	0.703877857	G43_M_mean	G27	top70
TRINITY_DN126226_c0_g2_i1	0.506703395	Brain_fmean	G27	top70
TRINITY_DN124848_c4_g1_i6	0.363114762	Brain_mmean	G27	top70
TRINITY_DN121679_c0_g1_i1	0.645880517	Liver_fmean	G27	top70
TRINITY_DN123476_c3_g3_i1	0.233023731	Brain_mmean	G27	top70
TRINITY_DN127824_c2_g1_i1	0.37661353	G43_F_mean	G27	top70
TRINITY_DN128849_c0_g3_i2	0.31054041	Brain_fmean	G27	top70
TRINITY_DN126182_c0_g5_i1	0.310584601	Brain_mmean	G27	top70
TRINITY_DN126082_c1_g2_i1	0.446920382	Ovary_mean	G27	top70
TRINITY_DN127901_c0_g2_i1	0.365931749	G43_M_mean	G27	top70
TRINITY_DN136610_c27_g1_i1	0.419909247	G27_mmean	G27	top70
TRINITY_DN126742_c1_g3_i2	0.497371254	G23_mmean	G27	top70
TRINITY_DN133458_c2_g1_i1	0.508709639	G46_M_mean	G27	top70
TRINITY_DN133420_c2_g1_i1	0.507983618	Brain_fmean	G27	top70
TRINITY_DN128995_c1_g1_i1	0.346643616	Brain_fmean	G27	top70
TRINITY_DN129826_c1_g1_i2	0.395344155	G43_F_mean	G27	top70
TRINITY_DN120236_c2_g1_i2	0.344992659	Ovary_mean	G27	top70
TRINITY_DN9040_c0_g1_i1	0.408062298	G23_fmean	G27	top70
TRINITY_DN133562_c1_g1_i2	0.628809008	Brain_fmean	G27	top70
TRINITY_DN132322_c0_g1_i3	0.186403666	Brain_mmean	G27	top70
TRINITY_DN129599_c4_g1_i1	0.732458122	Brain_mmean	G27	top70
TRINITY_DN135437_c1_g2_i3	0.691657356	Brain_mmean	G27	top70
TRINITY_DN111071_c0_g1_i1	0.55389613	G31_fmean	G27	top70
TRINITY_DN119826_c0_g2_i1	0.285245625	Ovary_mean	G27	top70
TRINITY_DN123490_c2_g1_i2	0.297380299	Ovary_mean	G27	top70
TRINITY_DN119228_c0_g1_i3	0.512492665	Brain_mmean	G27	top70
TRINITY_DN130345_c0_g1_i2	0.420999999	Ovary_mean	G27	top70
TRINITY_DN122176_c0_g2_i3	0.681727237	G27_fmean	G27	top70
TRINITY_DN122112_c0_g1_i2	0.549659474	Brain_mmean	G27	top70
TRINITY_DN122298_c0_g2_i1	0.592207969	Ovary_mean	G27	top70
TRINITY_DN133373_c1_g1_i2	0.726352721	Brain_mmean	G27	top70
TRINITY_DN120038_c0_g2_i1	0.110982399	G27_fmean	G27	top70
TRINITY_DN132554_c1_g2_i2	0.286910413	Brain_mmean	G27	top70
TRINITY_DN123488_c7_g4_i1	0.361575548	Brain_fmean	G27	top70
TRINITY_DN127163_c0_g4_i1	0.358982663	Testis_mean	G27	top70
TRINITY_DN111419_c0_g1_i1	0.713096787	Brain_mmean	G27	top70
TRINITY_DN124806_c0_g5_i2	0.138985929	G43_F_mean	G27	top70
TRINITY_DN115377_c0_g1_i1	0.273844225	Testis_mean	G27	top70
TRINITY_DN134309_c0_g1_i3	0.354256976	Ovary_mean	G27	top70
TRINITY_DN127525_c3_g1_i1	0.238731951	Brain_mmean	G27	top70
TRINITY_DN127479_c3_g1_i1	0.440988791	Brain_mmean	G27	top70
TRINITY_DN132639_c0_g1_i4	0.384098381	Testis_mean	G27	top70
TRINITY_DN131842_c6_g6_i1	0.418634772	Brain_mmean	G27	top70
TRINITY_DN131166_c2_g7_i2	0.497750838	Ovary_mean	G27	top70
TRINITY_DN131152_c2_g1_i2	0.249529467	Ovary_mean	G27	top70
TRINITY_DN124153_c8_g1_i1	0.242712568	G23_fmean	G27	top70
TRINITY_DN121912_c1_g2_i1	0.386775759	Ovary_mean	G27	top70
TRINITY_DN118262_c0_g1_i1	0.405743393	Brain_mmean	G27	top70
TRINITY_DN129440_c9_g2_i2	0.465535302	Ovary_mean	G27	top70
TRINITY_DN126193_c2_g5_i3	0.173543505	Ovary_mean	G27	top70
TRINITY_DN132885_c0_g1_i1	0.254052948	Liver_fmean	G27	top70
TRINITY_DN124020_c0_g1_i3	0.341234761	G27_fmean	G27	top70
TRINITY_DN129665_c2_g2_i2	0.379405161	G27_mmean	G27	top70
TRINITY_DN127697_c7_g3_i2	0.577780913	G46_M_mean	G27	top70
TRINITY_DN130806_c0_g2_i3	0.224380635	Liver_fmean	G27	top70
TRINITY_DN128951_c3_g3_i6	0.279674356	Ovary_mean	G27	top70
TRINITY_DN128148_c0_g9_i1	0.474292125	G23_fmean	G27	top70
TRINITY_DN122789_c3_g1_i1	0.401578894	Brain_fmean	G27	top70
TRINITY_DN127683_c0_g4_i1	0.314747406	Ovary_mean	G27	top70
TRINITY_DN135690_c1_g1_i1	0.147630966	Brain_mmean	G27	top70
TRINITY_DN129631_c3_g2_i2	0.512205377	Ovary_mean	G27	top70
TRINITY_DN120199_c0_g1_i2	0.422385368	Ovary_mean	G27	top70
TRINITY_DN135612_c2_g36_i1	0.27251887	Brain_fmean	G27	top70
TRINITY_DN127615_c0_g3_i1	0.275231364	G43_M_mean	G27	top70
TRINITY_DN129608_c0_g1_i2	0.291291311	Brain_mmean	G27	top70
TRINITY_DN125989_c1_g1_i1	0.394979311	Ovary_mean	G27	top70
TRINITY_DN129096_c0_g3_i4	0.379964799	Brain_fmean	G27	top70
TRINITY_DN125796_c0_g1_i2	0.396046057	G27_mmean	G27	top70
TRINITY_DN133705_c0_g1_i6	0.291893351	G43_M_mean	G27	top70
TRINITY_DN134490_c0_g1_i3	0.201423901	G23_fmean	G27	top70
TRINITY_DN128627_c2_g1_i1	0.230449053	Brain_fmean	G27	top70
TRINITY_DN132600_c0_g8_i1	0.066370172	Testis_mean	G27	top70
TRINITY_DN113003_c0_g1_i1	0.583653188	G27_mmean	G27	top70
TRINITY_DN62982_c0_g1_i1	0.4150196	G43_M_mean	G27	top70
TRINITY_DN125591_c0_g1_i1	0.518034932	Brain_mmean	G27	top70
TRINITY_DN128007_c1_g3_i1	0.31644927	Brain_mmean	G27	top70
TRINITY_DN133982_c4_g1_i1	0.165742163	G23_mmean	G27	top70
TRINITY_DN121187_c0_g1_i1	0.240679441	Ovary_mean	G27	top70
TRINITY_DN127850_c0_g1_i1	0.408302035	G46_M_mean	G27	top70
TRINITY_DN101361_c0_g1_i2	0.451788343	G23_mmean	G27	top70
TRINITY_DN41598_c0_g2_i1	0.224786299	Brain_fmean	G27	top70
TRINITY_DN129451_c0_g1_i2	0.491515897	Ovary_mean	G27	top70
TRINITY_DN125015_c1_g1_i1	0.551233703	Ovary_mean	G27	top70
TRINITY_DN128331_c3_g1_i1	0.315433881	G23_fmean	G27	top70
TRINITY_DN127491_c0_g4_i4	0.270591707	Brain_mmean	G27	top70
TRINITY_DN130614_c2_g2_i2	0.550842309	Ovary_mean	G27	top70
TRINITY_DN64301_c0_g1_i1	0.480356817	Ovary_mean	G27	top70
TRINITY_DN102246_c0_g4_i1	0.679996531	G27_fmean	G27	top70
TRINITY_DN127118_c0_g2_i7	0.310829371	Liver_fmean	G27	top70
TRINITY_DN128823_c1_g2_i1	0.599322944	G27_mmean	G27	top70
TRINITY_DN122117_c0_g3_i3	0.498826727	Ovary_mean	G27	top70
TRINITY_DN126528_c1_g1_i1	0.345081755	Ovary_mean	G27	top70
TRINITY_DN131730_c0_g1_i5	0.399480513	G23_fmean	G27	top70
TRINITY_DN125497_c0_g1_i2	0.562707445	Ovary_mean	G27	top70
TRINITY_DN130521_c5_g1_i1	0.419652931	Ovary_mean	G27	top70
TRINITY_DN124217_c2_g2_i3	0.350024611	Brain_fmean	G27	top70
TRINITY_DN135501_c1_g1_i5	0.364535324	Brain_fmean	G27	top70
TRINITY_DN134939_c9_g1_i1	0.506351299	G46_M_mean	G27	top70
TRINITY_DN115756_c0_g1_i1	0.238966371	G23_mmean	G27	top70
TRINITY_DN125527_c1_g1_i1	0.390433024	G46_F_mean	G27	top70
TRINITY_DN84520_c0_g1_i1	0.222478794	Brain_fmean	G27	top70
TRINITY_DN136610_c17_g1_i3	0.239097441	Ovary_mean	G27	top70
TRINITY_DN131833_c2_g4_i2	0.5698959	Brain_fmean	G27	top70
TRINITY_DN122990_c0_g1_i2	0.466132441	Ovary_mean	G27	top70
TRINITY_DN134834_c0_g3_i2	0.430573042	Testis_mean	G27	top70
TRINITY_DN122182_c0_g1_i2	0.509380496	Ovary_mean	G27	top70
TRINITY_DN117409_c0_g1_i1	0.723981242	G31_fmean	G27	top70
TRINITY_DN129948_c3_g4_i3	0.274163738	Brain_mmean	G27	top70
TRINITY_DN135538_c0_g1_i1	0.217583645	Brain_fmean	G27	top70
TRINITY_DN123620_c11_g1_i1	0.499099969	Brain_mmean	G27	top70
TRINITY_DN120847_c0_g3_i2	0.276494122	G46_M_mean	G27	top70
TRINITY_DN123371_c1_g5_i1	0.340887026	Ovary_mean	G27	top70
TRINITY_DN121270_c0_g2_i2	0.253538747	Brain_mmean	G27	top70
TRINITY_DN135520_c6_g7_i1	0.610084957	Brain_mmean	G27	top70
TRINITY_DN113177_c0_g1_i2	0.600984504	Ovary_mean	G27	top70
TRINITY_DN129138_c3_g3_i1	0.199048676	Brain_fmean	G27	top70
TRINITY_DN132314_c2_g6_i1	0.472697929	Brain_mmean	G27	top70
TRINITY_DN76183_c0_g1_i1	0.26218053	Brain_fmean	G27	top70
TRINITY_DN126390_c4_g1_i2	0.20738669	Liver_mmean	G27	top70
TRINITY_DN132526_c0_g1_i3	0.772235485	Brain_fmean	G27	top70
TRINITY_DN122889_c9_g2_i2	0.707291098	Brain_fmean	G27	top70
TRINITY_DN121973_c0_g1_i2	0.671394155	Ovary_mean	G27	top70
TRINITY_DN120624_c0_g3_i6	0.536227048	G43_M_mean	G27	top70
TRINITY_DN128156_c1_g2_i4	0.361403794	Brain_mmean	G27	top70
TRINITY_DN124648_c2_g2_i2	0.423459902	G31_mmean	G27	top70
TRINITY_DN128144_c3_g1_i5	0.305472898	Brain_mmean	G27	top70
TRINITY_DN134505_c1_g3_i1	0.289678943	Ovary_mean	G27	top70
TRINITY_DN123899_c0_g1_i2	0.601300164	Brain_mmean	G27	top70
TRINITY_DN136295_c9_g5_i1	0.171785661	G43_M_mean	G27	top70
TRINITY_DN134900_c6_g1_i1	0.23264003	G43_F_mean	G27	top70
TRINITY_DN132688_c0_g1_i2	0.156481019	Ovary_mean	G27	top70
TRINITY_DN125527_c2_g7_i1	0.528716027	Brain_fmean	G27	top70
TRINITY_DN133914_c2_g2_i4	0.656978761	Ovary_mean	G27	top70
TRINITY_DN132139_c5_g1_i3	0.147100453	Ovary_mean	G27	top70
TRINITY_DN92456_c0_g1_i1	0.263307279	G23_mmean	G27	top70
TRINITY_DN124223_c0_g1_i1	0.261114734	Brain_mmean	G27	top70
TRINITY_DN123158_c1_g3_i1	0.323829063	G31_mmean	G27	top70
TRINITY_DN126692_c5_g1_i7	0.823046632	Brain_mmean	G27	top70
TRINITY_DN130424_c0_g1_i4	0.564378584	Liver_fmean	G27	top70
TRINITY_DN130735_c0_g1_i2	0.327622207	Ovary_mean	G27	top70
TRINITY_DN134346_c1_g2_i3	0.54331598	Ovary_mean	G27	top70
TRINITY_DN127117_c5_g2_i2	0.138500922	Brain_fmean	G27	top70
TRINITY_DN132943_c0_g5_i8	0.583491123	Brain_mmean	G27	top70
TRINITY_DN135531_c2_g1_i4	0.53005819	Ovary_mean	G27	top70
TRINITY_DN68064_c0_g1_i1	0.201932867	Ovary_mean	G27	top70
TRINITY_DN127631_c8_g6_i1	0.109629386	G23_fmean	G27	top70
TRINITY_DN128789_c1_g1_i1	0.537158044	Ovary_mean	G27	top70
TRINITY_DN125722_c0_g1_i2	0.70923229	G46_M_mean	G27	top70
TRINITY_DN132643_c1_g5_i2	0.543611448	Ovary_mean	G27	top70
TRINITY_DN136194_c0_g2_i1	0.502179489	Testis_mean	G27	top70
TRINITY_DN122542_c0_g1_i5	0.572784238	Ovary_mean	G27	top70
TRINITY_DN135049_c6_g1_i2	0.229942791	G23_fmean	G27	top70
TRINITY_DN129631_c6_g2_i1	0.157413381	Brain_mmean	G27	top70
TRINITY_DN117721_c0_g2_i1	0.265590061	Brain_mmean	G27	top70
TRINITY_DN121684_c0_g1_i1	0.353220349	Brain_mmean	G27	top70
TRINITY_DN128835_c0_g1_i1	0.497272083	Ovary_mean	G27	top70
TRINITY_DN127623_c0_g5_i2	0.419803793	Ovary_mean	G27	top70
TRINITY_DN128194_c3_g5_i2	0.753437392	G31_mmean	G27	top70
TRINITY_DN125752_c5_g1_i2	0.142958204	G23_mmean	G27	top70
TRINITY_DN128834_c2_g1_i1	0.26267828	Ovary_mean	G27	top70
TRINITY_DN121492_c0_g1_i1	0.607973775	G43_F_mean	G27	top70
TRINITY_DN126135_c4_g1_i2	0.409773728	Ovary_mean	G27	top70
TRINITY_DN128722_c0_g1_i2	0.508414454	Ovary_mean	G27	top70
TRINITY_DN122993_c0_g1_i2	0.50616774	Brain_fmean	G27	top70
TRINITY_DN119299_c0_g2_i1	0.245518716	G23_fmean	G27	top70
TRINITY_DN134566_c2_g1_i1	0.695022003	Ovary_mean	G27	top70
TRINITY_DN124985_c4_g2_i1	0.543973493	Ovary_mean	G27	top70
TRINITY_DN130320_c0_g5_i1	0.777876776	Brain_mmean	G27	top70
TRINITY_DN136373_c4_g7_i5	0.257375731	G43_M_mean	G27	top70
TRINITY_DN116983_c0_g1_i1	0.173121581	G27_fmean	G27	top70
TRINITY_DN132003_c1_g7_i3	0.719612877	G31_fmean	G27	top70
TRINITY_DN133567_c0_g4_i2	0.446411099	Ovary_mean	G27	top70
TRINITY_DN127436_c2_g1_i1	0.464059201	Brain_mmean	G27	top70
TRINITY_DN128058_c4_g3_i2	0.655789394	Brain_fmean	G27	top70
TRINITY_DN122355_c6_g2_i1	0.295858843	Brain_mmean	G27	top70
TRINITY_DN128503_c0_g1_i2	0.63036743	Ovary_mean	G27	top70
TRINITY_DN130274_c2_g6_i1	0.386386647	Liver_fmean	G27	top70
TRINITY_DN118401_c0_g1_i1	0.535888897	G27_mmean	G27	top70
TRINITY_DN135864_c0_g9_i2	0.352953631	Brain_fmean	G27	top70
