gid	tau	tissue	stage	perc
TRINITY_DN125860_c0_g1_i1	0.558149489	G27_mmean	G27	top10
TRINITY_DN115111_c0_g1_i1	0.097294457	G43_F_mean	G27	top10
TRINITY_DN135574_c5_g5_i2	0.161839082	Brain_mmean	G27	top10
TRINITY_DN129170_c1_g2_i2	0.086875192	Testis_mean	G27	top10
TRINITY_DN127031_c0_g2_i3	0.094807387	Liver_fmean	G27	top10
TRINITY_DN111338_c0_g1_i1	0.177308433	G43_F_mean	G27	top10
TRINITY_DN131158_c5_g3_i1	0.166860224	Liver_fmean	G27	top10
TRINITY_DN136016_c2_g1_i1	0.248650769	Ovary_mean	G27	top10
TRINITY_DN121671_c0_g1_i1	0.127419754	G27_fmean	G27	top10
TRINITY_DN134474_c4_g1_i1	0.333160742	Ovary_mean	G27	top10
TRINITY_DN123781_c4_g1_i1	0.291030285	G43_F_mean	G27	top10
TRINITY_DN132091_c0_g2_i1	0.08339667	Testis_mean	G27	top10
TRINITY_DN128018_c0_g2_i1	0.167261344	G23_mmean	G27	top10
TRINITY_DN125397_c4_g1_i1	0.657988501	G31_fmean	G27	top10
TRINITY_DN136331_c0_g3_i1	0.436739863	Liver_fmean	G27	top10
TRINITY_DN124916_c1_g3_i6	0.413216047	G31_fmean	G27	top10
TRINITY_DN125990_c2_g2_i7	0.12223011	G43_M_mean	G27	top10
TRINITY_DN127011_c1_g2_i4	0.103644396	Testis_mean	G27	top10
TRINITY_DN115966_c0_g2_i1	0.215182355	G23_fmean	G27	top10
TRINITY_DN130716_c0_g8_i1	0.375768905	G46_M_mean	G27	top10
TRINITY_DN119340_c0_g1_i1	0.179435827	Ovary_mean	G27	top10
TRINITY_DN134321_c0_g1_i2	0.114325675	Brain_fmean	G27	top10
TRINITY_DN119520_c2_g1_i2	0.784368483	G23_mmean	G27	top10
TRINITY_DN136179_c0_g4_i5	0.267213493	G23_fmean	G27	top10
TRINITY_DN128433_c0_g1_i2	0.158766187	Liver_fmean	G27	top10
TRINITY_DN131707_c0_g8_i1	0.105462223	Testis_mean	G27	top10
TRINITY_DN128082_c1_g3_i6	0.224504907	G23_mmean	G27	top10
TRINITY_DN132977_c0_g1_i4	0.152982054	Brain_mmean	G27	top10
TRINITY_DN126586_c0_g1_i1	0.1721516	Ovary_mean	G27	top10
TRINITY_DN134751_c2_g1_i2	0.087727279	Testis_mean	G27	top10
TRINITY_DN101813_c0_g1_i1	0.500209223	G27_mmean	G27	top10
TRINITY_DN131259_c10_g2_i2	0.194044223	Testis_mean	G27	top10
TRINITY_DN101610_c0_g2_i1	0.176829961	G43_F_mean	G27	top10
TRINITY_DN109669_c1_g2_i1	0.576379491	Ovary_mean	G27	top10
TRINITY_DN119023_c7_g1_i1	0.303052659	Ovary_mean	G27	top10
TRINITY_DN109734_c0_g1_i5	0.604509969	G27_fmean	G27	top10
TRINITY_DN130264_c0_g5_i6	0.206008043	Brain_mmean	G27	top10
TRINITY_DN124348_c0_g2_i1	0.565401725	Brain_mmean	G27	top10
TRINITY_DN123612_c1_g1_i5	0.152238642	G23_fmean	G27	top10
TRINITY_DN118022_c0_g1_i1	0.444203772	G23_mmean	G27	top10
TRINITY_DN134383_c0_g2_i1	0.077190335	Testis_mean	G27	top10
TRINITY_DN126849_c4_g1_i2	0.293942009	G27_fmean	G27	top10
TRINITY_DN127665_c2_g1_i2	0.254641558	Brain_mmean	G27	top10
TRINITY_DN133583_c0_g1_i3	0.174364379	G23_mmean	G27	top10
TRINITY_DN133276_c0_g2_i3	0.379309207	Brain_mmean	G27	top10
TRINITY_DN121590_c0_g1_i1	0.102754881	Brain_mmean	G27	top10
TRINITY_DN133034_c0_g8_i2	0.270046972	G46_M_mean	G27	top10
