gene	logFC
TRINITY_DN134368_c1_g3_i1	-6.85034274669548
TRINITY_DN134401_c0_g2_i1	-1.25060104019003
TRINITY_DN134468_c2_g2_i4	-1.30331684054429
TRINITY_DN134476_c5_g4_i1	-2.88361060943981
TRINITY_DN134935_c0_g2_i1	-4.82538436897308
TRINITY_DN135127_c9_g1_i3	-1.89543928060718
TRINITY_DN135488_c0_g3_i1	-3.61927580126338
TRINITY_DN135535_c0_g1_i2	-1.7968879979088
TRINITY_DN135755_c4_g3_i2	-2.1904984862756
TRINITY_DN135762_c3_g1_i1	-2.18487849208933
TRINITY_DN135788_c4_g3_i1	-6.44651644312041
TRINITY_DN135947_c1_g1_i1	-4.53046952611788
TRINITY_DN136147_c0_g1_i5	-2.5267643683455
TRINITY_DN136273_c6_g2_i1	-3.51527589144674
TRINITY_DN142998_c0_g1_i1	-10.0866648513886
TRINITY_DN179282_c0_g1_i1	-7.69871905123324
TRINITY_DN69456_c0_g1_i2	-7.245996388093
TRINITY_DN74428_c0_g1_i1	-4.50522893485563
TRINITY_DN75938_c0_g1_i1	-2.83518824188699
TRINITY_DN78364_c0_g1_i1	-7.56240912063105
TRINITY_DN84774_c0_g1_i1	-2.65650751544763
TRINITY_DN87009_c0_g2_i1	-3.45675087097947
TRINITY_DN90684_c0_g3_i1	-3.2737895876026
TRINITY_DN95800_c0_g2_i1	-1.03308210104521
TRINITY_DN96058_c0_g1_i3	-3.04430865243196
TRINITY_DN96380_c0_g1_i1	-4.97340406365302
TRINITY_DN97559_c0_g1_i1	-7.51738040638495
TRINITY_DN98815_c0_g1_i1	-4.93734643922729
TRINITY_DN99366_c0_g2_i1	-1.33825597310139
